az_deg,el_deg,a_ft
0.00000000,-90.00000000,5994
15.00000000,-90.00000000,5999
30.00000000,-90.00000000,5999
45.00000000,-90.00000000,5998
60.00000000,-90.00000000,6346
75.00000000,-90.00000000,5999
90.00000000,-90.00000000,5994
105.00000000,-90.00000000,5999
120.00000000,-90.00000000,5999
135.00000000,-90.00000000,5998
150.00000000,-90.00000000,6346
165.00000000,-90.00000000,5999
180.00000000,-90.00000000,5994
195.00000000,-90.00000000,5999
210.00000000,-90.00000000,5999
225.00000000,-90.00000000,5997
240.00000000,-90.00000000,6346
255.00000000,-90.00000000,5999
270.00000000,-90.00000000,5994
285.00000000,-90.00000000,5999
300.00000000,-90.00000000,5999
315.00000000,-90.00000000,5997
330.00000000,-90.00000000,6346
345.00000000,-90.00000000,5999
360.00000000,-90.00000000,5994
0.00000000,-75.00000000,6317
15.00000000,-75.00000000,5648
30.00000000,-75.00000000,4235
45.00000000,-75.00000000,4274
60.00000000,-75.00000000,4526
75.00000000,-75.00000000,4555
90.00000000,-75.00000000,4322
105.00000000,-75.00000000,4429
120.00000000,-75.00000000,4379
135.00000000,-75.00000000,4328
150.00000000,-75.00000000,4366
165.00000000,-75.00000000,4417
180.00000000,-75.00000000,6778
195.00000000,-75.00000000,4395
210.00000000,-75.00000000,4348
225.00000000,-75.00000000,4328
240.00000000,-75.00000000,4309
255.00000000,-75.00000000,4376
270.00000000,-75.00000000,4323
285.00000000,-75.00000000,4499
300.00000000,-75.00000000,5019
315.00000000,-75.00000000,4274
330.00000000,-75.00000000,4242
345.00000000,-75.00000000,5648
360.00000000,-75.00000000,6317
0.00000000,-60.00000000,5494
15.00000000,-60.00000000,4918
30.00000000,-60.00000000,4930
45.00000000,-60.00000000,4111
60.00000000,-60.00000000,4213
75.00000000,-60.00000000,4262
90.00000000,-60.00000000,3879
105.00000000,-60.00000000,4244
120.00000000,-60.00000000,4323
135.00000000,-60.00000000,4203
150.00000000,-60.00000000,4159
165.00000000,-60.00000000,4102
180.00000000,-60.00000000,5698
195.00000000,-60.00000000,4101
210.00000000,-60.00000000,4059
225.00000000,-60.00000000,4216
240.00000000,-60.00000000,4191
255.00000000,-60.00000000,4267
270.00000000,-60.00000000,3891
285.00000000,-60.00000000,4008
300.00000000,-60.00000000,4444
315.00000000,-60.00000000,4149
330.00000000,-60.00000000,4704
345.00000000,-60.00000000,5190
360.00000000,-60.00000000,5494
0.00000000,-45.00000000,3920
15.00000000,-45.00000000,3911
30.00000000,-45.00000000,4003
45.00000000,-45.00000000,3338
60.00000000,-45.00000000,3410
75.00000000,-45.00000000,3356
90.00000000,-45.00000000,3149
105.00000000,-45.00000000,3514
120.00000000,-45.00000000,3553
135.00000000,-45.00000000,3569
150.00000000,-45.00000000,3535
165.00000000,-45.00000000,3758
180.00000000,-45.00000000,4998
195.00000000,-45.00000000,3754
210.00000000,-45.00000000,3528
225.00000000,-45.00000000,3680
240.00000000,-45.00000000,3662
255.00000000,-45.00000000,3622
270.00000000,-45.00000000,3193
285.00000000,-45.00000000,3379
300.00000000,-45.00000000,3405
315.00000000,-45.00000000,3346
330.00000000,-45.00000000,4011
345.00000000,-45.00000000,3908
360.00000000,-45.00000000,3920
0.00000000,-30.00000000,2598
15.00000000,-30.00000000,2543
30.00000000,-30.00000000,2732
45.00000000,-30.00000000,2800
60.00000000,-30.00000000,2812
75.00000000,-30.00000000,3077
90.00000000,-30.00000000,2684
105.00000000,-30.00000000,2812
120.00000000,-30.00000000,2881
135.00000000,-30.00000000,3415
150.00000000,-30.00000000,3514
165.00000000,-30.00000000,3296
180.00000000,-30.00000000,4104
195.00000000,-30.00000000,3297
210.00000000,-30.00000000,3515
225.00000000,-30.00000000,3415
240.00000000,-30.00000000,2997
255.00000000,-30.00000000,2733
270.00000000,-30.00000000,2694
285.00000000,-30.00000000,3092
300.00000000,-30.00000000,2813
315.00000000,-30.00000000,2800
330.00000000,-30.00000000,2733
345.00000000,-30.00000000,2473
360.00000000,-30.00000000,2598
0.00000000,-15.00000000,1103
15.00000000,-15.00000000,1362
30.00000000,-15.00000000,1625
45.00000000,-15.00000000,1737
60.00000000,-15.00000000,1965
75.00000000,-15.00000000,2311
90.00000000,-15.00000000,2378
105.00000000,-15.00000000,2414
120.00000000,-15.00000000,2515
135.00000000,-15.00000000,2510
150.00000000,-15.00000000,2413
165.00000000,-15.00000000,2263
180.00000000,-15.00000000,2843
195.00000000,-15.00000000,2267
210.00000000,-15.00000000,2404
225.00000000,-15.00000000,2508
240.00000000,-15.00000000,2518
255.00000000,-15.00000000,2426
270.00000000,-15.00000000,2599
285.00000000,-15.00000000,2326
300.00000000,-15.00000000,1974
315.00000000,-15.00000000,1750
330.00000000,-15.00000000,1628
345.00000000,-15.00000000,1366
360.00000000,-15.00000000,1103
0.00000000,0.00000000,1180
15.00000000,0.00000000,1295
30.00000000,0.00000000,1477
45.00000000,0.00000000,1687
60.00000000,0.00000000,1803
75.00000000,0.00000000,1900
90.00000000,0.00000000,1896
105.00000000,0.00000000,1896
120.00000000,0.00000000,1797
135.00000000,0.00000000,1676
150.00000000,0.00000000,1475
165.00000000,0.00000000,1296
180.00000000,0.00000000,1180
195.00000000,0.00000000,1295
210.00000000,0.00000000,1477
225.00000000,0.00000000,1687
240.00000000,0.00000000,1803
255.00000000,0.00000000,1900
270.00000000,0.00000000,1896
285.00000000,0.00000000,1896
300.00000000,0.00000000,1797
315.00000000,0.00000000,1676
330.00000000,0.00000000,1475
345.00000000,0.00000000,1296
360.00000000,0.00000000,1180
0.00000000,15.00000000,2843
15.00000000,15.00000000,2267
30.00000000,15.00000000,2404
45.00000000,15.00000000,2508
60.00000000,15.00000000,2518
75.00000000,15.00000000,2426
90.00000000,15.00000000,2599
105.00000000,15.00000000,2326
120.00000000,15.00000000,1974
135.00000000,15.00000000,1750
150.00000000,15.00000000,1628
165.00000000,15.00000000,1366
180.00000000,15.00000000,1103
195.00000000,15.00000000,1362
210.00000000,15.00000000,1625
225.00000000,15.00000000,1737
240.00000000,15.00000000,1965
255.00000000,15.00000000,2311
270.00000000,15.00000000,2378
285.00000000,15.00000000,2414
300.00000000,15.00000000,2515
315.00000000,15.00000000,2510
330.00000000,15.00000000,2413
345.00000000,15.00000000,2263
360.00000000,15.00000000,2843
0.00000000,30.00000000,4104
15.00000000,30.00000000,3297
30.00000000,30.00000000,3515
45.00000000,30.00000000,3415
60.00000000,30.00000000,2997
75.00000000,30.00000000,2733
90.00000000,30.00000000,2694
105.00000000,30.00000000,3092
120.00000000,30.00000000,2813
135.00000000,30.00000000,2800
150.00000000,30.00000000,2733
165.00000000,30.00000000,2473
180.00000000,30.00000000,2598
195.00000000,30.00000000,2543
210.00000000,30.00000000,2732
225.00000000,30.00000000,2800
240.00000000,30.00000000,2812
255.00000000,30.00000000,3077
270.00000000,30.00000000,2684
285.00000000,30.00000000,2812
300.00000000,30.00000000,2881
315.00000000,30.00000000,3415
330.00000000,30.00000000,3514
345.00000000,30.00000000,3296
360.00000000,30.00000000,4104
0.00000000,45.00000000,4998
15.00000000,45.00000000,3754
30.00000000,45.00000000,3528
45.00000000,45.00000000,3680
60.00000000,45.00000000,3662
75.00000000,45.00000000,3622
90.00000000,45.00000000,3193
105.00000000,45.00000000,3379
120.00000000,45.00000000,3405
135.00000000,45.00000000,3346
150.00000000,45.00000000,4011
165.00000000,45.00000000,3908
180.00000000,45.00000000,3920
195.00000000,45.00000000,3911
210.00000000,45.00000000,4003
225.00000000,45.00000000,3338
240.00000000,45.00000000,3410
255.00000000,45.00000000,3356
270.00000000,45.00000000,3149
285.00000000,45.00000000,3514
300.00000000,45.00000000,3553
315.00000000,45.00000000,3569
330.00000000,45.00000000,3535
345.00000000,45.00000000,3758
360.00000000,45.00000000,4998
0.00000000,60.00000000,5698
15.00000000,60.00000000,4101
30.00000000,60.00000000,4059
45.00000000,60.00000000,4216
60.00000000,60.00000000,4191
75.00000000,60.00000000,4267
90.00000000,60.00000000,3891
105.00000000,60.00000000,4008
120.00000000,60.00000000,4444
135.00000000,60.00000000,4149
150.00000000,60.00000000,4704
165.00000000,60.00000000,5190
180.00000000,60.00000000,5494
195.00000000,60.00000000,4918
210.00000000,60.00000000,4930
225.00000000,60.00000000,4111
240.00000000,60.00000000,4213
255.00000000,60.00000000,4262
270.00000000,60.00000000,3879
285.00000000,60.00000000,4244
300.00000000,60.00000000,4323
315.00000000,60.00000000,4203
330.00000000,60.00000000,4159
345.00000000,60.00000000,4102
360.00000000,60.00000000,5698
0.00000000,75.00000000,6778
15.00000000,75.00000000,4395
30.00000000,75.00000000,4348
45.00000000,75.00000000,4328
60.00000000,75.00000000,4309
75.00000000,75.00000000,4376
90.00000000,75.00000000,4323
105.00000000,75.00000000,4499
120.00000000,75.00000000,5019
135.00000000,75.00000000,4274
150.00000000,75.00000000,4242
165.00000000,75.00000000,5648
180.00000000,75.00000000,6317
195.00000000,75.00000000,5648
210.00000000,75.00000000,4235
225.00000000,75.00000000,4274
240.00000000,75.00000000,4526
255.00000000,75.00000000,4555
270.00000000,75.00000000,4322
285.00000000,75.00000000,4429
300.00000000,75.00000000,4379
315.00000000,75.00000000,4328
330.00000000,75.00000000,4366
345.00000000,75.00000000,4417
360.00000000,75.00000000,6778
0.00000000,90.00000000,5994
15.00000000,90.00000000,5999
30.00000000,90.00000000,5999
45.00000000,90.00000000,5997
60.00000000,90.00000000,6346
75.00000000,90.00000000,5999
90.00000000,90.00000000,5994
105.00000000,90.00000000,5999
120.00000000,90.00000000,5999
135.00000000,90.00000000,5998
150.00000000,90.00000000,6346
165.00000000,90.00000000,5999
180.00000000,90.00000000,5994
195.00000000,90.00000000,5999
210.00000000,90.00000000,5999
225.00000000,90.00000000,5998
240.00000000,90.00000000,6346
255.00000000,90.00000000,5999
270.00000000,90.00000000,5994
285.00000000,90.00000000,5999
300.00000000,90.00000000,5999
315.00000000,90.00000000,5998
330.00000000,90.00000000,6346
345.00000000,90.00000000,5999
360.00000000,90.00000000,5994
