az_deg,el_deg,a_ft
0.00000000,-90.00000000,238
15.00000000,-90.00000000,240
30.00000000,-90.00000000,238
45.00000000,-90.00000000,236
60.00000000,-90.00000000,240
75.00000000,-90.00000000,240
90.00000000,-90.00000000,236
105.00000000,-90.00000000,240
120.00000000,-90.00000000,238
135.00000000,-90.00000000,238
150.00000000,-90.00000000,238
165.00000000,-90.00000000,238
180.00000000,-90.00000000,238
195.00000000,-90.00000000,240
210.00000000,-90.00000000,240
225.00000000,-90.00000000,236
240.00000000,-90.00000000,240
255.00000000,-90.00000000,238
270.00000000,-90.00000000,233
285.00000000,-90.00000000,240
300.00000000,-90.00000000,240
315.00000000,-90.00000000,233
330.00000000,-90.00000000,240
345.00000000,-90.00000000,240
360.00000000,-90.00000000,238
0.00000000,-75.00000000,218
15.00000000,-75.00000000,202
30.00000000,-75.00000000,221
45.00000000,-75.00000000,202
60.00000000,-75.00000000,219
75.00000000,-75.00000000,238
90.00000000,-75.00000000,309
105.00000000,-75.00000000,265
120.00000000,-75.00000000,264
135.00000000,-75.00000000,270
150.00000000,-75.00000000,239
165.00000000,-75.00000000,244
180.00000000,-75.00000000,213
195.00000000,-75.00000000,258
210.00000000,-75.00000000,263
225.00000000,-75.00000000,314
240.00000000,-75.00000000,303
255.00000000,-75.00000000,322
270.00000000,-75.00000000,411
285.00000000,-75.00000000,348
300.00000000,-75.00000000,261
315.00000000,-75.00000000,240
330.00000000,-75.00000000,271
345.00000000,-75.00000000,214
360.00000000,-75.00000000,218
0.00000000,-60.00000000,245
15.00000000,-60.00000000,231
30.00000000,-60.00000000,257
45.00000000,-60.00000000,234
60.00000000,-60.00000000,238
75.00000000,-60.00000000,262
90.00000000,-60.00000000,280
105.00000000,-60.00000000,268
120.00000000,-60.00000000,258
135.00000000,-60.00000000,246
150.00000000,-60.00000000,282
165.00000000,-60.00000000,280
180.00000000,-60.00000000,218
195.00000000,-60.00000000,289
210.00000000,-60.00000000,269
225.00000000,-60.00000000,292
240.00000000,-60.00000000,273
255.00000000,-60.00000000,262
270.00000000,-60.00000000,369
285.00000000,-60.00000000,329
300.00000000,-60.00000000,287
315.00000000,-60.00000000,240
330.00000000,-60.00000000,267
345.00000000,-60.00000000,221
360.00000000,-60.00000000,245
0.00000000,-45.00000000,250
15.00000000,-45.00000000,253
30.00000000,-45.00000000,245
45.00000000,-45.00000000,252
60.00000000,-45.00000000,219
75.00000000,-45.00000000,219
90.00000000,-45.00000000,246
105.00000000,-45.00000000,240
120.00000000,-45.00000000,213
135.00000000,-45.00000000,213
150.00000000,-45.00000000,350
165.00000000,-45.00000000,264
180.00000000,-45.00000000,216
195.00000000,-45.00000000,260
210.00000000,-45.00000000,206
225.00000000,-45.00000000,204
240.00000000,-45.00000000,224
255.00000000,-45.00000000,255
270.00000000,-45.00000000,237
285.00000000,-45.00000000,217
300.00000000,-45.00000000,243
315.00000000,-45.00000000,239
330.00000000,-45.00000000,257
345.00000000,-45.00000000,248
360.00000000,-45.00000000,250
0.00000000,-30.00000000,185
15.00000000,-30.00000000,203
30.00000000,-30.00000000,227
45.00000000,-30.00000000,225
60.00000000,-30.00000000,217
75.00000000,-30.00000000,188
90.00000000,-30.00000000,198
105.00000000,-30.00000000,176
120.00000000,-30.00000000,177
135.00000000,-30.00000000,242
150.00000000,-30.00000000,274
165.00000000,-30.00000000,258
180.00000000,-30.00000000,239
195.00000000,-30.00000000,263
210.00000000,-30.00000000,269
225.00000000,-30.00000000,246
240.00000000,-30.00000000,164
255.00000000,-30.00000000,182
270.00000000,-30.00000000,194
285.00000000,-30.00000000,184
300.00000000,-30.00000000,215
315.00000000,-30.00000000,222
330.00000000,-30.00000000,227
345.00000000,-30.00000000,211
360.00000000,-30.00000000,185
0.00000000,-15.00000000,89
15.00000000,-15.00000000,118
30.00000000,-15.00000000,144
45.00000000,-15.00000000,150
60.00000000,-15.00000000,153
75.00000000,-15.00000000,155
90.00000000,-15.00000000,133
105.00000000,-15.00000000,140
120.00000000,-15.00000000,156
135.00000000,-15.00000000,190
150.00000000,-15.00000000,174
165.00000000,-15.00000000,188
180.00000000,-15.00000000,172
195.00000000,-15.00000000,191
210.00000000,-15.00000000,174
225.00000000,-15.00000000,199
240.00000000,-15.00000000,154
255.00000000,-15.00000000,137
270.00000000,-15.00000000,127
285.00000000,-15.00000000,144
300.00000000,-15.00000000,149
315.00000000,-15.00000000,151
330.00000000,-15.00000000,152
345.00000000,-15.00000000,123
360.00000000,-15.00000000,89
0.00000000,0.00000000,94
15.00000000,0.00000000,113
30.00000000,0.00000000,119
45.00000000,0.00000000,137
60.00000000,0.00000000,145
75.00000000,0.00000000,126
90.00000000,0.00000000,111
105.00000000,0.00000000,119
120.00000000,0.00000000,141
135.00000000,0.00000000,146
150.00000000,0.00000000,134
165.00000000,0.00000000,138
180.00000000,0.00000000,94
195.00000000,0.00000000,113
210.00000000,0.00000000,119
225.00000000,0.00000000,137
240.00000000,0.00000000,145
255.00000000,0.00000000,126
270.00000000,0.00000000,111
285.00000000,0.00000000,119
300.00000000,0.00000000,141
315.00000000,0.00000000,146
330.00000000,0.00000000,134
345.00000000,0.00000000,138
360.00000000,0.00000000,94
0.00000000,15.00000000,196
15.00000000,15.00000000,191
30.00000000,15.00000000,174
45.00000000,15.00000000,199
60.00000000,15.00000000,154
75.00000000,15.00000000,137
90.00000000,15.00000000,127
105.00000000,15.00000000,144
120.00000000,15.00000000,149
135.00000000,15.00000000,151
150.00000000,15.00000000,152
165.00000000,15.00000000,123
180.00000000,15.00000000,91
195.00000000,15.00000000,118
210.00000000,15.00000000,144
225.00000000,15.00000000,150
240.00000000,15.00000000,153
255.00000000,15.00000000,155
270.00000000,15.00000000,133
285.00000000,15.00000000,140
300.00000000,15.00000000,156
315.00000000,15.00000000,190
330.00000000,15.00000000,174
345.00000000,15.00000000,188
360.00000000,15.00000000,196
0.00000000,30.00000000,238
15.00000000,30.00000000,263
30.00000000,30.00000000,269
45.00000000,30.00000000,246
60.00000000,30.00000000,164
75.00000000,30.00000000,182
90.00000000,30.00000000,194
105.00000000,30.00000000,184
120.00000000,30.00000000,215
135.00000000,30.00000000,222
150.00000000,30.00000000,227
165.00000000,30.00000000,211
180.00000000,30.00000000,185
195.00000000,30.00000000,203
210.00000000,30.00000000,227
225.00000000,30.00000000,225
240.00000000,30.00000000,217
255.00000000,30.00000000,188
270.00000000,30.00000000,198
285.00000000,30.00000000,176
300.00000000,30.00000000,177
315.00000000,30.00000000,242
330.00000000,30.00000000,274
345.00000000,30.00000000,258
360.00000000,30.00000000,238
0.00000000,45.00000000,213
