az_deg,el_deg,a_ft
0.00000000,-90.00000000,582
15.00000000,-90.00000000,582
30.00000000,-90.00000000,652
45.00000000,-90.00000000,589
60.00000000,-90.00000000,589
75.00000000,-90.00000000,589
90.00000000,-90.00000000,575
105.00000000,-90.00000000,589
120.00000000,-90.00000000,589
135.00000000,-90.00000000,582
150.00000000,-90.00000000,589
165.00000000,-90.00000000,716
180.00000000,-90.00000000,582
195.00000000,-90.00000000,716
210.00000000,-90.00000000,589
225.00000000,-90.00000000,589
240.00000000,-90.00000000,582
255.00000000,-90.00000000,652
270.00000000,-90.00000000,575
285.00000000,-90.00000000,589
300.00000000,-90.00000000,589
315.00000000,-90.00000000,582
330.00000000,-90.00000000,589
345.00000000,-90.00000000,589
360.00000000,-90.00000000,582
0.00000000,-75.00000000,539
15.00000000,-75.00000000,385
30.00000000,-75.00000000,442
45.00000000,-75.00000000,416
60.00000000,-75.00000000,404
75.00000000,-75.00000000,420
90.00000000,-75.00000000,475
105.00000000,-75.00000000,430
120.00000000,-75.00000000,479
135.00000000,-75.00000000,425
150.00000000,-75.00000000,481
165.00000000,-75.00000000,409
180.00000000,-75.00000000,572
195.00000000,-75.00000000,409
210.00000000,-75.00000000,481
225.00000000,-75.00000000,425
240.00000000,-75.00000000,479
255.00000000,-75.00000000,430
270.00000000,-75.00000000,475
285.00000000,-75.00000000,420
300.00000000,-75.00000000,404
315.00000000,-75.00000000,416
330.00000000,-75.00000000,442
345.00000000,-75.00000000,385
360.00000000,-75.00000000,539
0.00000000,-60.00000000,583
15.00000000,-60.00000000,382
30.00000000,-60.00000000,411
45.00000000,-60.00000000,425
60.00000000,-60.00000000,373
75.00000000,-60.00000000,396
90.00000000,-60.00000000,374
105.00000000,-60.00000000,397
120.00000000,-60.00000000,407
135.00000000,-60.00000000,402
150.00000000,-60.00000000,406
165.00000000,-60.00000000,407
180.00000000,-60.00000000,539
195.00000000,-60.00000000,407
210.00000000,-60.00000000,406
225.00000000,-60.00000000,402
240.00000000,-60.00000000,407
255.00000000,-60.00000000,397
270.00000000,-60.00000000,374
285.00000000,-60.00000000,396
300.00000000,-60.00000000,373
315.00000000,-60.00000000,425
330.00000000,-60.00000000,411
345.00000000,-60.00000000,382
360.00000000,-60.00000000,583
0.00000000,-45.00000000,388
15.00000000,-45.00000000,369
30.00000000,-45.00000000,417
45.00000000,-45.00000000,370
60.00000000,-45.00000000,329
75.00000000,-45.00000000,324
90.00000000,-45.00000000,310
105.00000000,-45.00000000,328
120.00000000,-45.00000000,357
135.00000000,-45.00000000,424
150.00000000,-45.00000000,418
165.00000000,-45.00000000,438
180.00000000,-45.00000000,470
195.00000000,-45.00000000,438
210.00000000,-45.00000000,418
225.00000000,-45.00000000,424
240.00000000,-45.00000000,357
255.00000000,-45.00000000,328
270.00000000,-45.00000000,310
285.00000000,-45.00000000,324
300.00000000,-45.00000000,329
315.00000000,-45.00000000,370
330.00000000,-45.00000000,417
345.00000000,-45.00000000,369
360.00000000,-45.00000000,388
0.00000000,-30.00000000,323
15.00000000,-30.00000000,293
30.00000000,-30.00000000,289
45.00000000,-30.00000000,283
60.00000000,-30.00000000,275
75.00000000,-30.00000000,262
90.00000000,-30.00000000,253
105.00000000,-30.00000000,225
120.00000000,-30.00000000,240
135.00000000,-30.00000000,294
150.00000000,-30.00000000,341
165.00000000,-30.00000000,364
180.00000000,-30.00000000,422
195.00000000,-30.00000000,364
210.00000000,-30.00000000,341
225.00000000,-30.00000000,294
240.00000000,-30.00000000,240
255.00000000,-30.00000000,225
270.00000000,-30.00000000,253
285.00000000,-30.00000000,262
300.00000000,-30.00000000,275
315.00000000,-30.00000000,283
330.00000000,-30.00000000,289
345.00000000,-30.00000000,293
360.00000000,-30.00000000,323
0.00000000,-15.00000000,155
15.00000000,-15.00000000,167
30.00000000,-15.00000000,182
45.00000000,-15.00000000,195
60.00000000,-15.00000000,186
75.00000000,-15.00000000,185
90.00000000,-15.00000000,180
105.00000000,-15.00000000,184
120.00000000,-15.00000000,198
135.00000000,-15.00000000,232
150.00000000,-15.00000000,268
165.00000000,-15.00000000,278
180.00000000,-15.00000000,319
195.00000000,-15.00000000,278
210.00000000,-15.00000000,268
225.00000000,-15.00000000,232
240.00000000,-15.00000000,198
255.00000000,-15.00000000,184
270.00000000,-15.00000000,180
285.00000000,-15.00000000,185
300.00000000,-15.00000000,186
315.00000000,-15.00000000,195
330.00000000,-15.00000000,182
345.00000000,-15.00000000,167
360.00000000,-15.00000000,155
0.00000000,0.00000000,154
15.00000000,0.00000000,184
30.00000000,0.00000000,192
45.00000000,0.00000000,194
60.00000000,0.00000000,165
75.00000000,0.00000000,169
90.00000000,0.00000000,167
105.00000000,0.00000000,169
120.00000000,0.00000000,165
135.00000000,0.00000000,194
150.00000000,0.00000000,192
165.00000000,0.00000000,182
180.00000000,0.00000000,157
195.00000000,0.00000000,182
210.00000000,0.00000000,192
225.00000000,0.00000000,194
240.00000000,0.00000000,165
255.00000000,0.00000000,169
270.00000000,0.00000000,167
285.00000000,0.00000000,169
300.00000000,0.00000000,165
315.00000000,0.00000000,194
330.00000000,0.00000000,192
345.00000000,0.00000000,182
360.00000000,0.00000000,154
0.00000000,15.00000000,320
15.00000000,15.00000000,278
30.00000000,15.00000000,268
45.00000000,15.00000000,232
60.00000000,15.00000000,198
