az_deg,el_deg,a_ft
0.00000000,-90.00000000,297
15.00000000,-90.00000000,297
30.00000000,-90.00000000,297
45.00000000,-90.00000000,297
60.00000000,-90.00000000,297
75.00000000,-90.00000000,297
90.00000000,-90.00000000,297
105.00000000,-90.00000000,297
120.00000000,-90.00000000,297
135.00000000,-90.00000000,297
150.00000000,-90.00000000,297
165.00000000,-90.00000000,297
180.00000000,-90.00000000,297
195.00000000,-90.00000000,297
210.00000000,-90.00000000,297
225.00000000,-90.00000000,297
240.00000000,-90.00000000,297
255.00000000,-90.00000000,297
270.00000000,-90.00000000,297
285.00000000,-90.00000000,297
300.00000000,-90.00000000,297
315.00000000,-90.00000000,297
330.00000000,-90.00000000,297
345.00000000,-90.00000000,297
360.00000000,-90.00000000,297
0.00000000,-75.00000000,308
15.00000000,-75.00000000,308
30.00000000,-75.00000000,322
45.00000000,-75.00000000,319
60.00000000,-75.00000000,332
75.00000000,-75.00000000,335
90.00000000,-75.00000000,303
105.00000000,-75.00000000,330
120.00000000,-75.00000000,340
135.00000000,-75.00000000,324
150.00000000,-75.00000000,323
165.00000000,-75.00000000,307
180.00000000,-75.00000000,307
195.00000000,-75.00000000,319
210.00000000,-75.00000000,320
225.00000000,-75.00000000,344
240.00000000,-75.00000000,326
255.00000000,-75.00000000,344
270.00000000,-75.00000000,317
285.00000000,-75.00000000,334
300.00000000,-75.00000000,331
315.00000000,-75.00000000,328
330.00000000,-75.00000000,312
345.00000000,-75.00000000,323
360.00000000,-75.00000000,308
0.00000000,-60.00000000,262
15.00000000,-60.00000000,291
30.00000000,-60.00000000,289
45.00000000,-60.00000000,284
60.00000000,-60.00000000,322
75.00000000,-60.00000000,339
90.00000000,-60.00000000,345
105.00000000,-60.00000000,349
120.00000000,-60.00000000,347
135.00000000,-60.00000000,334
150.00000000,-60.00000000,330
165.00000000,-60.00000000,285
180.00000000,-60.00000000,288
195.00000000,-60.00000000,285
210.00000000,-60.00000000,329
225.00000000,-60.00000000,321
240.00000000,-60.00000000,327
255.00000000,-60.00000000,336
270.00000000,-60.00000000,329
285.00000000,-60.00000000,343
300.00000000,-60.00000000,330
315.00000000,-60.00000000,300
330.00000000,-60.00000000,292
345.00000000,-60.00000000,294
360.00000000,-60.00000000,262
0.00000000,-45.00000000,214
15.00000000,-45.00000000,226
