az_deg,el_deg,a_ft
0.00000000,-90.00000000,816
15.00000000,-90.00000000,816
30.00000000,-90.00000000,788
45.00000000,-90.00000000,823
60.00000000,-90.00000000,788
75.00000000,-90.00000000,788
90.00000000,-90.00000000,760
105.00000000,-90.00000000,816
120.00000000,-90.00000000,760
135.00000000,-90.00000000,830
150.00000000,-90.00000000,760
165.00000000,-90.00000000,816
180.00000000,-90.00000000,760
195.00000000,-90.00000000,823
210.00000000,-90.00000000,760
225.00000000,-90.00000000,753
240.00000000,-90.00000000,788
255.00000000,-90.00000000,830
270.00000000,-90.00000000,816
285.00000000,-90.00000000,816
300.00000000,-90.00000000,760
315.00000000,-90.00000000,816
330.00000000,-90.00000000,788
345.00000000,-90.00000000,760
360.00000000,-90.00000000,816
0.00000000,-75.00000000,689
15.00000000,-75.00000000,809
30.00000000,-75.00000000,720
45.00000000,-75.00000000,690
60.00000000,-75.00000000,686
75.00000000,-75.00000000,742
90.00000000,-75.00000000,765
105.00000000,-75.00000000,736
120.00000000,-75.00000000,771
135.00000000,-75.00000000,750
150.00000000,-75.00000000,768
165.00000000,-75.00000000,765
180.00000000,-75.00000000,766
195.00000000,-75.00000000,765
210.00000000,-75.00000000,793
225.00000000,-75.00000000,756
240.00000000,-75.00000000,771
255.00000000,-75.00000000,759
270.00000000,-75.00000000,756
285.00000000,-75.00000000,742
300.00000000,-75.00000000,686
315.00000000,-75.00000000,690
330.00000000,-75.00000000,720
345.00000000,-75.00000000,809
360.00000000,-75.00000000,689
0.00000000,-60.00000000,836
15.00000000,-60.00000000,651
30.00000000,-60.00000000,637
45.00000000,-60.00000000,781
60.00000000,-60.00000000,665
75.00000000,-60.00000000,731
90.00000000,-60.00000000,729
105.00000000,-60.00000000,745
120.00000000,-60.00000000,745
135.00000000,-60.00000000,730
150.00000000,-60.00000000,761
165.00000000,-60.00000000,731
180.00000000,-60.00000000,733
195.00000000,-60.00000000,754
210.00000000,-60.00000000,762
225.00000000,-60.00000000,730
240.00000000,-60.00000000,751
255.00000000,-60.00000000,745
270.00000000,-60.00000000,729
285.00000000,-60.00000000,822
300.00000000,-60.00000000,665
315.00000000,-60.00000000,788
330.00000000,-60.00000000,637
345.00000000,-60.00000000,654
360.00000000,-60.00000000,836
0.00000000,-45.00000000,648
15.00000000,-45.00000000,582
30.00000000,-45.00000000,619
45.00000000,-45.00000000,621
60.00000000,-45.00000000,650
75.00000000,-45.00000000,636
90.00000000,-45.00000000,624
105.00000000,-45.00000000,642
120.00000000,-45.00000000,654
135.00000000,-45.00000000,657
150.00000000,-45.00000000,677
165.00000000,-45.00000000,697
180.00000000,-45.00000000,688
195.00000000,-45.00000000,697
210.00000000,-45.00000000,673
225.00000000,-45.00000000,647
240.00000000,-45.00000000,653
255.00000000,-45.00000000,642
270.00000000,-45.00000000,624
285.00000000,-45.00000000,636
300.00000000,-45.00000000,665
315.00000000,-45.00000000,621
330.00000000,-45.00000000,625
345.00000000,-45.00000000,589
360.00000000,-45.00000000,648
0.00000000,-30.00000000,410
15.00000000,-30.00000000,409
30.00000000,-30.00000000,470
45.00000000,-30.00000000,461
60.00000000,-30.00000000,456
75.00000000,-30.00000000,521
90.00000000,-30.00000000,549
105.00000000,-30.00000000,560
120.00000000,-30.00000000,594
135.00000000,-30.00000000,669
150.00000000,-30.00000000,624
165.00000000,-30.00000000,567
180.00000000,-30.00000000,558
195.00000000,-30.00000000,567
210.00000000,-30.00000000,624
225.00000000,-30.00000000,668
240.00000000,-30.00000000,594
255.00000000,-30.00000000,567
270.00000000,-30.00000000,550
285.00000000,-30.00000000,522
300.00000000,-30.00000000,447
315.00000000,-30.00000000,445
330.00000000,-30.00000000,470
345.00000000,-30.00000000,410
360.00000000,-30.00000000,410
0.00000000,-15.00000000,221
15.00000000,-15.00000000,306
30.00000000,-15.00000000,357
45.00000000,-15.00000000,358
60.00000000,-15.00000000,410
75.00000000,-15.00000000,376
90.00000000,-15.00000000,404
105.00000000,-15.00000000,462
120.00000000,-15.00000000,535
135.00000000,-15.00000000,595
150.00000000,-15.00000000,605
165.00000000,-15.00000000,512
180.00000000,-15.00000000,488
195.00000000,-15.00000000,513
210.00000000,-15.00000000,605
225.00000000,-15.00000000,595
240.00000000,-15.00000000,533
255.00000000,-15.00000000,462
270.00000000,-15.00000000,404
285.00000000,-15.00000000,376
300.00000000,-15.00000000,410
315.00000000,-15.00000000,371
330.00000000,-15.00000000,357
345.00000000,-15.00000000,307
360.00000000,-15.00000000,221
0.00000000,0.00000000,370
15.00000000,0.00000000,372
30.00000000,0.00000000,428
45.00000000,0.00000000,402
60.00000000,0.00000000,389
75.00000000,0.00000000,420
90.00000000,0.00000000,329
105.00000000,0.00000000,416
120.00000000,0.00000000,389
135.00000000,0.00000000,401
150.00000000,0.00000000,427
165.00000000,0.00000000,382
180.00000000,0.00000000,369
195.00000000,0.00000000,372
210.00000000,0.00000000,428
225.00000000,0.00000000,402
240.00000000,0.00000000,389
255.00000000,0.00000000,420
270.00000000,0.00000000,329
285.00000000,0.00000000,416
300.00000000,0.00000000,389
315.00000000,0.00000000,401
330.00000000,0.00000000,427
345.00000000,0.00000000,382
360.00000000,0.00000000,370
0.00000000,15.00000000,488
15.00000000,15.00000000,513
30.00000000,15.00000000,605
45.00000000,15.00000000,595
60.00000000,15.00000000,533
75.00000000,15.00000000,462
90.00000000,15.00000000,404
105.00000000,15.00000000,376
120.00000000,15.00000000,410
135.00000000,15.00000000,371
150.00000000,15.00000000,357
165.00000000,15.00000000,307
180.00000000,15.00000000,214
195.00000000,15.00000000,306
210.00000000,15.00000000,357
225.00000000,15.00000000,358
240.00000000,15.00000000,410
255.00000000,15.00000000,376
270.00000000,15.00000000,404
285.00000000,15.00000000,462
