az_deg,el_deg,a_ft
0.00000000,-90.00000000,2297
15.00000000,-90.00000000,2359
30.00000000,-90.00000000,2348
45.00000000,-90.00000000,2346
60.00000000,-90.00000000,2359
75.00000000,-90.00000000,2348
90.00000000,-90.00000000,2345
105.00000000,-90.00000000,2359
120.00000000,-90.00000000,2348
135.00000000,-90.00000000,2359
150.00000000,-90.00000000,2348
165.00000000,-90.00000000,2348
180.00000000,-90.00000000,2297
195.00000000,-90.00000000,2359
210.00000000,-90.00000000,2348
225.00000000,-90.00000000,2359
240.00000000,-90.00000000,2348
255.00000000,-90.00000000,2348
270.00000000,-90.00000000,2341
285.00000000,-90.00000000,2369
300.00000000,-90.00000000,2348
315.00000000,-90.00000000,2348
330.00000000,-90.00000000,2346
345.00000000,-90.00000000,2359
360.00000000,-90.00000000,2297
0.00000000,-75.00000000,2274
15.00000000,-75.00000000,2265
30.00000000,-75.00000000,2192
45.00000000,-75.00000000,2221
60.00000000,-75.00000000,2312
75.00000000,-75.00000000,2289
90.00000000,-75.00000000,2251
105.00000000,-75.00000000,2262
120.00000000,-75.00000000,2184
135.00000000,-75.00000000,2197
150.00000000,-75.00000000,2148
165.00000000,-75.00000000,2100
180.00000000,-75.00000000,2147
195.00000000,-75.00000000,2149
210.00000000,-75.00000000,2201
225.00000000,-75.00000000,2196
240.00000000,-75.00000000,2196
255.00000000,-75.00000000,2260
270.00000000,-75.00000000,2201
285.00000000,-75.00000000,2286
300.00000000,-75.00000000,2281
315.00000000,-75.00000000,2265
330.00000000,-75.00000000,2247
345.00000000,-75.00000000,2261
360.00000000,-75.00000000,2274
0.00000000,-60.00000000,2037
15.00000000,-60.00000000,1850
30.00000000,-60.00000000,1876
45.00000000,-60.00000000,1857
60.00000000,-60.00000000,2032
75.00000000,-60.00000000,2063
90.00000000,-60.00000000,2060
105.00000000,-60.00000000,2049
120.00000000,-60.00000000,1891
135.00000000,-60.00000000,1797
150.00000000,-60.00000000,1629
165.00000000,-60.00000000,1581
180.00000000,-60.00000000,1497
195.00000000,-60.00000000,1513
210.00000000,-60.00000000,1606
225.00000000,-60.00000000,1808
240.00000000,-60.00000000,1895
255.00000000,-60.00000000,2057
270.00000000,-60.00000000,2069
285.00000000,-60.00000000,2060
300.00000000,-60.00000000,2040
315.00000000,-60.00000000,1863
330.00000000,-60.00000000,1800
345.00000000,-60.00000000,1922
360.00000000,-60.00000000,2037
0.00000000,-45.00000000,1473
15.00000000,-45.00000000,1322
30.00000000,-45.00000000,1339
45.00000000,-45.00000000,1271
60.00000000,-45.00000000,1550
75.00000000,-45.00000000,1696
90.00000000,-45.00000000,1730
105.00000000,-45.00000000,1726
120.00000000,-45.00000000,1660
135.00000000,-45.00000000,1462
150.00000000,-45.00000000,1454
165.00000000,-45.00000000,1395
180.00000000,-45.00000000,1507
195.00000000,-45.00000000,1397
210.00000000,-45.00000000,1445
225.00000000,-45.00000000,1486
240.00000000,-45.00000000,1688
255.00000000,-45.00000000,1714
270.00000000,-45.00000000,1730
285.00000000,-45.00000000,1694
300.00000000,-45.00000000,1545
315.00000000,-45.00000000,1278
330.00000000,-45.00000000,1348
345.00000000,-45.00000000,1326
360.00000000,-45.00000000,1473
0.00000000,-30.00000000,1052
15.00000000,-30.00000000,1129
30.00000000,-30.00000000,1145
45.00000000,-30.00000000,1068
60.00000000,-30.00000000,1224
75.00000000,-30.00000000,1371
90.00000000,-30.00000000,1425
105.00000000,-30.00000000,1378
120.00000000,-30.00000000,1214
135.00000000,-30.00000000,1205
150.00000000,-30.00000000,1182
165.00000000,-30.00000000,1227
180.00000000,-30.00000000,1259
195.00000000,-30.00000000,1246
210.00000000,-30.00000000,1173
225.00000000,-30.00000000,1213
240.00000000,-30.00000000,1247
255.00000000,-30.00000000,1373
270.00000000,-30.00000000,1425
285.00000000,-30.00000000,1370
300.00000000,-30.00000000,1223
315.00000000,-30.00000000,1091
330.00000000,-30.00000000,1136
345.00000000,-30.00000000,1149
360.00000000,-30.00000000,1052
0.00000000,-15.00000000,624
15.00000000,-15.00000000,755
30.00000000,-15.00000000,724
45.00000000,-15.00000000,892
60.00000000,-15.00000000,978
75.00000000,-15.00000000,1036
90.00000000,-15.00000000,1077
105.00000000,-15.00000000,1000
120.00000000,-15.00000000,1087
135.00000000,-15.00000000,1019
150.00000000,-15.00000000,988
165.00000000,-15.00000000,947
180.00000000,-15.00000000,895
195.00000000,-15.00000000,947
210.00000000,-15.00000000,986
225.00000000,-15.00000000,1042
240.00000000,-15.00000000,1086
255.00000000,-15.00000000,1001
270.00000000,-15.00000000,1076
285.00000000,-15.00000000,1027
300.00000000,-15.00000000,1086
315.00000000,-15.00000000,890
330.00000000,-15.00000000,758
345.00000000,-15.00000000,759
360.00000000,-15.00000000,624
0.00000000,0.00000000,698
15.00000000,0.00000000,757
30.00000000,0.00000000,750
45.00000000,0.00000000,754
60.00000000,0.00000000,822
75.00000000,0.00000000,866
90.00000000,0.00000000,886
105.00000000,0.00000000,870
120.00000000,0.00000000,819
135.00000000,0.00000000,750
150.00000000,0.00000000,748
165.00000000,0.00000000,744
180.00000000,0.00000000,698
195.00000000,0.00000000,759
210.00000000,0.00000000,750
225.00000000,0.00000000,754
240.00000000,0.00000000,822
255.00000000,0.00000000,866
270.00000000,0.00000000,886
285.00000000,0.00000000,870
300.00000000,0.00000000,819
315.00000000,0.00000000,750
330.00000000,0.00000000,748
345.00000000,0.00000000,760
360.00000000,0.00000000,698
0.00000000,15.00000000,895
15.00000000,15.00000000,947
30.00000000,15.00000000,986
45.00000000,15.00000000,1042
60.00000000,15.00000000,1086
75.00000000,15.00000000,1001
90.00000000,15.00000000,1076
105.00000000,15.00000000,1027
120.00000000,15.00000000,1086
135.00000000,15.00000000,890
150.00000000,15.00000000,758
165.00000000,15.00000000,759
180.00000000,15.00000000,624
195.00000000,15.00000000,755
210.00000000,15.00000000,724
225.00000000,15.00000000,892
240.00000000,15.00000000,978
255.00000000,15.00000000,1036
270.00000000,15.00000000,1077
285.00000000,15.00000000,1000
300.00000000,15.00000000,1087
315.00000000,15.00000000,1019
330.00000000,15.00000000,988
345.00000000,15.00000000,947
360.00000000,15.00000000,895
0.00000000,30.00000000,1285
15.00000000,30.00000000,1246
30.00000000,30.00000000,1173
45.00000000,30.00000000,1213
60.00000000,30.00000000,1247
75.00000000,30.00000000,1373
90.00000000,30.00000000,1425
105.00000000,30.00000000,1370
120.00000000,30.00000000,1223
135.00000000,30.00000000,1091
150.00000000,30.00000000,1136
165.00000000,30.00000000,1149
180.00000000,30.00000000,1052
195.00000000,30.00000000,1129
210.00000000,30.00000000,1145
225.00000000,30.00000000,1068
240.00000000,30.00000000,1224
255.00000000,30.00000000,1371
270.00000000,30.00000000,1425
285.00000000,30.00000000,1378
300.00000000,30.00000000,1214
315.00000000,30.00000000,1205
330.00000000,30.00000000,1182
345.00000000,30.00000000,1227
360.00000000,30.00000000,1285
0.00000000,45.00000000,1506
15.00000000,45.00000000,1397
30.00000000,45.00000000,1445
45.00000000,45.00000000,1486
60.00000000,45.00000000,1688
75.00000000,45.00000000,1714
90.00000000,45.00000000,1730
105.00000000,45.00000000,1694
120.00000000,45.00000000,1545
135.00000000,45.00000000,1278
150.00000000,45.00000000,1348
165.00000000,45.00000000,1326
180.00000000,45.00000000,1418
195.00000000,45.00000000,1322
210.00000000,45.00000000,1339
225.00000000,45.00000000,1271
240.00000000,45.00000000,1550
255.00000000,45.00000000,1696
270.00000000,45.00000000,1730
285.00000000,45.00000000,1726
300.00000000,45.00000000,1660
315.00000000,45.00000000,1462
330.00000000,45.00000000,1454
345.00000000,45.00000000,1395
360.00000000,45.00000000,1506
0.00000000,60.00000000,1497
15.00000000,60.00000000,1513
30.00000000,60.00000000,1606
45.00000000,60.00000000,1808
60.00000000,60.00000000,1895
75.00000000,60.00000000,2057
90.00000000,60.00000000,2069
105.00000000,60.00000000,2060
120.00000000,60.00000000,2040
135.00000000,60.00000000,1863
150.00000000,60.00000000,1800
165.00000000,60.00000000,1922
180.00000000,60.00000000,2038
195.00000000,60.00000000,1850
210.00000000,60.00000000,1876
225.00000000,60.00000000,1857
240.00000000,60.00000000,2032
255.00000000,60.00000000,2063
270.00000000,60.00000000,2060
285.00000000,60.00000000,2049
300.00000000,60.00000000,1891
315.00000000,60.00000000,1797
330.00000000,60.00000000,1629
345.00000000,60.00000000,1581
360.00000000,60.00000000,1497
0.00000000,75.00000000,2201
15.00000000,75.00000000,2149
30.00000000,75.00000000,2201
45.00000000,75.00000000,2196
60.00000000,75.00000000,2196
75.00000000,75.00000000,2260
90.00000000,75.00000000,2201
105.00000000,75.00000000,2286
120.00000000,75.00000000,2281
135.00000000,75.00000000,2265
150.00000000,75.00000000,2247
165.00000000,75.00000000,2261
180.00000000,75.00000000,2274
195.00000000,75.00000000,2265
210.00000000,75.00000000,2192
225.00000000,75.00000000,2221
240.00000000,75.00000000,2312
255.00000000,75.00000000,2289
270.00000000,75.00000000,2251
285.00000000,75.00000000,2262
300.00000000,75.00000000,2184
315.00000000,75.00000000,2197
330.00000000,75.00000000,2148
345.00000000,75.00000000,2100
360.00000000,75.00000000,2201
0.00000000,90.00000000,2346
15.00000000,90.00000000,2359
30.00000000,90.00000000,2348
45.00000000,90.00000000,2346
60.00000000,90.00000000,2359
75.00000000,90.00000000,2348
90.00000000,90.00000000,2297
105.00000000,90.00000000,2359
120.00000000,90.00000000,2348
135.00000000,90.00000000,2369
150.00000000,90.00000000,2348
165.00000000,90.00000000,2348
180.00000000,90.00000000,2345
195.00000000,90.00000000,2359
210.00000000,90.00000000,2348
225.00000000,90.00000000,2348
240.00000000,90.00000000,2348
255.00000000,90.00000000,2348
270.00000000,90.00000000,2274
285.00000000,90.00000000,2348
300.00000000,90.00000000,2348
315.00000000,90.00000000,2348
330.00000000,90.00000000,2348
345.00000000,90.00000000,2348
360.00000000,90.00000000,2346
