az_deg,el_deg,a_ft
0.00000000,-90.00000000,4619
15.00000000,-90.00000000,4619
30.00000000,-90.00000000,4621
45.00000000,-90.00000000,4405
60.00000000,-90.00000000,4621
75.00000000,-90.00000000,4621
90.00000000,-90.00000000,4620
105.00000000,-90.00000000,4620
120.00000000,-90.00000000,4621
135.00000000,-90.00000000,4405
150.00000000,-90.00000000,4621
165.00000000,-90.00000000,4620
180.00000000,-90.00000000,4512
195.00000000,-90.00000000,4620
210.00000000,-90.00000000,4620
225.00000000,-90.00000000,4619
240.00000000,-90.00000000,4621
255.00000000,-90.00000000,4621
270.00000000,-90.00000000,4405
285.00000000,-90.00000000,4621
300.00000000,-90.00000000,4620
315.00000000,-90.00000000,4621
330.00000000,-90.00000000,4621
345.00000000,-90.00000000,4620
360.00000000,-90.00000000,4619
0.00000000,-75.00000000,4055
15.00000000,-75.00000000,4089
30.00000000,-75.00000000,4210
45.00000000,-75.00000000,3972
60.00000000,-75.00000000,4016
75.00000000,-75.00000000,4488
90.00000000,-75.00000000,4357
105.00000000,-75.00000000,4389
120.00000000,-75.00000000,4052
135.00000000,-75.00000000,3962
150.00000000,-75.00000000,4069
165.00000000,-75.00000000,3936
180.00000000,-75.00000000,3939
195.00000000,-75.00000000,3936
210.00000000,-75.00000000,4096
225.00000000,-75.00000000,3966
240.00000000,-75.00000000,4081
255.00000000,-75.00000000,4391
270.00000000,-75.00000000,4340
285.00000000,-75.00000000,4320
300.00000000,-75.00000000,4017
315.00000000,-75.00000000,3973
330.00000000,-75.00000000,4266
345.00000000,-75.00000000,4089
360.00000000,-75.00000000,4055
0.00000000,-60.00000000,3478
15.00000000,-60.00000000,3856
30.00000000,-60.00000000,3687
45.00000000,-60.00000000,3821
60.00000000,-60.00000000,3808
75.00000000,-60.00000000,4162
90.00000000,-60.00000000,4087
105.00000000,-60.00000000,4043
120.00000000,-60.00000000,3717
135.00000000,-60.00000000,3837
150.00000000,-60.00000000,3825
165.00000000,-60.00000000,4002
180.00000000,-60.00000000,3602
195.00000000,-60.00000000,4003
210.00000000,-60.00000000,3836
225.00000000,-60.00000000,3840
240.00000000,-60.00000000,3721
255.00000000,-60.00000000,4046
270.00000000,-60.00000000,4090
285.00000000,-60.00000000,4164
300.00000000,-60.00000000,3810
315.00000000,-60.00000000,3823
330.00000000,-60.00000000,3688
345.00000000,-60.00000000,3756
360.00000000,-60.00000000,3478
0.00000000,-45.00000000,2651
15.00000000,-45.00000000,3160
30.00000000,-45.00000000,3482
45.00000000,-45.00000000,3162
60.00000000,-45.00000000,3503
75.00000000,-45.00000000,4032
90.00000000,-45.00000000,3868
105.00000000,-45.00000000,3700
120.00000000,-45.00000000,3535
135.00000000,-45.00000000,3492
150.00000000,-45.00000000,3513
165.00000000,-45.00000000,3396
180.00000000,-45.00000000,3104
195.00000000,-45.00000000,3282
210.00000000,-45.00000000,3514
225.00000000,-45.00000000,3419
240.00000000,-45.00000000,3540
255.00000000,-45.00000000,3703
270.00000000,-45.00000000,3868
285.00000000,-45.00000000,4001
300.00000000,-45.00000000,3479
