az_deg,el_deg,a_ft
0.00000000,-90.00000000,581
15.00000000,-90.00000000,581
30.00000000,-90.00000000,622
45.00000000,-90.00000000,622
60.00000000,-90.00000000,581
75.00000000,-90.00000000,581
90.00000000,-90.00000000,581
105.00000000,-90.00000000,581
120.00000000,-90.00000000,581
135.00000000,-90.00000000,622
150.00000000,-90.00000000,622
165.00000000,-90.00000000,581
180.00000000,-90.00000000,581
195.00000000,-90.00000000,581
210.00000000,-90.00000000,581
225.00000000,-90.00000000,581
240.00000000,-90.00000000,581
255.00000000,-90.00000000,622
270.00000000,-90.00000000,581
285.00000000,-90.00000000,581
300.00000000,-90.00000000,622
315.00000000,-90.00000000,581
330.00000000,-90.00000000,581
345.00000000,-90.00000000,581
360.00000000,-90.00000000,581
0.00000000,-75.00000000,596
15.00000000,-75.00000000,596
30.00000000,-75.00000000,629
45.00000000,-75.00000000,595
60.00000000,-75.00000000,597
75.00000000,-75.00000000,560
90.00000000,-75.00000000,562
105.00000000,-75.00000000,563
120.00000000,-75.00000000,572
135.00000000,-75.00000000,575
150.00000000,-75.00000000,529
165.00000000,-75.00000000,577
180.00000000,-75.00000000,492
195.00000000,-75.00000000,577
210.00000000,-75.00000000,529
225.00000000,-75.00000000,575
240.00000000,-75.00000000,572
255.00000000,-75.00000000,563
270.00000000,-75.00000000,562
285.00000000,-75.00000000,560
300.00000000,-75.00000000,597
315.00000000,-75.00000000,595
330.00000000,-75.00000000,629
345.00000000,-75.00000000,596
360.00000000,-75.00000000,596
0.00000000,-60.00000000,489
15.00000000,-60.00000000,499
30.00000000,-60.00000000,407
45.00000000,-60.00000000,422
60.00000000,-60.00000000,539
75.00000000,-60.00000000,469
90.00000000,-60.00000000,385
105.00000000,-60.00000000,408
120.00000000,-60.00000000,447
135.00000000,-60.00000000,408
150.00000000,-60.00000000,374
165.00000000,-60.00000000,434
180.00000000,-60.00000000,561
195.00000000,-60.00000000,434
210.00000000,-60.00000000,374
225.00000000,-60.00000000,408
240.00000000,-60.00000000,447
255.00000000,-60.00000000,408
270.00000000,-60.00000000,385
285.00000000,-60.00000000,469
300.00000000,-60.00000000,539
315.00000000,-60.00000000,422
330.00000000,-60.00000000,407
345.00000000,-60.00000000,499
360.00000000,-60.00000000,489
0.00000000,-45.00000000,378
15.00000000,-45.00000000,396
30.00000000,-45.00000000,420
45.00000000,-45.00000000,363
60.00000000,-45.00000000,377
75.00000000,-45.00000000,391
90.00000000,-45.00000000,378
105.00000000,-45.00000000,385
120.00000000,-45.00000000,441
135.00000000,-45.00000000,332
150.00000000,-45.00000000,374
165.00000000,-45.00000000,510
180.00000000,-45.00000000,563
195.00000000,-45.00000000,510
210.00000000,-45.00000000,374
225.00000000,-45.00000000,332
240.00000000,-45.00000000,441
255.00000000,-45.00000000,385
