az_deg,el_deg,a_ft
0.00000000,-90.00000000,266
15.00000000,-90.00000000,265
30.00000000,-90.00000000,265
45.00000000,-90.00000000,265
60.00000000,-90.00000000,265
75.00000000,-90.00000000,265
90.00000000,-90.00000000,266
105.00000000,-90.00000000,265
120.00000000,-90.00000000,265
135.00000000,-90.00000000,266
150.00000000,-90.00000000,265
165.00000000,-90.00000000,265
180.00000000,-90.00000000,266
195.00000000,-90.00000000,265
210.00000000,-90.00000000,265
225.00000000,-90.00000000,265
240.00000000,-90.00000000,265
255.00000000,-90.00000000,265
270.00000000,-90.00000000,266
285.00000000,-90.00000000,265
300.00000000,-90.00000000,265
315.00000000,-90.00000000,266
330.00000000,-90.00000000,265
345.00000000,-90.00000000,265
360.00000000,-90.00000000,266
0.00000000,-75.00000000,276
15.00000000,-75.00000000,206
30.00000000,-75.00000000,208
45.00000000,-75.00000000,210
60.00000000,-75.00000000,229
75.00000000,-75.00000000,227
90.00000000,-75.00000000,222
105.00000000,-75.00000000,228
120.00000000,-75.00000000,221
135.00000000,-75.00000000,225
150.00000000,-75.00000000,230
165.00000000,-75.00000000,227
180.00000000,-75.00000000,307
195.00000000,-75.00000000,238
210.00000000,-75.00000000,236
225.00000000,-75.00000000,235
240.00000000,-75.00000000,243
255.00000000,-75.00000000,245
270.00000000,-75.00000000,239
285.00000000,-75.00000000,239
300.00000000,-75.00000000,234
315.00000000,-75.00000000,221
330.00000000,-75.00000000,216
345.00000000,-75.00000000,211
360.00000000,-75.00000000,276
0.00000000,-60.00000000,216
15.00000000,-60.00000000,196
30.00000000,-60.00000000,197
45.00000000,-60.00000000,215
60.00000000,-60.00000000,223
75.00000000,-60.00000000,227
90.00000000,-60.00000000,229
105.00000000,-60.00000000,231
120.00000000,-60.00000000,218
135.00000000,-60.00000000,216
150.00000000,-60.00000000,231
165.00000000,-60.00000000,231
180.00000000,-60.00000000,307
195.00000000,-60.00000000,235
210.00000000,-60.00000000,232
225.00000000,-60.00000000,216
240.00000000,-60.00000000,224
255.00000000,-60.00000000,229
270.00000000,-60.00000000,234
285.00000000,-60.00000000,231
300.00000000,-60.00000000,230
315.00000000,-60.00000000,219
330.00000000,-60.00000000,208
345.00000000,-60.00000000,214
360.00000000,-60.00000000,216
0.00000000,-45.00000000,184
15.00000000,-45.00000000,184
30.00000000,-45.00000000,193
45.00000000,-45.00000000,204
60.00000000,-45.00000000,227
75.00000000,-45.00000000,245
90.00000000,-45.00000000,233
105.00000000,-45.00000000,243
120.00000000,-45.00000000,231
135.00000000,-45.00000000,231
150.00000000,-45.00000000,231
165.00000000,-45.00000000,211
180.00000000,-45.00000000,301
195.00000000,-45.00000000,233
210.00000000,-45.00000000,225
225.00000000,-45.00000000,232
240.00000000,-45.00000000,235
255.00000000,-45.00000000,228
270.00000000,-45.00000000,228
285.00000000,-45.00000000,247
300.00000000,-45.00000000,231
315.00000000,-45.00000000,209
330.00000000,-45.00000000,195
345.00000000,-45.00000000,185
360.00000000,-45.00000000,184
0.00000000,-30.00000000,200
15.00000000,-30.00000000,185
30.00000000,-30.00000000,205
45.00000000,-30.00000000,204
60.00000000,-30.00000000,234
75.00000000,-30.00000000,239
90.00000000,-30.00000000,224
105.00000000,-30.00000000,239
120.00000000,-30.00000000,242
135.00000000,-30.00000000,249
150.00000000,-30.00000000,220
165.00000000,-30.00000000,195
180.00000000,-30.00000000,181
195.00000000,-30.00000000,197
210.00000000,-30.00000000,216
225.00000000,-30.00000000,244
240.00000000,-30.00000000,244
255.00000000,-30.00000000,244
270.00000000,-30.00000000,225
285.00000000,-30.00000000,240
300.00000000,-30.00000000,238
315.00000000,-30.00000000,207
330.00000000,-30.00000000,207
345.00000000,-30.00000000,185
360.00000000,-30.00000000,200
0.00000000,-15.00000000,129
15.00000000,-15.00000000,188
30.00000000,-15.00000000,248
45.00000000,-15.00000000,267
60.00000000,-15.00000000,272
75.00000000,-15.00000000,261
90.00000000,-15.00000000,217
105.00000000,-15.00000000,253
120.00000000,-15.00000000,261
135.00000000,-15.00000000,239
150.00000000,-15.00000000,235
165.00000000,-15.00000000,180
180.00000000,-15.00000000,142
195.00000000,-15.00000000,173
210.00000000,-15.00000000,229
225.00000000,-15.00000000,252
240.00000000,-15.00000000,263
255.00000000,-15.00000000,249
270.00000000,-15.00000000,219
285.00000000,-15.00000000,263
300.00000000,-15.00000000,275
315.00000000,-15.00000000,269
330.00000000,-15.00000000,247
345.00000000,-15.00000000,198
360.00000000,-15.00000000,129
0.00000000,0.00000000,202
15.00000000,0.00000000,203
30.00000000,0.00000000,212
45.00000000,0.00000000,211
60.00000000,0.00000000,244
75.00000000,0.00000000,264
90.00000000,0.00000000,265
105.00000000,0.00000000,265
120.00000000,0.00000000,248
135.00000000,0.00000000,214
150.00000000,0.00000000,210
165.00000000,0.00000000,202
180.00000000,0.00000000,202
195.00000000,0.00000000,203
210.00000000,0.00000000,212
225.00000000,0.00000000,211
240.00000000,0.00000000,244
255.00000000,0.00000000,264
270.00000000,0.00000000,265
285.00000000,0.00000000,265
300.00000000,0.00000000,248
315.00000000,0.00000000,214
330.00000000,0.00000000,210
345.00000000,0.00000000,202
360.00000000,0.00000000,202
0.00000000,15.00000000,142
15.00000000,15.00000000,173
30.00000000,15.00000000,229
45.00000000,15.00000000,252
60.00000000,15.00000000,263
75.00000000,15.00000000,249
90.00000000,15.00000000,220
105.00000000,15.00000000,271
120.00000000,15.00000000,275
135.00000000,15.00000000,269
150.00000000,15.00000000,247
165.00000000,15.00000000,198
180.00000000,15.00000000,128
195.00000000,15.00000000,188
210.00000000,15.00000000,248
225.00000000,15.00000000,267
240.00000000,15.00000000,272
255.00000000,15.00000000,261
270.00000000,15.00000000,217
285.00000000,15.00000000,253
300.00000000,15.00000000,261
315.00000000,15.00000000,239
330.00000000,15.00000000,235
345.00000000,15.00000000,180
360.00000000,15.00000000,142
0.00000000,30.00000000,181
15.00000000,30.00000000,197
30.00000000,30.00000000,216
45.00000000,30.00000000,244
60.00000000,30.00000000,244
75.00000000,30.00000000,244
90.00000000,30.00000000,223
105.00000000,30.00000000,240
120.00000000,30.00000000,238
135.00000000,30.00000000,207
150.00000000,30.00000000,207
165.00000000,30.00000000,185
180.00000000,30.00000000,199
195.00000000,30.00000000,185
210.00000000,30.00000000,205
225.00000000,30.00000000,204
240.00000000,30.00000000,234
255.00000000,30.00000000,239
270.00000000,30.00000000,224
285.00000000,30.00000000,239
300.00000000,30.00000000,242
315.00000000,30.00000000,249
330.00000000,30.00000000,220
345.00000000,30.00000000,195
360.00000000,30.00000000,181
0.00000000,45.00000000,301
15.00000000,45.00000000,233
30.00000000,45.00000000,225
45.00000000,45.00000000,232
60.00000000,45.00000000,235
75.00000000,45.00000000,229
90.00000000,45.00000000,228
105.00000000,45.00000000,247
120.00000000,45.00000000,231
135.00000000,45.00000000,209
150.00000000,45.00000000,195
165.00000000,45.00000000,185
180.00000000,45.00000000,184
195.00000000,45.00000000,184
210.00000000,45.00000000,193
