az_deg,el_deg,a_ft
0.00000000,-90.00000000,534
15.00000000,-90.00000000,534
30.00000000,-90.00000000,534
45.00000000,-90.00000000,534
60.00000000,-90.00000000,534
75.00000000,-90.00000000,534
90.00000000,-90.00000000,534
105.00000000,-90.00000000,534
120.00000000,-90.00000000,534
135.00000000,-90.00000000,534
150.00000000,-90.00000000,534
165.00000000,-90.00000000,534
180.00000000,-90.00000000,534
195.00000000,-90.00000000,534
210.00000000,-90.00000000,534
225.00000000,-90.00000000,534
240.00000000,-90.00000000,534
255.00000000,-90.00000000,534
270.00000000,-90.00000000,534
285.00000000,-90.00000000,534
300.00000000,-90.00000000,534
315.00000000,-90.00000000,534
330.00000000,-90.00000000,534
345.00000000,-90.00000000,534
360.00000000,-90.00000000,534
0.00000000,-75.00000000,509
15.00000000,-75.00000000,510
30.00000000,-75.00000000,506
45.00000000,-75.00000000,507
60.00000000,-75.00000000,507
75.00000000,-75.00000000,507
90.00000000,-75.00000000,508
105.00000000,-75.00000000,446
120.00000000,-75.00000000,437
135.00000000,-75.00000000,494
150.00000000,-75.00000000,489
165.00000000,-75.00000000,507
180.00000000,-75.00000000,507
195.00000000,-75.00000000,487
210.00000000,-75.00000000,406
225.00000000,-75.00000000,427
240.00000000,-75.00000000,428
255.00000000,-75.00000000,425
270.00000000,-75.00000000,503
285.00000000,-75.00000000,502
300.00000000,-75.00000000,507
315.00000000,-75.00000000,388
330.00000000,-75.00000000,396
345.00000000,-75.00000000,398
360.00000000,-75.00000000,509
0.00000000,-60.00000000,456
15.00000000,-60.00000000,455
30.00000000,-60.00000000,455
45.00000000,-60.00000000,455
60.00000000,-60.00000000,399
75.00000000,-60.00000000,443
90.00000000,-60.00000000,446
105.00000000,-60.00000000,401
120.00000000,-60.00000000,457
135.00000000,-60.00000000,467
150.00000000,-60.00000000,493
165.00000000,-60.00000000,463
180.00000000,-60.00000000,464
195.00000000,-60.00000000,420
210.00000000,-60.00000000,445
225.00000000,-60.00000000,443
240.00000000,-60.00000000,439
255.00000000,-60.00000000,397
270.00000000,-60.00000000,379
285.00000000,-60.00000000,385
300.00000000,-60.00000000,399
315.00000000,-60.00000000,437
330.00000000,-60.00000000,454
345.00000000,-60.00000000,408
360.00000000,-60.00000000,456
0.00000000,-45.00000000,379
15.00000000,-45.00000000,379
30.00000000,-45.00000000,395
45.00000000,-45.00000000,362
60.00000000,-45.00000000,298
75.00000000,-45.00000000,304
90.00000000,-45.00000000,347
105.00000000,-45.00000000,362
120.00000000,-45.00000000,356
135.00000000,-45.00000000,402
150.00000000,-45.00000000,399
165.00000000,-45.00000000,409
180.00000000,-45.00000000,342
195.00000000,-45.00000000,389
210.00000000,-45.00000000,392
225.00000000,-45.00000000,398
240.00000000,-45.00000000,356
255.00000000,-45.00000000,341
270.00000000,-45.00000000,322
285.00000000,-45.00000000,304
300.00000000,-45.00000000,346
315.00000000,-45.00000000,337
330.00000000,-45.00000000,368
345.00000000,-45.00000000,379
360.00000000,-45.00000000,379
0.00000000,-30.00000000,279
15.00000000,-30.00000000,282
30.00000000,-30.00000000,283
45.00000000,-30.00000000,280
60.00000000,-30.00000000,262
75.00000000,-30.00000000,227
90.00000000,-30.00000000,247
105.00000000,-30.00000000,248
120.00000000,-30.00000000,270
135.00000000,-30.00000000,265
150.00000000,-30.00000000,299
165.00000000,-30.00000000,295
180.00000000,-30.00000000,203
195.00000000,-30.00000000,288
210.00000000,-30.00000000,295
225.00000000,-30.00000000,261
240.00000000,-30.00000000,269
255.00000000,-30.00000000,247
270.00000000,-30.00000000,229
285.00000000,-30.00000000,223
300.00000000,-30.00000000,211
315.00000000,-30.00000000,249
330.00000000,-30.00000000,261
345.00000000,-30.00000000,282
360.00000000,-30.00000000,279
0.00000000,-15.00000000,182
15.00000000,-15.00000000,157
30.00000000,-15.00000000,179
45.00000000,-15.00000000,176
60.00000000,-15.00000000,155
75.00000000,-15.00000000,151
90.00000000,-15.00000000,153
105.00000000,-15.00000000,166
120.00000000,-15.00000000,164
135.00000000,-15.00000000,145
150.00000000,-15.00000000,168
165.00000000,-15.00000000,170
180.00000000,-15.00000000,177
195.00000000,-15.00000000,163
210.00000000,-15.00000000,164
225.00000000,-15.00000000,146
240.00000000,-15.00000000,171
255.00000000,-15.00000000,168
270.00000000,-15.00000000,154
285.00000000,-15.00000000,151
300.00000000,-15.00000000,146
315.00000000,-15.00000000,178
330.00000000,-15.00000000,181
345.00000000,-15.00000000,146
360.00000000,-15.00000000,182
0.00000000,0.00000000,113
15.00000000,0.00000000,136
30.00000000,0.00000000,145
45.00000000,0.00000000,143
60.00000000,0.00000000,144
75.00000000,0.00000000,126
90.00000000,0.00000000,130
105.00000000,0.00000000,127
120.00000000,0.00000000,144
135.00000000,0.00000000,143
150.00000000,0.00000000,145
165.00000000,0.00000000,134
180.00000000,0.00000000,113
195.00000000,0.00000000,136
210.00000000,0.00000000,145
225.00000000,0.00000000,143
240.00000000,0.00000000,144
255.00000000,0.00000000,126
270.00000000,0.00000000,130
285.00000000,0.00000000,127
300.00000000,0.00000000,144
315.00000000,0.00000000,143
330.00000000,0.00000000,145
345.00000000,0.00000000,134
360.00000000,0.00000000,113
0.00000000,15.00000000,177
15.00000000,15.00000000,163
30.00000000,15.00000000,164
45.00000000,15.00000000,146
60.00000000,15.00000000,171
75.00000000,15.00000000,168
90.00000000,15.00000000,154
105.00000000,15.00000000,151
120.00000000,15.00000000,146
135.00000000,15.00000000,178
150.00000000,15.00000000,181
165.00000000,15.00000000,146
180.00000000,15.00000000,182
195.00000000,15.00000000,157
210.00000000,15.00000000,179
225.00000000,15.00000000,176
