az_deg,el_deg,a_ft
0.00000000,-90.00000000,1410
15.00000000,-90.00000000,1429
30.00000000,-90.00000000,1426
45.00000000,-90.00000000,1431
60.00000000,-90.00000000,1431
75.00000000,-90.00000000,1429
90.00000000,-90.00000000,1395
105.00000000,-90.00000000,1429
120.00000000,-90.00000000,1429
135.00000000,-90.00000000,1471
150.00000000,-90.00000000,1429
165.00000000,-90.00000000,1426
180.00000000,-90.00000000,1395
195.00000000,-90.00000000,1429
210.00000000,-90.00000000,1426
225.00000000,-90.00000000,1426
240.00000000,-90.00000000,1429
255.00000000,-90.00000000,1431
270.00000000,-90.00000000,1410
285.00000000,-90.00000000,1429
300.00000000,-90.00000000,1429
315.00000000,-90.00000000,1410
330.00000000,-90.00000000,1429
345.00000000,-90.00000000,1429
360.00000000,-90.00000000,1410
0.00000000,-75.00000000,1374
15.00000000,-75.00000000,1224
30.00000000,-75.00000000,1298
45.00000000,-75.00000000,1252
60.00000000,-75.00000000,1163
75.00000000,-75.00000000,1165
90.00000000,-75.00000000,1208
105.00000000,-75.00000000,1211
120.00000000,-75.00000000,1274
135.00000000,-75.00000000,1283
150.00000000,-75.00000000,1273
165.00000000,-75.00000000,1254
180.00000000,-75.00000000,1298
195.00000000,-75.00000000,1254
210.00000000,-75.00000000,1273
225.00000000,-75.00000000,1283
240.00000000,-75.00000000,1257
255.00000000,-75.00000000,1197
270.00000000,-75.00000000,1208
285.00000000,-75.00000000,1190
300.00000000,-75.00000000,1218
315.00000000,-75.00000000,1286
330.00000000,-75.00000000,1283
345.00000000,-75.00000000,1224
360.00000000,-75.00000000,1374
0.00000000,-60.00000000,1411
15.00000000,-60.00000000,1237
30.00000000,-60.00000000,1215
45.00000000,-60.00000000,1100
60.00000000,-60.00000000,1109
75.00000000,-60.00000000,1102
90.00000000,-60.00000000,1112
105.00000000,-60.00000000,1172
120.00000000,-60.00000000,1229
135.00000000,-60.00000000,1253
150.00000000,-60.00000000,1236
