az_deg,el_deg,a_ft
0.00000000,-90.00000000,348
15.00000000,-90.00000000,348
30.00000000,-90.00000000,351
45.00000000,-90.00000000,349
60.00000000,-90.00000000,350
75.00000000,-90.00000000,350
90.00000000,-90.00000000,348
105.00000000,-90.00000000,348
120.00000000,-90.00000000,350
135.00000000,-90.00000000,349
150.00000000,-90.00000000,350
165.00000000,-90.00000000,350
180.00000000,-90.00000000,348
195.00000000,-90.00000000,348
210.00000000,-90.00000000,350
225.00000000,-90.00000000,349
240.00000000,-90.00000000,350
255.00000000,-90.00000000,350
270.00000000,-90.00000000,348
285.00000000,-90.00000000,348
300.00000000,-90.00000000,350
315.00000000,-90.00000000,349
330.00000000,-90.00000000,350
345.00000000,-90.00000000,350
360.00000000,-90.00000000,348
0.00000000,-75.00000000,332
15.00000000,-75.00000000,332
30.00000000,-75.00000000,326
45.00000000,-75.00000000,339
60.00000000,-75.00000000,343
75.00000000,-75.00000000,343
90.00000000,-75.00000000,329
105.00000000,-75.00000000,295
120.00000000,-75.00000000,287
135.00000000,-75.00000000,296
150.00000000,-75.00000000,307
165.00000000,-75.00000000,276
180.00000000,-75.00000000,285
195.00000000,-75.00000000,280
210.00000000,-75.00000000,303
225.00000000,-75.00000000,283
240.00000000,-75.00000000,276
255.00000000,-75.00000000,287
270.00000000,-75.00000000,297
285.00000000,-75.00000000,340
300.00000000,-75.00000000,349
315.00000000,-75.00000000,341
330.00000000,-75.00000000,334
345.00000000,-75.00000000,332
360.00000000,-75.00000000,332
0.00000000,-60.00000000,303
15.00000000,-60.00000000,299
30.00000000,-60.00000000,309
45.00000000,-60.00000000,310
60.00000000,-60.00000000,279
75.00000000,-60.00000000,293
90.00000000,-60.00000000,258
105.00000000,-60.00000000,269
120.00000000,-60.00000000,263
135.00000000,-60.00000000,274
150.00000000,-60.00000000,275
165.00000000,-60.00000000,311
180.00000000,-60.00000000,291
195.00000000,-60.00000000,333
210.00000000,-60.00000000,268
225.00000000,-60.00000000,254
240.00000000,-60.00000000,260
255.00000000,-60.00000000,263
270.00000000,-60.00000000,251
285.00000000,-60.00000000,281
300.00000000,-60.00000000,261
315.00000000,-60.00000000,286
330.00000000,-60.00000000,296
345.00000000,-60.00000000,308
360.00000000,-60.00000000,303
0.00000000,-45.00000000,269
15.00000000,-45.00000000,272
30.00000000,-45.00000000,266
45.00000000,-45.00000000,260
60.00000000,-45.00000000,238
75.00000000,-45.00000000,232
90.00000000,-45.00000000,212
105.00000000,-45.00000000,229
120.00000000,-45.00000000,241
135.00000000,-45.00000000,242
150.00000000,-45.00000000,249
165.00000000,-45.00000000,286
180.00000000,-45.00000000,285
195.00000000,-45.00000000,286
210.00000000,-45.00000000,235
225.00000000,-45.00000000,241
240.00000000,-45.00000000,235
255.00000000,-45.00000000,227
270.00000000,-45.00000000,203
285.00000000,-45.00000000,221
300.00000000,-45.00000000,218
315.00000000,-45.00000000,248
330.00000000,-45.00000000,254
345.00000000,-45.00000000,260
360.00000000,-45.00000000,269
0.00000000,-30.00000000,222
15.00000000,-30.00000000,192
30.00000000,-30.00000000,195
45.00000000,-30.00000000,192
60.00000000,-30.00000000,196
75.00000000,-30.00000000,178
90.00000000,-30.00000000,178
105.00000000,-30.00000000,199
120.00000000,-30.00000000,190
135.00000000,-30.00000000,211
150.00000000,-30.00000000,220
165.00000000,-30.00000000,235
180.00000000,-30.00000000,254
195.00000000,-30.00000000,219
210.00000000,-30.00000000,207
225.00000000,-30.00000000,190
240.00000000,-30.00000000,190
255.00000000,-30.00000000,201
270.00000000,-30.00000000,178
285.00000000,-30.00000000,176
300.00000000,-30.00000000,189
315.00000000,-30.00000000,191
330.00000000,-30.00000000,192
345.00000000,-30.00000000,189
360.00000000,-30.00000000,222
0.00000000,-15.00000000,131
15.00000000,-15.00000000,118
30.00000000,-15.00000000,130
45.00000000,-15.00000000,122
60.00000000,-15.00000000,128
75.00000000,-15.00000000,143
90.00000000,-15.00000000,128
105.00000000,-15.00000000,149
120.00000000,-15.00000000,141
135.00000000,-15.00000000,142
150.00000000,-15.00000000,144
165.00000000,-15.00000000,157
180.00000000,-15.00000000,181
195.00000000,-15.00000000,154
210.00000000,-15.00000000,143
225.00000000,-15.00000000,142
240.00000000,-15.00000000,152
255.00000000,-15.00000000,145
270.00000000,-15.00000000,127
285.00000000,-15.00000000,141
300.00000000,-15.00000000,128
315.00000000,-15.00000000,121
330.00000000,-15.00000000,127
345.00000000,-15.00000000,115
360.00000000,-15.00000000,131
0.00000000,0.00000000,103
15.00000000,0.00000000,110
30.00000000,0.00000000,103
45.00000000,0.00000000,111
60.00000000,0.00000000,108
75.00000000,0.00000000,108
90.00000000,0.00000000,105
105.00000000,0.00000000,115
120.00000000,0.00000000,108
135.00000000,0.00000000,117
150.00000000,0.00000000,110
165.00000000,0.00000000,109
180.00000000,0.00000000,103
195.00000000,0.00000000,110
210.00000000,0.00000000,103
225.00000000,0.00000000,111
240.00000000,0.00000000,108
255.00000000,0.00000000,108
270.00000000,0.00000000,105
285.00000000,0.00000000,115
300.00000000,0.00000000,108
315.00000000,0.00000000,117
330.00000000,0.00000000,110
345.00000000,0.00000000,109
360.00000000,0.00000000,103
0.00000000,15.00000000,186
15.00000000,15.00000000,154
30.00000000,15.00000000,143
45.00000000,15.00000000,142
60.00000000,15.00000000,152
75.00000000,15.00000000,145
90.00000000,15.00000000,127
105.00000000,15.00000000,141
120.00000000,15.00000000,128
135.00000000,15.00000000,121
150.00000000,15.00000000,127
165.00000000,15.00000000,115
180.00000000,15.00000000,131
195.00000000,15.00000000,118
210.00000000,15.00000000,130
225.00000000,15.00000000,122
240.00000000,15.00000000,128
