az_deg,el_deg,a_ft
0.00000000,-90.00000000,1364
15.00000000,-90.00000000,1364
30.00000000,-90.00000000,1364
45.00000000,-90.00000000,1362
60.00000000,-90.00000000,1364
75.00000000,-90.00000000,1364
90.00000000,-90.00000000,1353
105.00000000,-90.00000000,1364
120.00000000,-90.00000000,1364
135.00000000,-90.00000000,1364
150.00000000,-90.00000000,1364
165.00000000,-90.00000000,1364
180.00000000,-90.00000000,1364
195.00000000,-90.00000000,1364
210.00000000,-90.00000000,1364
225.00000000,-90.00000000,1364
240.00000000,-90.00000000,1364
255.00000000,-90.00000000,1364
270.00000000,-90.00000000,1363
285.00000000,-90.00000000,1364
300.00000000,-90.00000000,1364
315.00000000,-90.00000000,1358
330.00000000,-90.00000000,1364
345.00000000,-90.00000000,1364
360.00000000,-90.00000000,1364
0.00000000,-75.00000000,1448
15.00000000,-75.00000000,1550
30.00000000,-75.00000000,1562
45.00000000,-75.00000000,1587
60.00000000,-75.00000000,1562
75.00000000,-75.00000000,1586
90.00000000,-75.00000000,1579
105.00000000,-75.00000000,1605
120.00000000,-75.00000000,1534
135.00000000,-75.00000000,1475
150.00000000,-75.00000000,1462
165.00000000,-75.00000000,1501
180.00000000,-75.00000000,1434
195.00000000,-75.00000000,1489
210.00000000,-75.00000000,1462
225.00000000,-75.00000000,1500
240.00000000,-75.00000000,1609
255.00000000,-75.00000000,1605
270.00000000,-75.00000000,1583
285.00000000,-75.00000000,1586
300.00000000,-75.00000000,1585
315.00000000,-75.00000000,1587
330.00000000,-75.00000000,1562
345.00000000,-75.00000000,1528
360.00000000,-75.00000000,1448
0.00000000,-60.00000000,1285
15.00000000,-60.00000000,1339
30.00000000,-60.00000000,1536
45.00000000,-60.00000000,1352
60.00000000,-60.00000000,1389
75.00000000,-60.00000000,1429
90.00000000,-60.00000000,1431
105.00000000,-60.00000000,1526
120.00000000,-60.00000000,1449
135.00000000,-60.00000000,1454
150.00000000,-60.00000000,1434
165.00000000,-60.00000000,1633
180.00000000,-60.00000000,1407
195.00000000,-60.00000000,1633
210.00000000,-60.00000000,1434
225.00000000,-60.00000000,1440
240.00000000,-60.00000000,1449
255.00000000,-60.00000000,1475
270.00000000,-60.00000000,1433
285.00000000,-60.00000000,1429
300.00000000,-60.00000000,1389
315.00000000,-60.00000000,1352
330.00000000,-60.00000000,1394
345.00000000,-60.00000000,1339
360.00000000,-60.00000000,1285
0.00000000,-45.00000000,883
15.00000000,-45.00000000,1128
30.00000000,-45.00000000,1216
45.00000000,-45.00000000,1252
60.00000000,-45.00000000,1229
75.00000000,-45.00000000,1223
90.00000000,-45.00000000,1188
105.00000000,-45.00000000,1280
120.00000000,-45.00000000,1397
135.00000000,-45.00000000,1434
150.00000000,-45.00000000,1294
165.00000000,-45.00000000,1483
180.00000000,-45.00000000,1387
195.00000000,-45.00000000,1480
210.00000000,-45.00000000,1298
225.00000000,-45.00000000,1434
240.00000000,-45.00000000,1397
255.00000000,-45.00000000,1280
270.00000000,-45.00000000,1188
285.00000000,-45.00000000,1223
300.00000000,-45.00000000,1230
315.00000000,-45.00000000,1252
330.00000000,-45.00000000,1216
345.00000000,-45.00000000,1180
360.00000000,-45.00000000,883
0.00000000,-30.00000000,672
15.00000000,-30.00000000,668
30.00000000,-30.00000000,773
45.00000000,-30.00000000,919
60.00000000,-30.00000000,960
75.00000000,-30.00000000,1072
90.00000000,-30.00000000,1116
105.00000000,-30.00000000,1098
120.00000000,-30.00000000,1140
135.00000000,-30.00000000,1239
150.00000000,-30.00000000,1293
165.00000000,-30.00000000,1172
180.00000000,-30.00000000,1194
195.00000000,-30.00000000,1172
210.00000000,-30.00000000,1301
225.00000000,-30.00000000,1238
240.00000000,-30.00000000,1148
255.00000000,-30.00000000,1095
270.00000000,-30.00000000,1116
285.00000000,-30.00000000,1072
300.00000000,-30.00000000,960
315.00000000,-30.00000000,919
330.00000000,-30.00000000,773
345.00000000,-30.00000000,668
360.00000000,-30.00000000,672
0.00000000,-15.00000000,429
15.00000000,-15.00000000,504
30.00000000,-15.00000000,660
45.00000000,-15.00000000,714
60.00000000,-15.00000000,741
75.00000000,-15.00000000,825
90.00000000,-15.00000000,906
105.00000000,-15.00000000,958
120.00000000,-15.00000000,990
135.00000000,-15.00000000,972
150.00000000,-15.00000000,1157
165.00000000,-15.00000000,872
180.00000000,-15.00000000,817
195.00000000,-15.00000000,865
210.00000000,-15.00000000,1157
225.00000000,-15.00000000,982
240.00000000,-15.00000000,990
255.00000000,-15.00000000,932
270.00000000,-15.00000000,906
285.00000000,-15.00000000,825
300.00000000,-15.00000000,741
315.00000000,-15.00000000,715
330.00000000,-15.00000000,660
345.00000000,-15.00000000,505
360.00000000,-15.00000000,429
0.00000000,0.00000000,455
15.00000000,0.00000000,733
30.00000000,0.00000000,773
45.00000000,0.00000000,740
60.00000000,0.00000000,702
75.00000000,0.00000000,693
90.00000000,0.00000000,676
105.00000000,0.00000000,693
120.00000000,0.00000000,702
135.00000000,0.00000000,740
150.00000000,0.00000000,773
165.00000000,0.00000000,733
180.00000000,0.00000000,463
195.00000000,0.00000000,733
210.00000000,0.00000000,773
225.00000000,0.00000000,740
240.00000000,0.00000000,702
255.00000000,0.00000000,693
270.00000000,0.00000000,676
285.00000000,0.00000000,693
300.00000000,0.00000000,702
315.00000000,0.00000000,740
330.00000000,0.00000000,773
345.00000000,0.00000000,733
360.00000000,0.00000000,455
0.00000000,15.00000000,825
15.00000000,15.00000000,865
30.00000000,15.00000000,1157
45.00000000,15.00000000,982
60.00000000,15.00000000,990
75.00000000,15.00000000,932
90.00000000,15.00000000,906
105.00000000,15.00000000,825
120.00000000,15.00000000,741
135.00000000,15.00000000,715
150.00000000,15.00000000,660
165.00000000,15.00000000,505
180.00000000,15.00000000,427
195.00000000,15.00000000,504
210.00000000,15.00000000,660
225.00000000,15.00000000,714
240.00000000,15.00000000,741
255.00000000,15.00000000,825
270.00000000,15.00000000,906
285.00000000,15.00000000,958
300.00000000,15.00000000,990
315.00000000,15.00000000,972
330.00000000,15.00000000,1157
345.00000000,15.00000000,872
360.00000000,15.00000000,825
0.00000000,30.00000000,1194
15.00000000,30.00000000,1172
30.00000000,30.00000000,1301
45.00000000,30.00000000,1238
60.00000000,30.00000000,1148
75.00000000,30.00000000,1095
90.00000000,30.00000000,1116
105.00000000,30.00000000,1072
120.00000000,30.00000000,960
135.00000000,30.00000000,919
150.00000000,30.00000000,773
165.00000000,30.00000000,668
180.00000000,30.00000000,644
195.00000000,30.00000000,668
210.00000000,30.00000000,773
225.00000000,30.00000000,919
240.00000000,30.00000000,960
255.00000000,30.00000000,1072
270.00000000,30.00000000,1116
285.00000000,30.00000000,1098
300.00000000,30.00000000,1140
315.00000000,30.00000000,1239
330.00000000,30.00000000,1293
345.00000000,30.00000000,1172
360.00000000,30.00000000,1194
0.00000000,45.00000000,1387
15.00000000,45.00000000,1480
30.00000000,45.00000000,1298
45.00000000,45.00000000,1434
60.00000000,45.00000000,1397
75.00000000,45.00000000,1280
90.00000000,45.00000000,1188
105.00000000,45.00000000,1223
120.00000000,45.00000000,1230
135.00000000,45.00000000,1252
150.00000000,45.00000000,1216
165.00000000,45.00000000,1180
180.00000000,45.00000000,880
195.00000000,45.00000000,1128
210.00000000,45.00000000,1216
225.00000000,45.00000000,1252
240.00000000,45.00000000,1229
255.00000000,45.00000000,1223
270.00000000,45.00000000,1188
285.00000000,45.00000000,1280
300.00000000,45.00000000,1397
315.00000000,45.00000000,1434
330.00000000,45.00000000,1294
345.00000000,45.00000000,1483
360.00000000,45.00000000,1387
0.00000000,60.00000000,1391
15.00000000,60.00000000,1633
