az_deg,el_deg,a_ft
0.00000000,-90.00000000,1626
15.00000000,-90.00000000,1627
30.00000000,-90.00000000,1626
45.00000000,-90.00000000,1629
60.00000000,-90.00000000,1626
75.00000000,-90.00000000,1626
90.00000000,-90.00000000,1626
105.00000000,-90.00000000,1626
120.00000000,-90.00000000,1627
135.00000000,-90.00000000,1627
150.00000000,-90.00000000,1627
165.00000000,-90.00000000,1626
180.00000000,-90.00000000,1626
195.00000000,-90.00000000,1626
210.00000000,-90.00000000,1626
225.00000000,-90.00000000,1626
240.00000000,-90.00000000,1626
255.00000000,-90.00000000,1626
270.00000000,-90.00000000,1626
285.00000000,-90.00000000,1627
300.00000000,-90.00000000,1626
315.00000000,-90.00000000,1627
330.00000000,-90.00000000,1626
345.00000000,-90.00000000,1627
360.00000000,-90.00000000,1626
0.00000000,-75.00000000,1602
15.00000000,-75.00000000,1598
30.00000000,-75.00000000,1578
45.00000000,-75.00000000,1538
60.00000000,-75.00000000,1614
75.00000000,-75.00000000,1568
90.00000000,-75.00000000,1582
105.00000000,-75.00000000,1605
120.00000000,-75.00000000,1616
135.00000000,-75.00000000,1632
150.00000000,-75.00000000,1643
165.00000000,-75.00000000,1643
180.00000000,-75.00000000,1654
195.00000000,-75.00000000,1649
210.00000000,-75.00000000,1641
225.00000000,-75.00000000,1631
240.00000000,-75.00000000,1614
255.00000000,-75.00000000,1600
270.00000000,-75.00000000,1581
285.00000000,-75.00000000,1566
300.00000000,-75.00000000,1610
315.00000000,-75.00000000,1541
330.00000000,-75.00000000,1579
345.00000000,-75.00000000,1604
360.00000000,-75.00000000,1602
0.00000000,-60.00000000,1243
15.00000000,-60.00000000,1418
30.00000000,-60.00000000,1430
45.00000000,-60.00000000,1347
60.00000000,-60.00000000,1352
75.00000000,-60.00000000,1346
90.00000000,-60.00000000,1359
105.00000000,-60.00000000,1472
120.00000000,-60.00000000,1421
135.00000000,-60.00000000,1440
150.00000000,-60.00000000,1454
165.00000000,-60.00000000,1618
180.00000000,-60.00000000,1465
195.00000000,-60.00000000,1621
210.00000000,-60.00000000,1552
225.00000000,-60.00000000,1484
240.00000000,-60.00000000,1504
255.00000000,-60.00000000,1472
270.00000000,-60.00000000,1359
285.00000000,-60.00000000,1346
300.00000000,-60.00000000,1348
315.00000000,-60.00000000,1345
330.00000000,-60.00000000,1406
345.00000000,-60.00000000,1446
360.00000000,-60.00000000,1243
0.00000000,-45.00000000,1089
15.00000000,-45.00000000,1349
30.00000000,-45.00000000,1148
45.00000000,-45.00000000,1110
60.00000000,-45.00000000,1129
75.00000000,-45.00000000,1122
90.00000000,-45.00000000,1164
105.00000000,-45.00000000,1137
120.00000000,-45.00000000,1226
135.00000000,-45.00000000,1302
150.00000000,-45.00000000,1361
165.00000000,-45.00000000,1390
180.00000000,-45.00000000,1288
195.00000000,-45.00000000,1420
210.00000000,-45.00000000,1362
225.00000000,-45.00000000,1298
240.00000000,-45.00000000,1226
255.00000000,-45.00000000,1138
270.00000000,-45.00000000,1146
285.00000000,-45.00000000,1120
300.00000000,-45.00000000,1130
315.00000000,-45.00000000,1110
330.00000000,-45.00000000,1313
345.00000000,-45.00000000,1350
360.00000000,-45.00000000,1089
0.00000000,-30.00000000,767
15.00000000,-30.00000000,928
30.00000000,-30.00000000,1038
45.00000000,-30.00000000,1082
60.00000000,-30.00000000,872
75.00000000,-30.00000000,909
90.00000000,-30.00000000,973
105.00000000,-30.00000000,914
120.00000000,-30.00000000,938
135.00000000,-30.00000000,1024
150.00000000,-30.00000000,1083
165.00000000,-30.00000000,1059
180.00000000,-30.00000000,1046
195.00000000,-30.00000000,1061
210.00000000,-30.00000000,1088
225.00000000,-30.00000000,1025
240.00000000,-30.00000000,940
255.00000000,-30.00000000,909
270.00000000,-30.00000000,972
285.00000000,-30.00000000,911
300.00000000,-30.00000000,870
315.00000000,-30.00000000,1078
330.00000000,-30.00000000,1036
345.00000000,-30.00000000,927
360.00000000,-30.00000000,767
0.00000000,-15.00000000,504
15.00000000,-15.00000000,530
30.00000000,-15.00000000,565
45.00000000,-15.00000000,667
60.00000000,-15.00000000,751
75.00000000,-15.00000000,672
90.00000000,-15.00000000,778
105.00000000,-15.00000000,697
120.00000000,-15.00000000,762
135.00000000,-15.00000000,827
150.00000000,-15.00000000,864
165.00000000,-15.00000000,928
180.00000000,-15.00000000,1022
195.00000000,-15.00000000,929
210.00000000,-15.00000000,859
225.00000000,-15.00000000,827
240.00000000,-15.00000000,760
255.00000000,-15.00000000,698
270.00000000,-15.00000000,791
285.00000000,-15.00000000,677
300.00000000,-15.00000000,752
315.00000000,-15.00000000,667
330.00000000,-15.00000000,563
345.00000000,-15.00000000,540
360.00000000,-15.00000000,504
0.00000000,0.00000000,626
15.00000000,0.00000000,754
30.00000000,0.00000000,833
45.00000000,0.00000000,772
60.00000000,0.00000000,750
75.00000000,0.00000000,652
90.00000000,0.00000000,646
105.00000000,0.00000000,648
120.00000000,0.00000000,750
135.00000000,0.00000000,788
150.00000000,0.00000000,788
165.00000000,0.00000000,722
180.00000000,0.00000000,641
195.00000000,0.00000000,754
210.00000000,0.00000000,833
225.00000000,0.00000000,772
240.00000000,0.00000000,750
255.00000000,0.00000000,652
270.00000000,0.00000000,646
285.00000000,0.00000000,648
300.00000000,0.00000000,750
315.00000000,0.00000000,788
330.00000000,0.00000000,788
345.00000000,0.00000000,722
360.00000000,0.00000000,626
0.00000000,15.00000000,1022
15.00000000,15.00000000,929
30.00000000,15.00000000,859
45.00000000,15.00000000,827
60.00000000,15.00000000,760
75.00000000,15.00000000,698
90.00000000,15.00000000,791
105.00000000,15.00000000,677
120.00000000,15.00000000,752
135.00000000,15.00000000,667
150.00000000,15.00000000,563
165.00000000,15.00000000,540
180.00000000,15.00000000,505
195.00000000,15.00000000,530
210.00000000,15.00000000,565
225.00000000,15.00000000,667
240.00000000,15.00000000,751
255.00000000,15.00000000,672
270.00000000,15.00000000,778
285.00000000,15.00000000,697
300.00000000,15.00000000,762
315.00000000,15.00000000,827
330.00000000,15.00000000,864
345.00000000,15.00000000,928
360.00000000,15.00000000,1022
0.00000000,30.00000000,1045
15.00000000,30.00000000,1061
30.00000000,30.00000000,1088
45.00000000,30.00000000,1025
60.00000000,30.00000000,940
75.00000000,30.00000000,909
90.00000000,30.00000000,972
105.00000000,30.00000000,911
120.00000000,30.00000000,870
135.00000000,30.00000000,1078
150.00000000,30.00000000,1036
165.00000000,30.00000000,927
180.00000000,30.00000000,762
195.00000000,30.00000000,928
210.00000000,30.00000000,1038
225.00000000,30.00000000,1082
240.00000000,30.00000000,872
255.00000000,30.00000000,909
270.00000000,30.00000000,973
285.00000000,30.00000000,914
300.00000000,30.00000000,938
315.00000000,30.00000000,1024
330.00000000,30.00000000,1083
345.00000000,30.00000000,1059
360.00000000,30.00000000,1045
0.00000000,45.00000000,1297
15.00000000,45.00000000,1420
30.00000000,45.00000000,1362
45.00000000,45.00000000,1298
60.00000000,45.00000000,1226
75.00000000,45.00000000,1138
90.00000000,45.00000000,1146
105.00000000,45.00000000,1120
120.00000000,45.00000000,1130
135.00000000,45.00000000,1110
150.00000000,45.00000000,1313
165.00000000,45.00000000,1350
180.00000000,45.00000000,1027
195.00000000,45.00000000,1349
210.00000000,45.00000000,1148
225.00000000,45.00000000,1110
240.00000000,45.00000000,1129
255.00000000,45.00000000,1122
270.00000000,45.00000000,1164
285.00000000,45.00000000,1137
300.00000000,45.00000000,1226
315.00000000,45.00000000,1302
330.00000000,45.00000000,1361
345.00000000,45.00000000,1390
360.00000000,45.00000000,1297
0.00000000,60.00000000,1584
15.00000000,60.00000000,1621
30.00000000,60.00000000,1552
45.00000000,60.00000000,1484
60.00000000,60.00000000,1504
75.00000000,60.00000000,1472
90.00000000,60.00000000,1359
105.00000000,60.00000000,1346
120.00000000,60.00000000,1348
135.00000000,60.00000000,1345
150.00000000,60.00000000,1406
165.00000000,60.00000000,1446
180.00000000,60.00000000,1232
195.00000000,60.00000000,1418
210.00000000,60.00000000,1430
225.00000000,60.00000000,1347
240.00000000,60.00000000,1352
255.00000000,60.00000000,1346
270.00000000,60.00000000,1359
285.00000000,60.00000000,1472
300.00000000,60.00000000,1421
315.00000000,60.00000000,1440
330.00000000,60.00000000,1454
345.00000000,60.00000000,1618
360.00000000,60.00000000,1584
0.00000000,75.00000000,1654
15.00000000,75.00000000,1649
30.00000000,75.00000000,1641
45.00000000,75.00000000,1631
60.00000000,75.00000000,1614
75.00000000,75.00000000,1600
90.00000000,75.00000000,1581
105.00000000,75.00000000,1566
120.00000000,75.00000000,1610
135.00000000,75.00000000,1541
150.00000000,75.00000000,1579
165.00000000,75.00000000,1604
180.00000000,75.00000000,1570
195.00000000,75.00000000,1598
210.00000000,75.00000000,1578
225.00000000,75.00000000,1538
240.00000000,75.00000000,1614
255.00000000,75.00000000,1568
270.00000000,75.00000000,1582
285.00000000,75.00000000,1605
300.00000000,75.00000000,1616
315.00000000,75.00000000,1632
330.00000000,75.00000000,1643
345.00000000,75.00000000,1643
360.00000000,75.00000000,1654
0.00000000,90.00000000,1626
15.00000000,90.00000000,1626
30.00000000,90.00000000,1626
45.00000000,90.00000000,1626
60.00000000,90.00000000,1627
75.00000000,90.00000000,1626
90.00000000,90.00000000,1627
105.00000000,90.00000000,1626
120.00000000,90.00000000,1626
135.00000000,90.00000000,1633
150.00000000,90.00000000,1627
165.00000000,90.00000000,1626
180.00000000,90.00000000,1629
195.00000000,90.00000000,1627
210.00000000,90.00000000,1626
225.00000000,90.00000000,1633
240.00000000,90.00000000,1627
255.00000000,90.00000000,1629
270.00000000,90.00000000,1626
285.00000000,90.00000000,1626
300.00000000,90.00000000,1627
315.00000000,90.00000000,1631
330.00000000,90.00000000,1629
345.00000000,90.00000000,1626
360.00000000,90.00000000,1626
