az_deg,el_deg,a_ft
0.00000000,-90.00000000,1609
15.00000000,-90.00000000,1630
30.00000000,-90.00000000,1630
45.00000000,-90.00000000,1627
60.00000000,-90.00000000,1630
75.00000000,-90.00000000,1630
90.00000000,-90.00000000,1609
105.00000000,-90.00000000,1630
120.00000000,-90.00000000,1630
135.00000000,-90.00000000,1627
150.00000000,-90.00000000,1630
165.00000000,-90.00000000,1630
180.00000000,-90.00000000,1609
195.00000000,-90.00000000,1630
210.00000000,-90.00000000,1630
225.00000000,-90.00000000,1627
240.00000000,-90.00000000,1630
255.00000000,-90.00000000,1630
270.00000000,-90.00000000,1609
285.00000000,-90.00000000,1630
300.00000000,-90.00000000,1630
315.00000000,-90.00000000,1627
330.00000000,-90.00000000,1630
345.00000000,-90.00000000,1630
360.00000000,-90.00000000,1609
0.00000000,-75.00000000,1576
15.00000000,-75.00000000,1622
30.00000000,-75.00000000,1683
45.00000000,-75.00000000,1708
60.00000000,-75.00000000,1727
75.00000000,-75.00000000,1723
90.00000000,-75.00000000,1680
105.00000000,-75.00000000,1705
120.00000000,-75.00000000,1690
135.00000000,-75.00000000,1680
150.00000000,-75.00000000,1667
165.00000000,-75.00000000,1672
180.00000000,-75.00000000,1541
195.00000000,-75.00000000,1644
210.00000000,-75.00000000,1652
225.00000000,-75.00000000,1674
240.00000000,-75.00000000,1685
255.00000000,-75.00000000,1687
270.00000000,-75.00000000,1667
285.00000000,-75.00000000,1683
300.00000000,-75.00000000,1672
315.00000000,-75.00000000,1671
330.00000000,-75.00000000,1683
345.00000000,-75.00000000,1615
360.00000000,-75.00000000,1576
0.00000000,-60.00000000,1431
15.00000000,-60.00000000,1734
30.00000000,-60.00000000,1732
45.00000000,-60.00000000,1586
60.00000000,-60.00000000,1575
75.00000000,-60.00000000,1567
90.00000000,-60.00000000,1504
105.00000000,-60.00000000,1549
120.00000000,-60.00000000,1616
135.00000000,-60.00000000,1589
150.00000000,-60.00000000,1577
165.00000000,-60.00000000,1567
180.00000000,-60.00000000,1428
195.00000000,-60.00000000,1562
210.00000000,-60.00000000,1533
225.00000000,-60.00000000,1523
240.00000000,-60.00000000,1537
255.00000000,-60.00000000,1527
270.00000000,-60.00000000,1495
285.00000000,-60.00000000,1511
300.00000000,-60.00000000,1537
315.00000000,-60.00000000,1574
330.00000000,-60.00000000,1710
345.00000000,-60.00000000,1602
360.00000000,-60.00000000,1431
0.00000000,-45.00000000,1219
15.00000000,-45.00000000,1591
30.00000000,-45.00000000,1445
45.00000000,-45.00000000,1498
60.00000000,-45.00000000,1492
75.00000000,-45.00000000,1291
90.00000000,-45.00000000,1268
105.00000000,-45.00000000,1334
120.00000000,-45.00000000,1322
135.00000000,-45.00000000,1334
150.00000000,-45.00000000,1318
165.00000000,-45.00000000,1332
180.00000000,-45.00000000,1219
195.00000000,-45.00000000,1301
210.00000000,-45.00000000,1293
225.00000000,-45.00000000,1330
240.00000000,-45.00000000,1298
255.00000000,-45.00000000,1283
270.00000000,-45.00000000,1261
285.00000000,-45.00000000,1284
300.00000000,-45.00000000,1348
315.00000000,-45.00000000,1418
330.00000000,-45.00000000,1440
345.00000000,-45.00000000,1516
360.00000000,-45.00000000,1219
0.00000000,-30.00000000,1086
15.00000000,-30.00000000,1258
30.00000000,-30.00000000,1204
45.00000000,-30.00000000,1181
60.00000000,-30.00000000,1155
75.00000000,-30.00000000,1079
90.00000000,-30.00000000,1050
105.00000000,-30.00000000,1046
120.00000000,-30.00000000,1066
135.00000000,-30.00000000,1095
150.00000000,-30.00000000,1076
165.00000000,-30.00000000,1171
180.00000000,-30.00000000,916
195.00000000,-30.00000000,1137
210.00000000,-30.00000000,1112
225.00000000,-30.00000000,1052
240.00000000,-30.00000000,1048
255.00000000,-30.00000000,1013
270.00000000,-30.00000000,1044
285.00000000,-30.00000000,1060
300.00000000,-30.00000000,1143
315.00000000,-30.00000000,1127
330.00000000,-30.00000000,1170
345.00000000,-30.00000000,1214
360.00000000,-30.00000000,1086
0.00000000,-15.00000000,605
15.00000000,-15.00000000,711
30.00000000,-15.00000000,681
45.00000000,-15.00000000,619
60.00000000,-15.00000000,687
75.00000000,-15.00000000,681
90.00000000,-15.00000000,765
105.00000000,-15.00000000,723
120.00000000,-15.00000000,695
135.00000000,-15.00000000,773
150.00000000,-15.00000000,871
165.00000000,-15.00000000,861
180.00000000,-15.00000000,816
195.00000000,-15.00000000,844
210.00000000,-15.00000000,864
225.00000000,-15.00000000,763
240.00000000,-15.00000000,694
255.00000000,-15.00000000,718
270.00000000,-15.00000000,755
285.00000000,-15.00000000,668
300.00000000,-15.00000000,685
315.00000000,-15.00000000,605
330.00000000,-15.00000000,674
345.00000000,-15.00000000,679
360.00000000,-15.00000000,605
0.00000000,0.00000000,536
15.00000000,0.00000000,672
30.00000000,0.00000000,593
45.00000000,0.00000000,587
60.00000000,0.00000000,628
75.00000000,0.00000000,622
90.00000000,0.00000000,611
105.00000000,0.00000000,620
120.00000000,0.00000000,628
135.00000000,0.00000000,586
150.00000000,0.00000000,597
165.00000000,0.00000000,679
180.00000000,0.00000000,542
195.00000000,0.00000000,672
210.00000000,0.00000000,593
225.00000000,0.00000000,587
240.00000000,0.00000000,628
255.00000000,0.00000000,622
270.00000000,0.00000000,611
285.00000000,0.00000000,620
300.00000000,0.00000000,628
315.00000000,0.00000000,586
330.00000000,0.00000000,597
345.00000000,0.00000000,679
360.00000000,0.00000000,536
0.00000000,15.00000000,816
15.00000000,15.00000000,844
30.00000000,15.00000000,864
45.00000000,15.00000000,763
60.00000000,15.00000000,694
75.00000000,15.00000000,718
90.00000000,15.00000000,755
105.00000000,15.00000000,668
120.00000000,15.00000000,685
135.00000000,15.00000000,605
150.00000000,15.00000000,674
165.00000000,15.00000000,679
180.00000000,15.00000000,605
195.00000000,15.00000000,711
210.00000000,15.00000000,681
225.00000000,15.00000000,619
240.00000000,15.00000000,687
255.00000000,15.00000000,681
270.00000000,15.00000000,765
285.00000000,15.00000000,723
300.00000000,15.00000000,695
315.00000000,15.00000000,773
330.00000000,15.00000000,871
345.00000000,15.00000000,861
360.00000000,15.00000000,816
0.00000000,30.00000000,916
15.00000000,30.00000000,1137
30.00000000,30.00000000,1112
45.00000000,30.00000000,1052
60.00000000,30.00000000,1048
75.00000000,30.00000000,1013
90.00000000,30.00000000,1044
105.00000000,30.00000000,1060
120.00000000,30.00000000,1143
135.00000000,30.00000000,1127
150.00000000,30.00000000,1170
165.00000000,30.00000000,1214
180.00000000,30.00000000,1086
195.00000000,30.00000000,1258
210.00000000,30.00000000,1204
225.00000000,30.00000000,1181
240.00000000,30.00000000,1155
255.00000000,30.00000000,1079
270.00000000,30.00000000,1050
285.00000000,30.00000000,1046
300.00000000,30.00000000,1066
315.00000000,30.00000000,1095
330.00000000,30.00000000,1076
345.00000000,30.00000000,1171
360.00000000,30.00000000,916
0.00000000,45.00000000,1219
15.00000000,45.00000000,1301
30.00000000,45.00000000,1293
45.00000000,45.00000000,1330
60.00000000,45.00000000,1298
75.00000000,45.00000000,1283
90.00000000,45.00000000,1261
