az_deg,el_deg,a_ft
0.00000000,-90.00000000,1846
15.00000000,-90.00000000,1933
30.00000000,-90.00000000,1933
45.00000000,-90.00000000,1889
60.00000000,-90.00000000,1933
75.00000000,-90.00000000,1933
90.00000000,-90.00000000,1846
105.00000000,-90.00000000,1933
120.00000000,-90.00000000,1933
135.00000000,-90.00000000,1889
150.00000000,-90.00000000,1933
165.00000000,-90.00000000,1933
180.00000000,-90.00000000,1846
195.00000000,-90.00000000,1933
210.00000000,-90.00000000,1933
225.00000000,-90.00000000,1889
240.00000000,-90.00000000,1933
255.00000000,-90.00000000,1933
270.00000000,-90.00000000,1846
285.00000000,-90.00000000,1933
300.00000000,-90.00000000,1933
315.00000000,-90.00000000,1889
330.00000000,-90.00000000,1933
345.00000000,-90.00000000,1933
360.00000000,-90.00000000,1846
0.00000000,-75.00000000,1976
15.00000000,-75.00000000,1888
30.00000000,-75.00000000,1941
45.00000000,-75.00000000,1919
60.00000000,-75.00000000,1853
75.00000000,-75.00000000,1856
90.00000000,-75.00000000,1873
105.00000000,-75.00000000,1793
120.00000000,-75.00000000,1844
135.00000000,-75.00000000,1857
150.00000000,-75.00000000,1868
165.00000000,-75.00000000,1834
180.00000000,-75.00000000,1798
195.00000000,-75.00000000,1811
210.00000000,-75.00000000,1902
225.00000000,-75.00000000,1862
240.00000000,-75.00000000,1843
255.00000000,-75.00000000,1792
270.00000000,-75.00000000,1871
285.00000000,-75.00000000,1859
300.00000000,-75.00000000,1852
315.00000000,-75.00000000,1873
330.00000000,-75.00000000,1937
345.00000000,-75.00000000,2028
360.00000000,-75.00000000,1976
0.00000000,-60.00000000,1745
15.00000000,-60.00000000,1728
30.00000000,-60.00000000,1784
45.00000000,-60.00000000,1741
60.00000000,-60.00000000,1741
75.00000000,-60.00000000,1679
90.00000000,-60.00000000,1687
105.00000000,-60.00000000,1710
120.00000000,-60.00000000,1776
135.00000000,-60.00000000,1677
150.00000000,-60.00000000,1688
165.00000000,-60.00000000,1647
180.00000000,-60.00000000,1660
195.00000000,-60.00000000,1674
210.00000000,-60.00000000,1687
225.00000000,-60.00000000,1655
240.00000000,-60.00000000,1776
255.00000000,-60.00000000,1710
270.00000000,-60.00000000,1689
285.00000000,-60.00000000,1679
300.00000000,-60.00000000,1741
315.00000000,-60.00000000,1740
330.00000000,-60.00000000,1783
345.00000000,-60.00000000,1721
360.00000000,-60.00000000,1745
0.00000000,-45.00000000,1440
15.00000000,-45.00000000,1439
30.00000000,-45.00000000,1564
45.00000000,-45.00000000,1409
60.00000000,-45.00000000,1439
75.00000000,-45.00000000,1416
90.00000000,-45.00000000,1383
105.00000000,-45.00000000,1414
120.00000000,-45.00000000,1438
135.00000000,-45.00000000,1431
150.00000000,-45.00000000,1428
165.00000000,-45.00000000,1433
180.00000000,-45.00000000,1435
195.00000000,-45.00000000,1432
210.00000000,-45.00000000,1427
225.00000000,-45.00000000,1425
240.00000000,-45.00000000,1438
255.00000000,-45.00000000,1416
270.00000000,-45.00000000,1412
285.00000000,-45.00000000,1415
300.00000000,-45.00000000,1439
