az_deg,el_deg,a_ft
0.00000000,-90.00000000,2185
15.00000000,-90.00000000,2185
30.00000000,-90.00000000,2185
45.00000000,-90.00000000,2185
60.00000000,-90.00000000,2185
75.00000000,-90.00000000,2185
90.00000000,-90.00000000,2185
105.00000000,-90.00000000,2185
120.00000000,-90.00000000,2185
135.00000000,-90.00000000,2185
150.00000000,-90.00000000,2185
165.00000000,-90.00000000,2185
180.00000000,-90.00000000,2185
195.00000000,-90.00000000,2185
210.00000000,-90.00000000,2185
225.00000000,-90.00000000,2185
240.00000000,-90.00000000,2185
255.00000000,-90.00000000,2185
270.00000000,-90.00000000,2226
285.00000000,-90.00000000,2185
300.00000000,-90.00000000,2185
315.00000000,-90.00000000,2185
330.00000000,-90.00000000,2185
345.00000000,-90.00000000,2185
360.00000000,-90.00000000,2185
0.00000000,-75.00000000,2003
15.00000000,-75.00000000,2007
30.00000000,-75.00000000,2038
45.00000000,-75.00000000,2091
60.00000000,-75.00000000,2050
75.00000000,-75.00000000,2085
90.00000000,-75.00000000,1865
105.00000000,-75.00000000,2076
120.00000000,-75.00000000,2064
135.00000000,-75.00000000,2081
150.00000000,-75.00000000,1941
165.00000000,-75.00000000,1941
180.00000000,-75.00000000,2238
195.00000000,-75.00000000,1935
210.00000000,-75.00000000,1941
225.00000000,-75.00000000,2081
240.00000000,-75.00000000,2064
255.00000000,-75.00000000,2076
270.00000000,-75.00000000,1865
285.00000000,-75.00000000,2084
300.00000000,-75.00000000,2050
315.00000000,-75.00000000,2091
330.00000000,-75.00000000,2038
345.00000000,-75.00000000,2007
360.00000000,-75.00000000,2003
0.00000000,-60.00000000,1752
15.00000000,-60.00000000,1753
30.00000000,-60.00000000,1733
45.00000000,-60.00000000,1743
60.00000000,-60.00000000,1819
75.00000000,-60.00000000,1859
90.00000000,-60.00000000,1575
105.00000000,-60.00000000,1754
120.00000000,-60.00000000,1702
135.00000000,-60.00000000,1688
150.00000000,-60.00000000,1692
165.00000000,-60.00000000,1690
180.00000000,-60.00000000,2559
195.00000000,-60.00000000,1704
210.00000000,-60.00000000,1692
225.00000000,-60.00000000,1688
240.00000000,-60.00000000,1702
255.00000000,-60.00000000,1761
270.00000000,-60.00000000,1581
285.00000000,-60.00000000,1859
300.00000000,-60.00000000,1819
315.00000000,-60.00000000,1755
330.00000000,-60.00000000,1733
345.00000000,-60.00000000,1753
360.00000000,-60.00000000,1752
0.00000000,-45.00000000,1377
15.00000000,-45.00000000,1363
30.00000000,-45.00000000,1557
45.00000000,-45.00000000,1611
60.00000000,-45.00000000,1479
75.00000000,-45.00000000,1368
90.00000000,-45.00000000,1315
105.00000000,-45.00000000,1403
120.00000000,-45.00000000,1430
135.00000000,-45.00000000,1501
150.00000000,-45.00000000,1514
165.00000000,-45.00000000,1520
180.00000000,-45.00000000,1456
195.00000000,-45.00000000,1519
210.00000000,-45.00000000,1516
225.00000000,-45.00000000,1501
240.00000000,-45.00000000,1430
255.00000000,-45.00000000,1396
270.00000000,-45.00000000,1315
285.00000000,-45.00000000,1368
300.00000000,-45.00000000,1479
315.00000000,-45.00000000,1612
330.00000000,-45.00000000,1558
345.00000000,-45.00000000,1363
360.00000000,-45.00000000,1377
0.00000000,-30.00000000,854
15.00000000,-30.00000000,962
30.00000000,-30.00000000,1024
45.00000000,-30.00000000,1247
60.00000000,-30.00000000,1183
75.00000000,-30.00000000,1186
90.00000000,-30.00000000,1200
105.00000000,-30.00000000,1253
120.00000000,-30.00000000,1212
135.00000000,-30.00000000,1256
150.00000000,-30.00000000,1210
165.00000000,-30.00000000,1226
180.00000000,-30.00000000,1462
195.00000000,-30.00000000,1223
210.00000000,-30.00000000,1210
225.00000000,-30.00000000,1255
240.00000000,-30.00000000,1212
255.00000000,-30.00000000,1254
270.00000000,-30.00000000,1200
285.00000000,-30.00000000,1186
300.00000000,-30.00000000,1183
315.00000000,-30.00000000,1246
330.00000000,-30.00000000,1013
345.00000000,-30.00000000,962
360.00000000,-30.00000000,854
0.00000000,-15.00000000,671
15.00000000,-15.00000000,698
30.00000000,-15.00000000,739
45.00000000,-15.00000000,798
60.00000000,-15.00000000,892
75.00000000,-15.00000000,1001
90.00000000,-15.00000000,996
105.00000000,-15.00000000,986
120.00000000,-15.00000000,1103
135.00000000,-15.00000000,1127
150.00000000,-15.00000000,1051
165.00000000,-15.00000000,914
180.00000000,-15.00000000,1234
195.00000000,-15.00000000,915
210.00000000,-15.00000000,1052
225.00000000,-15.00000000,1127
240.00000000,-15.00000000,1162
255.00000000,-15.00000000,985
270.00000000,-15.00000000,996
285.00000000,-15.00000000,1001
300.00000000,-15.00000000,892
315.00000000,-15.00000000,798
330.00000000,-15.00000000,738
