az_deg,el_deg,a_ft
0.00000000,-90.00000000,2758
15.00000000,-90.00000000,2758
30.00000000,-90.00000000,2758
45.00000000,-90.00000000,2758
60.00000000,-90.00000000,2758
75.00000000,-90.00000000,2758
90.00000000,-90.00000000,2758
105.00000000,-90.00000000,2758
120.00000000,-90.00000000,2758
135.00000000,-90.00000000,2758
150.00000000,-90.00000000,2758
165.00000000,-90.00000000,2758
180.00000000,-90.00000000,2757
195.00000000,-90.00000000,2758
210.00000000,-90.00000000,2758
225.00000000,-90.00000000,2757
240.00000000,-90.00000000,2758
255.00000000,-90.00000000,2758
270.00000000,-90.00000000,2757
285.00000000,-90.00000000,2758
300.00000000,-90.00000000,2758
315.00000000,-90.00000000,2758
330.00000000,-90.00000000,2758
345.00000000,-90.00000000,2758
360.00000000,-90.00000000,2758
0.00000000,-75.00000000,2303
15.00000000,-75.00000000,2557
30.00000000,-75.00000000,2569
45.00000000,-75.00000000,2584
60.00000000,-75.00000000,2508
75.00000000,-75.00000000,2537
90.00000000,-75.00000000,2273
105.00000000,-75.00000000,2292
120.00000000,-75.00000000,2306
135.00000000,-75.00000000,2356
150.00000000,-75.00000000,2365
165.00000000,-75.00000000,2372
180.00000000,-75.00000000,2333
195.00000000,-75.00000000,2417
210.00000000,-75.00000000,2366
225.00000000,-75.00000000,2361
240.00000000,-75.00000000,2307
255.00000000,-75.00000000,2292
270.00000000,-75.00000000,2274
285.00000000,-75.00000000,2538
300.00000000,-75.00000000,2509
315.00000000,-75.00000000,2595
330.00000000,-75.00000000,2580
345.00000000,-75.00000000,2558
360.00000000,-75.00000000,2303
0.00000000,-60.00000000,2247
15.00000000,-60.00000000,2271
30.00000000,-60.00000000,2363
45.00000000,-60.00000000,2233
60.00000000,-60.00000000,2276
75.00000000,-60.00000000,2124
90.00000000,-60.00000000,2023
105.00000000,-60.00000000,2117
120.00000000,-60.00000000,2145
135.00000000,-60.00000000,2201
150.00000000,-60.00000000,2210
165.00000000,-60.00000000,2261
180.00000000,-60.00000000,2265
195.00000000,-60.00000000,2274
210.00000000,-60.00000000,2213
225.00000000,-60.00000000,2202
240.00000000,-60.00000000,2115
255.00000000,-60.00000000,2105
270.00000000,-60.00000000,2023
285.00000000,-60.00000000,2105
300.00000000,-60.00000000,2253
315.00000000,-60.00000000,2232
330.00000000,-60.00000000,2494
345.00000000,-60.00000000,2351
360.00000000,-60.00000000,2247
0.00000000,-45.00000000,1727
15.00000000,-45.00000000,1912
30.00000000,-45.00000000,1984
45.00000000,-45.00000000,1992
60.00000000,-45.00000000,1815
75.00000000,-45.00000000,1831
90.00000000,-45.00000000,1729
105.00000000,-45.00000000,1776
120.00000000,-45.00000000,1783
135.00000000,-45.00000000,1836
150.00000000,-45.00000000,1847
165.00000000,-45.00000000,1898
180.00000000,-45.00000000,1882
195.00000000,-45.00000000,1947
210.00000000,-45.00000000,1848
225.00000000,-45.00000000,1838
240.00000000,-45.00000000,1785
255.00000000,-45.00000000,1780
270.00000000,-45.00000000,1729
285.00000000,-45.00000000,1812
300.00000000,-45.00000000,1822
315.00000000,-45.00000000,1992
330.00000000,-45.00000000,1994
345.00000000,-45.00000000,1942
360.00000000,-45.00000000,1727
0.00000000,-30.00000000,1182
15.00000000,-30.00000000,1238
30.00000000,-30.00000000,1262
45.00000000,-30.00000000,1502
60.00000000,-30.00000000,1487
75.00000000,-30.00000000,1366
90.00000000,-30.00000000,1367
105.00000000,-30.00000000,1423
120.00000000,-30.00000000,1308
135.00000000,-30.00000000,1374
150.00000000,-30.00000000,1450
165.00000000,-30.00000000,1522
180.00000000,-30.00000000,1558
195.00000000,-30.00000000,1548
210.00000000,-30.00000000,1454
225.00000000,-30.00000000,1381
240.00000000,-30.00000000,1305
255.00000000,-30.00000000,1418
270.00000000,-30.00000000,1371
285.00000000,-30.00000000,1367
300.00000000,-30.00000000,1492
315.00000000,-30.00000000,1514
330.00000000,-30.00000000,1265
345.00000000,-30.00000000,1238
360.00000000,-30.00000000,1182
0.00000000,-15.00000000,693
15.00000000,-15.00000000,681
30.00000000,-15.00000000,697
45.00000000,-15.00000000,842
60.00000000,-15.00000000,966
75.00000000,-15.00000000,987
90.00000000,-15.00000000,1019
105.00000000,-15.00000000,1025
120.00000000,-15.00000000,981
135.00000000,-15.00000000,1022
150.00000000,-15.00000000,1108
165.00000000,-15.00000000,1353
180.00000000,-15.00000000,1344
195.00000000,-15.00000000,1352
210.00000000,-15.00000000,1107
225.00000000,-15.00000000,1022
240.00000000,-15.00000000,977
255.00000000,-15.00000000,1025
270.00000000,-15.00000000,1021
285.00000000,-15.00000000,987
300.00000000,-15.00000000,968
315.00000000,-15.00000000,842
330.00000000,-15.00000000,704
345.00000000,-15.00000000,685
360.00000000,-15.00000000,693
0.00000000,0.00000000,746
15.00000000,0.00000000,1012
30.00000000,0.00000000,910
45.00000000,0.00000000,938
60.00000000,0.00000000,1037
75.00000000,0.00000000,766
90.00000000,0.00000000,748
105.00000000,0.00000000,767
120.00000000,0.00000000,1038
135.00000000,0.00000000,953
150.00000000,0.00000000,913
165.00000000,0.00000000,990
180.00000000,0.00000000,783
195.00000000,0.00000000,1012
210.00000000,0.00000000,910
225.00000000,0.00000000,938
240.00000000,0.00000000,1037
255.00000000,0.00000000,766
270.00000000,0.00000000,748
285.00000000,0.00000000,767
300.00000000,0.00000000,1038
315.00000000,0.00000000,953
330.00000000,0.00000000,913
345.00000000,0.00000000,990
360.00000000,0.00000000,746
0.00000000,15.00000000,1344
15.00000000,15.00000000,1352
30.00000000,15.00000000,1107
45.00000000,15.00000000,1022
60.00000000,15.00000000,977
75.00000000,15.00000000,1025
90.00000000,15.00000000,1021
105.00000000,15.00000000,987
120.00000000,15.00000000,968
135.00000000,15.00000000,842
150.00000000,15.00000000,704
165.00000000,15.00000000,685
180.00000000,15.00000000,692
195.00000000,15.00000000,681
210.00000000,15.00000000,697
225.00000000,15.00000000,842
240.00000000,15.00000000,966
255.00000000,15.00000000,987
270.00000000,15.00000000,1019
285.00000000,15.00000000,1025
300.00000000,15.00000000,981
315.00000000,15.00000000,1022
330.00000000,15.00000000,1108
345.00000000,15.00000000,1353
360.00000000,15.00000000,1344
0.00000000,30.00000000,1566
15.00000000,30.00000000,1548
30.00000000,30.00000000,1454
45.00000000,30.00000000,1381
60.00000000,30.00000000,1305
75.00000000,30.00000000,1418
90.00000000,30.00000000,1371
105.00000000,30.00000000,1367
120.00000000,30.00000000,1492
135.00000000,30.00000000,1514
150.00000000,30.00000000,1265
165.00000000,30.00000000,1238
180.00000000,30.00000000,1182
195.00000000,30.00000000,1238
210.00000000,30.00000000,1262
225.00000000,30.00000000,1502
240.00000000,30.00000000,1487
255.00000000,30.00000000,1366
270.00000000,30.00000000,1367
285.00000000,30.00000000,1423
300.00000000,30.00000000,1308
315.00000000,30.00000000,1374
330.00000000,30.00000000,1450
345.00000000,30.00000000,1522
360.00000000,30.00000000,1566
0.00000000,45.00000000,1875
15.00000000,45.00000000,1947
30.00000000,45.00000000,1848
45.00000000,45.00000000,1838
60.00000000,45.00000000,1785
75.00000000,45.00000000,1780
90.00000000,45.00000000,1729
105.00000000,45.00000000,1812
120.00000000,45.00000000,1822
135.00000000,45.00000000,1992
150.00000000,45.00000000,1994
165.00000000,45.00000000,1942
180.00000000,45.00000000,1731
195.00000000,45.00000000,1912
210.00000000,45.00000000,1984
225.00000000,45.00000000,1992
240.00000000,45.00000000,1815
255.00000000,45.00000000,1831
270.00000000,45.00000000,1730
285.00000000,45.00000000,1776
300.00000000,45.00000000,1783
315.00000000,45.00000000,1836
330.00000000,45.00000000,1847
345.00000000,45.00000000,1898
360.00000000,45.00000000,1875
0.00000000,60.00000000,2070
15.00000000,60.00000000,2274
30.00000000,60.00000000,2213
45.00000000,60.00000000,2202
60.00000000,60.00000000,2115
75.00000000,60.00000000,2105
90.00000000,60.00000000,2023
105.00000000,60.00000000,2105
120.00000000,60.00000000,2253
135.00000000,60.00000000,2232
150.00000000,60.00000000,2494
165.00000000,60.00000000,2351
180.00000000,60.00000000,2247
195.00000000,60.00000000,2271
210.00000000,60.00000000,2363
225.00000000,60.00000000,2233
240.00000000,60.00000000,2276
255.00000000,60.00000000,2124
270.00000000,60.00000000,2023
285.00000000,60.00000000,2117
300.00000000,60.00000000,2145
315.00000000,60.00000000,2201
330.00000000,60.00000000,2210
345.00000000,60.00000000,2261
360.00000000,60.00000000,2070
0.00000000,75.00000000,2333
15.00000000,75.00000000,2417
30.00000000,75.00000000,2366
45.00000000,75.00000000,2361
60.00000000,75.00000000,2307
75.00000000,75.00000000,2292
90.00000000,75.00000000,2274
105.00000000,75.00000000,2538
120.00000000,75.00000000,2509
135.00000000,75.00000000,2595
150.00000000,75.00000000,2580
165.00000000,75.00000000,2558
180.00000000,75.00000000,2306
195.00000000,75.00000000,2557
210.00000000,75.00000000,2569
225.00000000,75.00000000,2584
240.00000000,75.00000000,2508
255.00000000,75.00000000,2537
270.00000000,75.00000000,2273
285.00000000,75.00000000,2292
300.00000000,75.00000000,2306
315.00000000,75.00000000,2356
330.00000000,75.00000000,2365
345.00000000,75.00000000,2372
360.00000000,75.00000000,2333
0.00000000,90.00000000,2758
15.00000000,90.00000000,2758
30.00000000,90.00000000,2758
45.00000000,90.00000000,2758
60.00000000,90.00000000,2758
75.00000000,90.00000000,2757
90.00000000,90.00000000,2758
105.00000000,90.00000000,2758
120.00000000,90.00000000,2758
135.00000000,90.00000000,2758
150.00000000,90.00000000,2758
165.00000000,90.00000000,2758
180.00000000,90.00000000,2757
195.00000000,90.00000000,2758
210.00000000,90.00000000,2758
225.00000000,90.00000000,2758
240.00000000,90.00000000,2758
255.00000000,90.00000000,2758
270.00000000,90.00000000,2757
285.00000000,90.00000000,2758
300.00000000,90.00000000,2758
315.00000000,90.00000000,2758
330.00000000,90.00000000,2758
345.00000000,90.00000000,2758
360.00000000,90.00000000,2758
