az_deg,el_deg,a_ft
0.00000000,-90.00000000,3294
15.00000000,-90.00000000,3124
30.00000000,-90.00000000,3251
45.00000000,-90.00000000,3080
60.00000000,-90.00000000,3272
75.00000000,-90.00000000,3251
90.00000000,-90.00000000,3124
105.00000000,-90.00000000,3251
120.00000000,-90.00000000,3251
135.00000000,-90.00000000,3035
150.00000000,-90.00000000,3251
165.00000000,-90.00000000,3188
180.00000000,-90.00000000,3124
195.00000000,-90.00000000,3251
210.00000000,-90.00000000,3251
225.00000000,-90.00000000,3251
240.00000000,-90.00000000,3251
255.00000000,-90.00000000,3188
270.00000000,-90.00000000,3294
285.00000000,-90.00000000,3251
300.00000000,-90.00000000,3251
315.00000000,-90.00000000,3035
330.00000000,-90.00000000,3272
345.00000000,-90.00000000,3124
360.00000000,-90.00000000,3294
0.00000000,-75.00000000,3382
15.00000000,-75.00000000,2770
30.00000000,-75.00000000,2772
45.00000000,-75.00000000,2796
60.00000000,-75.00000000,2815
75.00000000,-75.00000000,2748
90.00000000,-75.00000000,2632
105.00000000,-75.00000000,2672
120.00000000,-75.00000000,2797
135.00000000,-75.00000000,2809
150.00000000,-75.00000000,2764
165.00000000,-75.00000000,2775
180.00000000,-75.00000000,3302
195.00000000,-75.00000000,2766
210.00000000,-75.00000000,2765
225.00000000,-75.00000000,2765
240.00000000,-75.00000000,2794
255.00000000,-75.00000000,2672
270.00000000,-75.00000000,2632
285.00000000,-75.00000000,2748
300.00000000,-75.00000000,2815
315.00000000,-75.00000000,2795
330.00000000,-75.00000000,2772
345.00000000,-75.00000000,2758
360.00000000,-75.00000000,3382
0.00000000,-60.00000000,2496
15.00000000,-60.00000000,2675
30.00000000,-60.00000000,2577
45.00000000,-60.00000000,2556
60.00000000,-60.00000000,2453
75.00000000,-60.00000000,2386
90.00000000,-60.00000000,2367
105.00000000,-60.00000000,2419
120.00000000,-60.00000000,2481
135.00000000,-60.00000000,2559
150.00000000,-60.00000000,2659
165.00000000,-60.00000000,2843
180.00000000,-60.00000000,2952
195.00000000,-60.00000000,2809
210.00000000,-60.00000000,2659
225.00000000,-60.00000000,2559
240.00000000,-60.00000000,2486
255.00000000,-60.00000000,2419
270.00000000,-60.00000000,2367
285.00000000,-60.00000000,2383
300.00000000,-60.00000000,2454
315.00000000,-60.00000000,2594
330.00000000,-60.00000000,2564
345.00000000,-60.00000000,2676
360.00000000,-60.00000000,2496
0.00000000,-45.00000000,2238
15.00000000,-45.00000000,2305
30.00000000,-45.00000000,2507
45.00000000,-45.00000000,2113
60.00000000,-45.00000000,2110
75.00000000,-45.00000000,2061
90.00000000,-45.00000000,2022
105.00000000,-45.00000000,2088
120.00000000,-45.00000000,2322
135.00000000,-45.00000000,2256
150.00000000,-45.00000000,2189
165.00000000,-45.00000000,2222
180.00000000,-45.00000000,2155
195.00000000,-45.00000000,2213
210.00000000,-45.00000000,2189
225.00000000,-45.00000000,2255
240.00000000,-45.00000000,2324
255.00000000,-45.00000000,2088
270.00000000,-45.00000000,2022
285.00000000,-45.00000000,2061
300.00000000,-45.00000000,2111
315.00000000,-45.00000000,2141
330.00000000,-45.00000000,2517
345.00000000,-45.00000000,2305
360.00000000,-45.00000000,2238
0.00000000,-30.00000000,1626
15.00000000,-30.00000000,1688
30.00000000,-30.00000000,1822
45.00000000,-30.00000000,1599
60.00000000,-30.00000000,1586
75.00000000,-30.00000000,1715
90.00000000,-30.00000000,1790
105.00000000,-30.00000000,2024
120.00000000,-30.00000000,1973
135.00000000,-30.00000000,1598
150.00000000,-30.00000000,1723
165.00000000,-30.00000000,1809
180.00000000,-30.00000000,1819
195.00000000,-30.00000000,1810
210.00000000,-30.00000000,1786
225.00000000,-30.00000000,1598
240.00000000,-30.00000000,1972
255.00000000,-30.00000000,2027
270.00000000,-30.00000000,1790
285.00000000,-30.00000000,1718
300.00000000,-30.00000000,1587
315.00000000,-30.00000000,1610
330.00000000,-30.00000000,1825
345.00000000,-30.00000000,1735
360.00000000,-30.00000000,1626
0.00000000,-15.00000000,888
15.00000000,-15.00000000,876
30.00000000,-15.00000000,1065
45.00000000,-15.00000000,1216
60.00000000,-15.00000000,1176
75.00000000,-15.00000000,1263
90.00000000,-15.00000000,1421
105.00000000,-15.00000000,1362
120.00000000,-15.00000000,1217
135.00000000,-15.00000000,1227
150.00000000,-15.00000000,1153
165.00000000,-15.00000000,1214
180.00000000,-15.00000000,1542
195.00000000,-15.00000000,1215
210.00000000,-15.00000000,1153
225.00000000,-15.00000000,1226
240.00000000,-15.00000000,1217
255.00000000,-15.00000000,1404
270.00000000,-15.00000000,1424
285.00000000,-15.00000000,1262
300.00000000,-15.00000000,1149
315.00000000,-15.00000000,1218
330.00000000,-15.00000000,1066
345.00000000,-15.00000000,871
360.00000000,-15.00000000,888
0.00000000,0.00000000,877
15.00000000,0.00000000,1039
30.00000000,0.00000000,965
45.00000000,0.00000000,1237
60.00000000,0.00000000,1150
75.00000000,0.00000000,1038
90.00000000,0.00000000,1098
105.00000000,0.00000000,1038
120.00000000,0.00000000,1149
135.00000000,0.00000000,1231
150.00000000,0.00000000,964
165.00000000,0.00000000,997
180.00000000,0.00000000,891
195.00000000,0.00000000,1039
210.00000000,0.00000000,965
225.00000000,0.00000000,1237
240.00000000,0.00000000,1150
255.00000000,0.00000000,1038
270.00000000,0.00000000,1098
285.00000000,0.00000000,1038
300.00000000,0.00000000,1149
315.00000000,0.00000000,1231
330.00000000,0.00000000,964
345.00000000,0.00000000,997
360.00000000,0.00000000,877
0.00000000,15.00000000,1542
15.00000000,15.00000000,1215
30.00000000,15.00000000,1153
45.00000000,15.00000000,1226
60.00000000,15.00000000,1217
75.00000000,15.00000000,1404
90.00000000,15.00000000,1424
105.00000000,15.00000000,1262
120.00000000,15.00000000,1149
135.00000000,15.00000000,1218
150.00000000,15.00000000,1066
165.00000000,15.00000000,871
180.00000000,15.00000000,890
195.00000000,15.00000000,876
210.00000000,15.00000000,1065
225.00000000,15.00000000,1216
240.00000000,15.00000000,1176
255.00000000,15.00000000,1263
270.00000000,15.00000000,1421
285.00000000,15.00000000,1362
300.00000000,15.00000000,1217
315.00000000,15.00000000,1227
330.00000000,15.00000000,1153
345.00000000,15.00000000,1214
360.00000000,15.00000000,1542
0.00000000,30.00000000,1733
15.00000000,30.00000000,1810
30.00000000,30.00000000,1786
45.00000000,30.00000000,1598
60.00000000,30.00000000,1972
75.00000000,30.00000000,2027
90.00000000,30.00000000,1790
105.00000000,30.00000000,1718
120.00000000,30.00000000,1587
135.00000000,30.00000000,1610
150.00000000,30.00000000,1825
165.00000000,30.00000000,1735
180.00000000,30.00000000,1589
195.00000000,30.00000000,1688
210.00000000,30.00000000,1822
225.00000000,30.00000000,1599
240.00000000,30.00000000,1586
255.00000000,30.00000000,1715
270.00000000,30.00000000,1790
285.00000000,30.00000000,2024
300.00000000,30.00000000,1973
315.00000000,30.00000000,1598
330.00000000,30.00000000,1723
345.00000000,30.00000000,1809
360.00000000,30.00000000,1733
0.00000000,45.00000000,2157
15.00000000,45.00000000,2213
30.00000000,45.00000000,2189
45.00000000,45.00000000,2255
60.00000000,45.00000000,2324
75.00000000,45.00000000,2088
90.00000000,45.00000000,2022
105.00000000,45.00000000,2061
120.00000000,45.00000000,2111
135.00000000,45.00000000,2141
150.00000000,45.00000000,2517
165.00000000,45.00000000,2305
180.00000000,45.00000000,2190
195.00000000,45.00000000,2305
210.00000000,45.00000000,2507
225.00000000,45.00000000,2113
240.00000000,45.00000000,2110
255.00000000,45.00000000,2061
270.00000000,45.00000000,2022
285.00000000,45.00000000,2088
300.00000000,45.00000000,2322
315.00000000,45.00000000,2256
330.00000000,45.00000000,2189
345.00000000,45.00000000,2222
360.00000000,45.00000000,2157
0.00000000,60.00000000,3018
15.00000000,60.00000000,2809
30.00000000,60.00000000,2659
45.00000000,60.00000000,2559
60.00000000,60.00000000,2486
75.00000000,60.00000000,2419
90.00000000,60.00000000,2367
105.00000000,60.00000000,2383
120.00000000,60.00000000,2454
135.00000000,60.00000000,2594
150.00000000,60.00000000,2564
165.00000000,60.00000000,2676
180.00000000,60.00000000,2497
195.00000000,60.00000000,2675
210.00000000,60.00000000,2577
225.00000000,60.00000000,2556
240.00000000,60.00000000,2453
255.00000000,60.00000000,2386
270.00000000,60.00000000,2367
285.00000000,60.00000000,2419
300.00000000,60.00000000,2481
315.00000000,60.00000000,2559
330.00000000,60.00000000,2659
345.00000000,60.00000000,2843
360.00000000,60.00000000,3018
0.00000000,75.00000000,3162
15.00000000,75.00000000,2766
30.00000000,75.00000000,2765
45.00000000,75.00000000,2765
60.00000000,75.00000000,2794
75.00000000,75.00000000,2672
90.00000000,75.00000000,2632
105.00000000,75.00000000,2748
120.00000000,75.00000000,2815
135.00000000,75.00000000,2795
150.00000000,75.00000000,2772
165.00000000,75.00000000,2758
180.00000000,75.00000000,3447
195.00000000,75.00000000,2770
210.00000000,75.00000000,2772
225.00000000,75.00000000,2796
240.00000000,75.00000000,2815
255.00000000,75.00000000,2748
270.00000000,75.00000000,2632
285.00000000,75.00000000,2672
300.00000000,75.00000000,2797
315.00000000,75.00000000,2809
330.00000000,75.00000000,2764
345.00000000,75.00000000,2775
360.00000000,75.00000000,3162
0.00000000,90.00000000,3251
15.00000000,90.00000000,3188
30.00000000,90.00000000,3251
45.00000000,90.00000000,3294
60.00000000,90.00000000,3251
75.00000000,90.00000000,3251
90.00000000,90.00000000,3124
105.00000000,90.00000000,3188
120.00000000,90.00000000,3272
135.00000000,90.00000000,3251
150.00000000,90.00000000,3251
165.00000000,90.00000000,3188
180.00000000,90.00000000,3124
195.00000000,90.00000000,3251
210.00000000,90.00000000,3272
225.00000000,90.00000000,3035
240.00000000,90.00000000,3251
255.00000000,90.00000000,3188
270.00000000,90.00000000,3251
285.00000000,90.00000000,3188
300.00000000,90.00000000,3251
315.00000000,90.00000000,3080
330.00000000,90.00000000,3188
345.00000000,90.00000000,3251
360.00000000,90.00000000,3251
