az_deg,el_deg,a_ft
0.00000000,-90.00000000,2335
15.00000000,-90.00000000,2318
30.00000000,-90.00000000,2321
45.00000000,-90.00000000,2323
60.00000000,-90.00000000,2321
75.00000000,-90.00000000,2321
90.00000000,-90.00000000,2333
105.00000000,-90.00000000,2321
120.00000000,-90.00000000,2321
135.00000000,-90.00000000,2321
150.00000000,-90.00000000,2323
165.00000000,-90.00000000,2321
180.00000000,-90.00000000,2335
195.00000000,-90.00000000,2323
210.00000000,-90.00000000,2323
225.00000000,-90.00000000,2321
240.00000000,-90.00000000,2321
255.00000000,-90.00000000,2321
270.00000000,-90.00000000,2337
285.00000000,-90.00000000,2323
300.00000000,-90.00000000,2321
315.00000000,-90.00000000,2323
330.00000000,-90.00000000,2323
345.00000000,-90.00000000,2323
360.00000000,-90.00000000,2335
0.00000000,-75.00000000,2212
15.00000000,-75.00000000,2313
30.00000000,-75.00000000,2297
45.00000000,-75.00000000,2317
60.00000000,-75.00000000,2341
75.00000000,-75.00000000,2340
90.00000000,-75.00000000,2299
105.00000000,-75.00000000,2324
120.00000000,-75.00000000,2338
135.00000000,-75.00000000,2319
150.00000000,-75.00000000,2274
165.00000000,-75.00000000,2297
180.00000000,-75.00000000,2149
195.00000000,-75.00000000,2296
210.00000000,-75.00000000,2272
225.00000000,-75.00000000,2303
240.00000000,-75.00000000,2337
255.00000000,-75.00000000,2313
270.00000000,-75.00000000,2298
285.00000000,-75.00000000,2338
300.00000000,-75.00000000,2340
315.00000000,-75.00000000,2318
330.00000000,-75.00000000,2299
345.00000000,-75.00000000,2311
360.00000000,-75.00000000,2212
0.00000000,-60.00000000,1925
15.00000000,-60.00000000,2039
30.00000000,-60.00000000,2014
45.00000000,-60.00000000,2094
60.00000000,-60.00000000,2128
75.00000000,-60.00000000,2092
90.00000000,-60.00000000,2116
105.00000000,-60.00000000,2084
120.00000000,-60.00000000,2090
135.00000000,-60.00000000,2110
150.00000000,-60.00000000,2151
165.00000000,-60.00000000,2191
180.00000000,-60.00000000,2089
195.00000000,-60.00000000,2176
210.00000000,-60.00000000,2148
225.00000000,-60.00000000,2122
240.00000000,-60.00000000,2124
255.00000000,-60.00000000,2085
270.00000000,-60.00000000,2117
285.00000000,-60.00000000,2092
300.00000000,-60.00000000,2128
315.00000000,-60.00000000,2097
330.00000000,-60.00000000,2014
345.00000000,-60.00000000,2039
360.00000000,-60.00000000,1925
0.00000000,-45.00000000,1591
15.00000000,-45.00000000,1662
30.00000000,-45.00000000,1819
45.00000000,-45.00000000,1908
60.00000000,-45.00000000,1842
75.00000000,-45.00000000,1866
90.00000000,-45.00000000,1800
105.00000000,-45.00000000,1794
120.00000000,-45.00000000,1816
135.00000000,-45.00000000,1882
150.00000000,-45.00000000,1958
165.00000000,-45.00000000,1951
180.00000000,-45.00000000,1778
195.00000000,-45.00000000,1949
210.00000000,-45.00000000,1953
225.00000000,-45.00000000,1869
240.00000000,-45.00000000,1823
255.00000000,-45.00000000,1793
270.00000000,-45.00000000,1798
285.00000000,-45.00000000,1840
300.00000000,-45.00000000,1842
315.00000000,-45.00000000,1905
330.00000000,-45.00000000,1817
345.00000000,-45.00000000,1662
360.00000000,-45.00000000,1591
0.00000000,-30.00000000,1305
15.00000000,-30.00000000,1391
30.00000000,-30.00000000,1435
45.00000000,-30.00000000,1540
60.00000000,-30.00000000,1756
75.00000000,-30.00000000,1589
90.00000000,-30.00000000,1614
105.00000000,-30.00000000,1578
120.00000000,-30.00000000,1697
135.00000000,-30.00000000,2053
150.00000000,-30.00000000,2082
165.00000000,-30.00000000,2219
180.00000000,-30.00000000,2302
195.00000000,-30.00000000,2218
210.00000000,-30.00000000,2083
225.00000000,-30.00000000,2060
240.00000000,-30.00000000,1703
255.00000000,-30.00000000,1599
270.00000000,-30.00000000,1615
285.00000000,-30.00000000,1589
300.00000000,-30.00000000,1755
315.00000000,-30.00000000,1536
330.00000000,-30.00000000,1433
345.00000000,-30.00000000,1383
360.00000000,-30.00000000,1305
0.00000000,-15.00000000,607
15.00000000,-15.00000000,843
30.00000000,-15.00000000,989
45.00000000,-15.00000000,1030
60.00000000,-15.00000000,1220
75.00000000,-15.00000000,1509
90.00000000,-15.00000000,1691
105.00000000,-15.00000000,1493
120.00000000,-15.00000000,1561
135.00000000,-15.00000000,1601
150.00000000,-15.00000000,1602
165.00000000,-15.00000000,1589
180.00000000,-15.00000000,1986
195.00000000,-15.00000000,1597
210.00000000,-15.00000000,1611
225.00000000,-15.00000000,1600
240.00000000,-15.00000000,1563
255.00000000,-15.00000000,1492
270.00000000,-15.00000000,1666
285.00000000,-15.00000000,1504
300.00000000,-15.00000000,1218
315.00000000,-15.00000000,1028
330.00000000,-15.00000000,985
345.00000000,-15.00000000,842
360.00000000,-15.00000000,607
0.00000000,0.00000000,842
15.00000000,0.00000000,843
30.00000000,0.00000000,924
45.00000000,0.00000000,1016
60.00000000,0.00000000,1135
75.00000000,0.00000000,1186
90.00000000,0.00000000,1241
105.00000000,0.00000000,1186
120.00000000,0.00000000,1134
135.00000000,0.00000000,1016
150.00000000,0.00000000,921
165.00000000,0.00000000,843
180.00000000,0.00000000,842
195.00000000,0.00000000,843
