az_deg,el_deg,a_ft
0.00000000,-90.00000000,401
15.00000000,-90.00000000,401
30.00000000,-90.00000000,401
45.00000000,-90.00000000,401
60.00000000,-90.00000000,401
75.00000000,-90.00000000,401
90.00000000,-90.00000000,401
105.00000000,-90.00000000,401
120.00000000,-90.00000000,401
135.00000000,-90.00000000,401
150.00000000,-90.00000000,401
165.00000000,-90.00000000,401
180.00000000,-90.00000000,401
195.00000000,-90.00000000,401
210.00000000,-90.00000000,401
225.00000000,-90.00000000,401
240.00000000,-90.00000000,401
255.00000000,-90.00000000,401
270.00000000,-90.00000000,401
285.00000000,-90.00000000,401
300.00000000,-90.00000000,401
315.00000000,-90.00000000,401
330.00000000,-90.00000000,401
345.00000000,-90.00000000,401
360.00000000,-90.00000000,401
0.00000000,-75.00000000,351
15.00000000,-75.00000000,504
30.00000000,-75.00000000,508
45.00000000,-75.00000000,522
60.00000000,-75.00000000,528
75.00000000,-75.00000000,535
90.00000000,-75.00000000,545
105.00000000,-75.00000000,544
120.00000000,-75.00000000,544
135.00000000,-75.00000000,539
150.00000000,-75.00000000,540
165.00000000,-75.00000000,536
180.00000000,-75.00000000,368
195.00000000,-75.00000000,507
210.00000000,-75.00000000,517
225.00000000,-75.00000000,517
240.00000000,-75.00000000,525
255.00000000,-75.00000000,512
270.00000000,-75.00000000,521
285.00000000,-75.00000000,538
300.00000000,-75.00000000,513
315.00000000,-75.00000000,507
330.00000000,-75.00000000,500
345.00000000,-75.00000000,428
360.00000000,-75.00000000,351
0.00000000,-60.00000000,342
15.00000000,-60.00000000,423
30.00000000,-60.00000000,358
45.00000000,-60.00000000,452
60.00000000,-60.00000000,458
75.00000000,-60.00000000,469
90.00000000,-60.00000000,501
105.00000000,-60.00000000,498
120.00000000,-60.00000000,516
135.00000000,-60.00000000,564
150.00000000,-60.00000000,506
165.00000000,-60.00000000,477
180.00000000,-60.00000000,462
195.00000000,-60.00000000,467
210.00000000,-60.00000000,488
225.00000000,-60.00000000,494
240.00000000,-60.00000000,505
255.00000000,-60.00000000,504
270.00000000,-60.00000000,502
285.00000000,-60.00000000,458
300.00000000,-60.00000000,456
315.00000000,-60.00000000,440
330.00000000,-60.00000000,353
345.00000000,-60.00000000,350
360.00000000,-60.00000000,342
0.00000000,-45.00000000,339
15.00000000,-45.00000000,338
30.00000000,-45.00000000,317
45.00000000,-45.00000000,380
60.00000000,-45.00000000,413
75.00000000,-45.00000000,405
90.00000000,-45.00000000,341
105.00000000,-45.00000000,365
120.00000000,-45.00000000,429
135.00000000,-45.00000000,430
150.00000000,-45.00000000,407
165.00000000,-45.00000000,420
180.00000000,-45.00000000,385
195.00000000,-45.00000000,400
210.00000000,-45.00000000,459
225.00000000,-45.00000000,480
240.00000000,-45.00000000,439
255.00000000,-45.00000000,394
270.00000000,-45.00000000,434
285.00000000,-45.00000000,413
300.00000000,-45.00000000,413
315.00000000,-45.00000000,387
330.00000000,-45.00000000,302
345.00000000,-45.00000000,294
360.00000000,-45.00000000,339
0.00000000,-30.00000000,321
15.00000000,-30.00000000,310
30.00000000,-30.00000000,333
45.00000000,-30.00000000,358
60.00000000,-30.00000000,391
75.00000000,-30.00000000,388
90.00000000,-30.00000000,320
105.00000000,-30.00000000,324
120.00000000,-30.00000000,371
135.00000000,-30.00000000,358
150.00000000,-30.00000000,350
165.00000000,-30.00000000,329
180.00000000,-30.00000000,316
195.00000000,-30.00000000,338
210.00000000,-30.00000000,348
225.00000000,-30.00000000,371
240.00000000,-30.00000000,384
255.00000000,-30.00000000,349
270.00000000,-30.00000000,327
285.00000000,-30.00000000,304
300.00000000,-30.00000000,378
315.00000000,-30.00000000,362
330.00000000,-30.00000000,334
345.00000000,-30.00000000,320
360.00000000,-30.00000000,321
0.00000000,-15.00000000,205
15.00000000,-15.00000000,238
30.00000000,-15.00000000,270
45.00000000,-15.00000000,281
60.00000000,-15.00000000,306
75.00000000,-15.00000000,314
90.00000000,-15.00000000,308
105.00000000,-15.00000000,305
120.00000000,-15.00000000,322
135.00000000,-15.00000000,298
150.00000000,-15.00000000,271
165.00000000,-15.00000000,293
180.00000000,-15.00000000,232
195.00000000,-15.00000000,304
210.00000000,-15.00000000,261
225.00000000,-15.00000000,298
240.00000000,-15.00000000,325
255.00000000,-15.00000000,313
270.00000000,-15.00000000,314
285.00000000,-15.00000000,320
300.00000000,-15.00000000,308
315.00000000,-15.00000000,251
330.00000000,-15.00000000,270
345.00000000,-15.00000000,249
360.00000000,-15.00000000,205
0.00000000,0.00000000,179
15.00000000,0.00000000,218
30.00000000,0.00000000,240
45.00000000,0.00000000,259
60.00000000,0.00000000,305
