az_deg,el_deg,a_ft
0.00000000,-90.00000000,743
15.00000000,-90.00000000,743
30.00000000,-90.00000000,743
45.00000000,-90.00000000,743
60.00000000,-90.00000000,743
75.00000000,-90.00000000,743
90.00000000,-90.00000000,743
105.00000000,-90.00000000,743
120.00000000,-90.00000000,743
135.00000000,-90.00000000,743
150.00000000,-90.00000000,743
165.00000000,-90.00000000,743
180.00000000,-90.00000000,743
195.00000000,-90.00000000,743
210.00000000,-90.00000000,743
225.00000000,-90.00000000,743
240.00000000,-90.00000000,743
255.00000000,-90.00000000,743
270.00000000,-90.00000000,743
285.00000000,-90.00000000,743
300.00000000,-90.00000000,743
315.00000000,-90.00000000,743
330.00000000,-90.00000000,743
345.00000000,-90.00000000,743
360.00000000,-90.00000000,743
0.00000000,-75.00000000,767
15.00000000,-75.00000000,773
30.00000000,-75.00000000,726
45.00000000,-75.00000000,736
60.00000000,-75.00000000,743
75.00000000,-75.00000000,757
90.00000000,-75.00000000,771
105.00000000,-75.00000000,745
120.00000000,-75.00000000,734
135.00000000,-75.00000000,744
150.00000000,-75.00000000,718
165.00000000,-75.00000000,779
180.00000000,-75.00000000,825
195.00000000,-75.00000000,718
210.00000000,-75.00000000,765
225.00000000,-75.00000000,767
240.00000000,-75.00000000,958
255.00000000,-75.00000000,854
270.00000000,-75.00000000,894
285.00000000,-75.00000000,1003
300.00000000,-75.00000000,986
315.00000000,-75.00000000,994
330.00000000,-75.00000000,806
345.00000000,-75.00000000,740
360.00000000,-75.00000000,767
0.00000000,-60.00000000,664
15.00000000,-60.00000000,644
30.00000000,-60.00000000,800
45.00000000,-60.00000000,843
60.00000000,-60.00000000,696
75.00000000,-60.00000000,682
90.00000000,-60.00000000,710
105.00000000,-60.00000000,690
120.00000000,-60.00000000,697
135.00000000,-60.00000000,686
150.00000000,-60.00000000,689
165.00000000,-60.00000000,803
180.00000000,-60.00000000,995
195.00000000,-60.00000000,803
210.00000000,-60.00000000,701
225.00000000,-60.00000000,696
240.00000000,-60.00000000,712
255.00000000,-60.00000000,692
270.00000000,-60.00000000,707
285.00000000,-60.00000000,692
300.00000000,-60.00000000,702
315.00000000,-60.00000000,689
330.00000000,-60.00000000,811
345.00000000,-60.00000000,718
360.00000000,-60.00000000,664
0.00000000,-45.00000000,542
15.00000000,-45.00000000,602
30.00000000,-45.00000000,558
45.00000000,-45.00000000,573
60.00000000,-45.00000000,611
75.00000000,-45.00000000,662
90.00000000,-45.00000000,697
105.00000000,-45.00000000,618
120.00000000,-45.00000000,618
135.00000000,-45.00000000,581
150.00000000,-45.00000000,580
165.00000000,-45.00000000,572
180.00000000,-45.00000000,692
195.00000000,-45.00000000,710
210.00000000,-45.00000000,586
225.00000000,-45.00000000,576
240.00000000,-45.00000000,618
255.00000000,-45.00000000,636
270.00000000,-45.00000000,690
285.00000000,-45.00000000,652
300.00000000,-45.00000000,605
315.00000000,-45.00000000,579
330.00000000,-45.00000000,575
345.00000000,-45.00000000,634
360.00000000,-45.00000000,542
0.00000000,-30.00000000,406
15.00000000,-30.00000000,397
30.00000000,-30.00000000,417
45.00000000,-30.00000000,450
60.00000000,-30.00000000,524
75.00000000,-30.00000000,569
90.00000000,-30.00000000,645
105.00000000,-30.00000000,647
120.00000000,-30.00000000,626
135.00000000,-30.00000000,605
150.00000000,-30.00000000,544
165.00000000,-30.00000000,510
180.00000000,-30.00000000,602
195.00000000,-30.00000000,508
210.00000000,-30.00000000,539
225.00000000,-30.00000000,606
240.00000000,-30.00000000,627
255.00000000,-30.00000000,648
270.00000000,-30.00000000,645
285.00000000,-30.00000000,570
300.00000000,-30.00000000,527
315.00000000,-30.00000000,451
330.00000000,-30.00000000,418
345.00000000,-30.00000000,407
360.00000000,-30.00000000,406
0.00000000,-15.00000000,248
15.00000000,-15.00000000,285
30.00000000,-15.00000000,315
45.00000000,-15.00000000,372
60.00000000,-15.00000000,401
75.00000000,-15.00000000,476
90.00000000,-15.00000000,523
105.00000000,-15.00000000,510
120.00000000,-15.00000000,482
135.00000000,-15.00000000,463
150.00000000,-15.00000000,413
165.00000000,-15.00000000,371
180.00000000,-15.00000000,372
195.00000000,-15.00000000,369
210.00000000,-15.00000000,410
225.00000000,-15.00000000,463
240.00000000,-15.00000000,496
255.00000000,-15.00000000,511
270.00000000,-15.00000000,525
285.00000000,-15.00000000,477
300.00000000,-15.00000000,399
315.00000000,-15.00000000,374
330.00000000,-15.00000000,321
345.00000000,-15.00000000,288
360.00000000,-15.00000000,248
0.00000000,0.00000000,144
15.00000000,0.00000000,220
30.00000000,0.00000000,289
45.00000000,0.00000000,377
60.00000000,0.00000000,431
75.00000000,0.00000000,463
90.00000000,0.00000000,474
105.00000000,0.00000000,463
120.00000000,0.00000000,431
135.00000000,0.00000000,377
150.00000000,0.00000000,290
165.00000000,0.00000000,219
180.00000000,0.00000000,144
195.00000000,0.00000000,220
210.00000000,0.00000000,289
225.00000000,0.00000000,377
240.00000000,0.00000000,431
255.00000000,0.00000000,463
270.00000000,0.00000000,474
285.00000000,0.00000000,463
300.00000000,0.00000000,431
315.00000000,0.00000000,377
330.00000000,0.00000000,290
345.00000000,0.00000000,219
360.00000000,0.00000000,144
0.00000000,15.00000000,372
15.00000000,15.00000000,369
30.00000000,15.00000000,410
45.00000000,15.00000000,463
60.00000000,15.00000000,496
75.00000000,15.00000000,511
90.00000000,15.00000000,525
105.00000000,15.00000000,477
120.00000000,15.00000000,399
135.00000000,15.00000000,374
150.00000000,15.00000000,321
165.00000000,15.00000000,288
180.00000000,15.00000000,248
195.00000000,15.00000000,285
210.00000000,15.00000000,315
225.00000000,15.00000000,372
240.00000000,15.00000000,401
255.00000000,15.00000000,476
270.00000000,15.00000000,523
285.00000000,15.00000000,510
300.00000000,15.00000000,482
315.00000000,15.00000000,463
330.00000000,15.00000000,413
