az_deg,el_deg,a_ft
0.00000000,-90.00000000,1078
15.00000000,-90.00000000,1078
30.00000000,-90.00000000,1078
45.00000000,-90.00000000,1078
60.00000000,-90.00000000,1078
75.00000000,-90.00000000,1078
90.00000000,-90.00000000,1078
105.00000000,-90.00000000,1078
120.00000000,-90.00000000,1078
135.00000000,-90.00000000,1078
150.00000000,-90.00000000,1078
165.00000000,-90.00000000,1078
180.00000000,-90.00000000,1078
195.00000000,-90.00000000,1078
210.00000000,-90.00000000,1078
225.00000000,-90.00000000,1078
240.00000000,-90.00000000,1078
255.00000000,-90.00000000,1078
270.00000000,-90.00000000,1078
285.00000000,-90.00000000,1078
300.00000000,-90.00000000,1078
315.00000000,-90.00000000,1078
330.00000000,-90.00000000,1078
345.00000000,-90.00000000,1078
360.00000000,-90.00000000,1078
0.00000000,-75.00000000,1122
15.00000000,-75.00000000,1229
30.00000000,-75.00000000,1233
45.00000000,-75.00000000,1242
60.00000000,-75.00000000,1252
75.00000000,-75.00000000,1191
90.00000000,-75.00000000,1190
105.00000000,-75.00000000,1176
120.00000000,-75.00000000,1210
135.00000000,-75.00000000,1184
150.00000000,-75.00000000,1197
165.00000000,-75.00000000,1151
180.00000000,-75.00000000,1082
195.00000000,-75.00000000,1150
210.00000000,-75.00000000,1212
225.00000000,-75.00000000,1227
240.00000000,-75.00000000,1247
255.00000000,-75.00000000,1174
270.00000000,-75.00000000,1291
285.00000000,-75.00000000,1269
300.00000000,-75.00000000,1250
315.00000000,-75.00000000,1240
330.00000000,-75.00000000,1234
345.00000000,-75.00000000,1265
360.00000000,-75.00000000,1122
0.00000000,-60.00000000,1017
15.00000000,-60.00000000,1084
30.00000000,-60.00000000,1129
45.00000000,-60.00000000,1061
60.00000000,-60.00000000,1111
75.00000000,-60.00000000,1130
90.00000000,-60.00000000,1060
105.00000000,-60.00000000,1077
120.00000000,-60.00000000,1024
135.00000000,-60.00000000,1040
150.00000000,-60.00000000,1079
165.00000000,-60.00000000,1085
180.00000000,-60.00000000,1006
195.00000000,-60.00000000,1088
210.00000000,-60.00000000,1081
225.00000000,-60.00000000,1039
240.00000000,-60.00000000,1023
255.00000000,-60.00000000,1063
270.00000000,-60.00000000,1059
285.00000000,-60.00000000,1129
300.00000000,-60.00000000,1111
315.00000000,-60.00000000,1061
330.00000000,-60.00000000,1175
345.00000000,-60.00000000,1144
360.00000000,-60.00000000,1017
0.00000000,-45.00000000,796
15.00000000,-45.00000000,880
30.00000000,-45.00000000,898
45.00000000,-45.00000000,870
60.00000000,-45.00000000,892
75.00000000,-45.00000000,910
90.00000000,-45.00000000,922
105.00000000,-45.00000000,851
120.00000000,-45.00000000,891
135.00000000,-45.00000000,916
150.00000000,-45.00000000,940
165.00000000,-45.00000000,969
180.00000000,-45.00000000,927
195.00000000,-45.00000000,969
210.00000000,-45.00000000,956
225.00000000,-45.00000000,932
240.00000000,-45.00000000,901
255.00000000,-45.00000000,849
270.00000000,-45.00000000,876
285.00000000,-45.00000000,919
300.00000000,-45.00000000,894
315.00000000,-45.00000000,884
330.00000000,-45.00000000,905
345.00000000,-45.00000000,880
360.00000000,-45.00000000,796
0.00000000,-30.00000000,481
15.00000000,-30.00000000,560
30.00000000,-30.00000000,586
45.00000000,-30.00000000,632
60.00000000,-30.00000000,660
75.00000000,-30.00000000,701
90.00000000,-30.00000000,715
105.00000000,-30.00000000,746
120.00000000,-30.00000000,779
135.00000000,-30.00000000,827
150.00000000,-30.00000000,809
165.00000000,-30.00000000,774
180.00000000,-30.00000000,707
195.00000000,-30.00000000,770
210.00000000,-30.00000000,808
225.00000000,-30.00000000,825
240.00000000,-30.00000000,741
255.00000000,-30.00000000,734
270.00000000,-30.00000000,711
285.00000000,-30.00000000,687
300.00000000,-30.00000000,651
315.00000000,-30.00000000,630
330.00000000,-30.00000000,590
345.00000000,-30.00000000,564
360.00000000,-30.00000000,481
0.00000000,-15.00000000,293
15.00000000,-15.00000000,443
30.00000000,-15.00000000,541
45.00000000,-15.00000000,571
60.00000000,-15.00000000,611
75.00000000,-15.00000000,614
90.00000000,-15.00000000,630
105.00000000,-15.00000000,598
120.00000000,-15.00000000,580
135.00000000,-15.00000000,622
150.00000000,-15.00000000,682
165.00000000,-15.00000000,606
180.00000000,-15.00000000,495
195.00000000,-15.00000000,607
210.00000000,-15.00000000,682
225.00000000,-15.00000000,624
240.00000000,-15.00000000,584
255.00000000,-15.00000000,602
270.00000000,-15.00000000,630
285.00000000,-15.00000000,609
300.00000000,-15.00000000,607
315.00000000,-15.00000000,571
330.00000000,-15.00000000,506
345.00000000,-15.00000000,437
360.00000000,-15.00000000,293
0.00000000,0.00000000,330
15.00000000,0.00000000,427
30.00000000,0.00000000,515
45.00000000,0.00000000,560
60.00000000,0.00000000,588
75.00000000,0.00000000,583
90.00000000,0.00000000,589
105.00000000,0.00000000,588
120.00000000,0.00000000,590
135.00000000,0.00000000,558
150.00000000,0.00000000,513
165.00000000,0.00000000,470
180.00000000,0.00000000,347
195.00000000,0.00000000,427
210.00000000,0.00000000,515
225.00000000,0.00000000,560
240.00000000,0.00000000,588
255.00000000,0.00000000,583
270.00000000,0.00000000,589
285.00000000,0.00000000,588
300.00000000,0.00000000,590
315.00000000,0.00000000,558
330.00000000,0.00000000,513
345.00000000,0.00000000,470
360.00000000,0.00000000,330
0.00000000,15.00000000,495
15.00000000,15.00000000,607
30.00000000,15.00000000,682
45.00000000,15.00000000,624
60.00000000,15.00000000,584
75.00000000,15.00000000,602
90.00000000,15.00000000,630
105.00000000,15.00000000,609
120.00000000,15.00000000,607
135.00000000,15.00000000,571
150.00000000,15.00000000,506
165.00000000,15.00000000,437
180.00000000,15.00000000,293
195.00000000,15.00000000,443
210.00000000,15.00000000,541
225.00000000,15.00000000,571
240.00000000,15.00000000,611
255.00000000,15.00000000,614
270.00000000,15.00000000,630
285.00000000,15.00000000,598
300.00000000,15.00000000,580
315.00000000,15.00000000,622
330.00000000,15.00000000,682
345.00000000,15.00000000,606
360.00000000,15.00000000,495
0.00000000,30.00000000,707
15.00000000,30.00000000,770
30.00000000,30.00000000,808
45.00000000,30.00000000,825
60.00000000,30.00000000,741
75.00000000,30.00000000,734
90.00000000,30.00000000,711
105.00000000,30.00000000,687
120.00000000,30.00000000,651
135.00000000,30.00000000,630
150.00000000,30.00000000,590
165.00000000,30.00000000,564
180.00000000,30.00000000,481
195.00000000,30.00000000,560
210.00000000,30.00000000,586
225.00000000,30.00000000,632
240.00000000,30.00000000,660
255.00000000,30.00000000,701
270.00000000,30.00000000,715
285.00000000,30.00000000,746
300.00000000,30.00000000,779
315.00000000,30.00000000,827
330.00000000,30.00000000,809
345.00000000,30.00000000,774
360.00000000,30.00000000,707
0.00000000,45.00000000,927
15.00000000,45.00000000,969
30.00000000,45.00000000,956
45.00000000,45.00000000,932
60.00000000,45.00000000,901
75.00000000,45.00000000,849
90.00000000,45.00000000,876
105.00000000,45.00000000,919
120.00000000,45.00000000,894
135.00000000,45.00000000,884
150.00000000,45.00000000,905
165.00000000,45.00000000,880
180.00000000,45.00000000,795
195.00000000,45.00000000,880
210.00000000,45.00000000,898
225.00000000,45.00000000,870
240.00000000,45.00000000,892
255.00000000,45.00000000,910
270.00000000,45.00000000,922
285.00000000,45.00000000,851
300.00000000,45.00000000,891
315.00000000,45.00000000,916
330.00000000,45.00000000,940
345.00000000,45.00000000,969
360.00000000,45.00000000,927
0.00000000,60.00000000,1006
15.00000000,60.00000000,1088
30.00000000,60.00000000,1081
45.00000000,60.00000000,1039
60.00000000,60.00000000,1023
75.00000000,60.00000000,1063
90.00000000,60.00000000,1059
105.00000000,60.00000000,1129
120.00000000,60.00000000,1111
135.00000000,60.00000000,1061
150.00000000,60.00000000,1175
165.00000000,60.00000000,1144
180.00000000,60.00000000,1020
195.00000000,60.00000000,1084
210.00000000,60.00000000,1129
225.00000000,60.00000000,1061
240.00000000,60.00000000,1111
255.00000000,60.00000000,1130
270.00000000,60.00000000,1060
285.00000000,60.00000000,1077
300.00000000,60.00000000,1024
315.00000000,60.00000000,1040
330.00000000,60.00000000,1079
345.00000000,60.00000000,1085
360.00000000,60.00000000,1006
0.00000000,75.00000000,1082
15.00000000,75.00000000,1150
