az_deg,el_deg,a_ft
0.00000000,-90.00000000,1516
15.00000000,-90.00000000,1406
30.00000000,-90.00000000,1406
45.00000000,-90.00000000,1317
60.00000000,-90.00000000,1406
75.00000000,-90.00000000,1317
90.00000000,-90.00000000,1495
105.00000000,-90.00000000,1406
120.00000000,-90.00000000,1495
135.00000000,-90.00000000,1516
150.00000000,-90.00000000,1495
165.00000000,-90.00000000,1495
180.00000000,-90.00000000,1495
195.00000000,-90.00000000,1406
210.00000000,-90.00000000,1495
225.00000000,-90.00000000,1406
240.00000000,-90.00000000,1406
255.00000000,-90.00000000,1406
270.00000000,-90.00000000,1516
285.00000000,-90.00000000,1406
300.00000000,-90.00000000,1495
315.00000000,-90.00000000,1495
330.00000000,-90.00000000,1495
345.00000000,-90.00000000,1406
360.00000000,-90.00000000,1516
0.00000000,-75.00000000,1385
15.00000000,-75.00000000,1418
30.00000000,-75.00000000,1385
45.00000000,-75.00000000,1421
60.00000000,-75.00000000,1417
75.00000000,-75.00000000,1425
90.00000000,-75.00000000,1383
105.00000000,-75.00000000,1415
120.00000000,-75.00000000,1445
135.00000000,-75.00000000,1564
150.00000000,-75.00000000,1586
165.00000000,-75.00000000,1618
180.00000000,-75.00000000,1622
195.00000000,-75.00000000,1618
210.00000000,-75.00000000,1586
225.00000000,-75.00000000,1565
240.00000000,-75.00000000,1539
255.00000000,-75.00000000,1505
270.00000000,-75.00000000,1469
285.00000000,-75.00000000,1424
300.00000000,-75.00000000,1439
315.00000000,-75.00000000,1420
330.00000000,-75.00000000,1405
345.00000000,-75.00000000,1418
360.00000000,-75.00000000,1385
0.00000000,-60.00000000,962
15.00000000,-60.00000000,1077
30.00000000,-60.00000000,1106
45.00000000,-60.00000000,1143
60.00000000,-60.00000000,1135
75.00000000,-60.00000000,1103
90.00000000,-60.00000000,1332
105.00000000,-60.00000000,1243
120.00000000,-60.00000000,1166
135.00000000,-60.00000000,1383
150.00000000,-60.00000000,1552
165.00000000,-60.00000000,1591
180.00000000,-60.00000000,1636
195.00000000,-60.00000000,1608
210.00000000,-60.00000000,1552
225.00000000,-60.00000000,1381
240.00000000,-60.00000000,1166
255.00000000,-60.00000000,1247
270.00000000,-60.00000000,1334
285.00000000,-60.00000000,1111
300.00000000,-60.00000000,1135
315.00000000,-60.00000000,1141
330.00000000,-60.00000000,1115
345.00000000,-60.00000000,1077
360.00000000,-60.00000000,962
0.00000000,-45.00000000,711
15.00000000,-45.00000000,704
30.00000000,-45.00000000,815
45.00000000,-45.00000000,959
60.00000000,-45.00000000,941
75.00000000,-45.00000000,794
90.00000000,-45.00000000,887
105.00000000,-45.00000000,977
120.00000000,-45.00000000,1276
135.00000000,-45.00000000,1321
150.00000000,-45.00000000,1266
165.00000000,-45.00000000,1274
180.00000000,-45.00000000,1600
195.00000000,-45.00000000,1275
210.00000000,-45.00000000,1267
225.00000000,-45.00000000,1285
240.00000000,-45.00000000,1351
255.00000000,-45.00000000,978
270.00000000,-45.00000000,902
285.00000000,-45.00000000,795
300.00000000,-45.00000000,983
315.00000000,-45.00000000,957
330.00000000,-45.00000000,816
345.00000000,-45.00000000,719
360.00000000,-45.00000000,711
0.00000000,-30.00000000,420
15.00000000,-30.00000000,461
30.00000000,-30.00000000,522
45.00000000,-30.00000000,574
60.00000000,-30.00000000,771
75.00000000,-30.00000000,770
90.00000000,-30.00000000,759
105.00000000,-30.00000000,924
120.00000000,-30.00000000,1062
135.00000000,-30.00000000,1149
150.00000000,-30.00000000,1167
165.00000000,-30.00000000,1191
180.00000000,-30.00000000,1289
195.00000000,-30.00000000,1192
210.00000000,-30.00000000,1168
225.00000000,-30.00000000,1149
240.00000000,-30.00000000,1063
255.00000000,-30.00000000,987
270.00000000,-30.00000000,795
285.00000000,-30.00000000,769
300.00000000,-30.00000000,770
315.00000000,-30.00000000,587
330.00000000,-30.00000000,527
345.00000000,-30.00000000,462
360.00000000,-30.00000000,420
0.00000000,-15.00000000,353
15.00000000,-15.00000000,500
30.00000000,-15.00000000,553
45.00000000,-15.00000000,600
60.00000000,-15.00000000,711
75.00000000,-15.00000000,598
90.00000000,-15.00000000,623
105.00000000,-15.00000000,698
120.00000000,-15.00000000,837
135.00000000,-15.00000000,897
150.00000000,-15.00000000,950
165.00000000,-15.00000000,930
180.00000000,-15.00000000,959
195.00000000,-15.00000000,929
210.00000000,-15.00000000,952
225.00000000,-15.00000000,898
240.00000000,-15.00000000,837
255.00000000,-15.00000000,698
270.00000000,-15.00000000,631
285.00000000,-15.00000000,598
300.00000000,-15.00000000,710
315.00000000,-15.00000000,635
330.00000000,-15.00000000,554
345.00000000,-15.00000000,463
360.00000000,-15.00000000,353
0.00000000,0.00000000,691
15.00000000,0.00000000,640
30.00000000,0.00000000,663
45.00000000,0.00000000,675
60.00000000,0.00000000,753
75.00000000,0.00000000,619
