az_deg,el_deg,a_ft
0.00000000,-90.00000000,3306
15.00000000,-90.00000000,3430
30.00000000,-90.00000000,3430
45.00000000,-90.00000000,3430
60.00000000,-90.00000000,3430
75.00000000,-90.00000000,3430
90.00000000,-90.00000000,3218
105.00000000,-90.00000000,3430
120.00000000,-90.00000000,3430
135.00000000,-90.00000000,3306
150.00000000,-90.00000000,3393
165.00000000,-90.00000000,3430
180.00000000,-90.00000000,3393
195.00000000,-90.00000000,3430
210.00000000,-90.00000000,3430
225.00000000,-90.00000000,3306
240.00000000,-90.00000000,3430
255.00000000,-90.00000000,3430
270.00000000,-90.00000000,3393
285.00000000,-90.00000000,3430
300.00000000,-90.00000000,3430
315.00000000,-90.00000000,3125
330.00000000,-90.00000000,3430
345.00000000,-90.00000000,3430
360.00000000,-90.00000000,3306
0.00000000,-75.00000000,2703
15.00000000,-75.00000000,2674
30.00000000,-75.00000000,2697
45.00000000,-75.00000000,2888
60.00000000,-75.00000000,3108
75.00000000,-75.00000000,3149
90.00000000,-75.00000000,3006
105.00000000,-75.00000000,3316
120.00000000,-75.00000000,3342
135.00000000,-75.00000000,3230
150.00000000,-75.00000000,3315
165.00000000,-75.00000000,3414
180.00000000,-75.00000000,3237
195.00000000,-75.00000000,3414
210.00000000,-75.00000000,3315
225.00000000,-75.00000000,3230
240.00000000,-75.00000000,3342
255.00000000,-75.00000000,3316
270.00000000,-75.00000000,3006
285.00000000,-75.00000000,3149
300.00000000,-75.00000000,3108
315.00000000,-75.00000000,2888
330.00000000,-75.00000000,2697
345.00000000,-75.00000000,2674
360.00000000,-75.00000000,2703
0.00000000,-60.00000000,2251
15.00000000,-60.00000000,2308
30.00000000,-60.00000000,2361
45.00000000,-60.00000000,2492
60.00000000,-60.00000000,2663
75.00000000,-60.00000000,2849
90.00000000,-60.00000000,2795
105.00000000,-60.00000000,3114
120.00000000,-60.00000000,3053
135.00000000,-60.00000000,2932
150.00000000,-60.00000000,2794
165.00000000,-60.00000000,2779
180.00000000,-60.00000000,2828
195.00000000,-60.00000000,2779
210.00000000,-60.00000000,2794
225.00000000,-60.00000000,2932
240.00000000,-60.00000000,3053
255.00000000,-60.00000000,3078
270.00000000,-60.00000000,2863
285.00000000,-60.00000000,2774
300.00000000,-60.00000000,2663
315.00000000,-60.00000000,2492
330.00000000,-60.00000000,2361
345.00000000,-60.00000000,2308
360.00000000,-60.00000000,2251
0.00000000,-45.00000000,1985
15.00000000,-45.00000000,2021
30.00000000,-45.00000000,2223
45.00000000,-45.00000000,2368
60.00000000,-45.00000000,2203
75.00000000,-45.00000000,2494
90.00000000,-45.00000000,2686
105.00000000,-45.00000000,2702
120.00000000,-45.00000000,2660
135.00000000,-45.00000000,2566
150.00000000,-45.00000000,2463
165.00000000,-45.00000000,2481
180.00000000,-45.00000000,2477
195.00000000,-45.00000000,2481
210.00000000,-45.00000000,2463
225.00000000,-45.00000000,2566
240.00000000,-45.00000000,2660
255.00000000,-45.00000000,2702
270.00000000,-45.00000000,2685
285.00000000,-45.00000000,2494
300.00000000,-45.00000000,2166
315.00000000,-45.00000000,2368
330.00000000,-45.00000000,2223
345.00000000,-45.00000000,2021
360.00000000,-45.00000000,1985
0.00000000,-30.00000000,1400
15.00000000,-30.00000000,1450
30.00000000,-30.00000000,1520
45.00000000,-30.00000000,1685
60.00000000,-30.00000000,1825
75.00000000,-30.00000000,2026
90.00000000,-30.00000000,2079
105.00000000,-30.00000000,2262
120.00000000,-30.00000000,2242
135.00000000,-30.00000000,2078
150.00000000,-30.00000000,2129
165.00000000,-30.00000000,2031
180.00000000,-30.00000000,2105
195.00000000,-30.00000000,2031
210.00000000,-30.00000000,2129
225.00000000,-30.00000000,2172
240.00000000,-30.00000000,2242
255.00000000,-30.00000000,2262
270.00000000,-30.00000000,2077
285.00000000,-30.00000000,2025
300.00000000,-30.00000000,1828
315.00000000,-30.00000000,1687
330.00000000,-30.00000000,1520
345.00000000,-30.00000000,1450
360.00000000,-30.00000000,1400
0.00000000,-15.00000000,880
15.00000000,-15.00000000,981
30.00000000,-15.00000000,894
45.00000000,-15.00000000,1047
60.00000000,-15.00000000,1240
75.00000000,-15.00000000,1374
90.00000000,-15.00000000,1275
105.00000000,-15.00000000,1640
120.00000000,-15.00000000,1659
135.00000000,-15.00000000,1601
150.00000000,-15.00000000,1523
165.00000000,-15.00000000,1573
180.00000000,-15.00000000,1435
195.00000000,-15.00000000,1573
210.00000000,-15.00000000,1523
225.00000000,-15.00000000,1601
240.00000000,-15.00000000,1604
255.00000000,-15.00000000,1641
270.00000000,-15.00000000,1273
285.00000000,-15.00000000,1374
300.00000000,-15.00000000,1245
315.00000000,-15.00000000,1047
330.00000000,-15.00000000,896
345.00000000,-15.00000000,980
360.00000000,-15.00000000,880
0.00000000,0.00000000,1084
15.00000000,0.00000000,1284
30.00000000,0.00000000,1277
45.00000000,0.00000000,981
60.00000000,0.00000000,923
75.00000000,0.00000000,1072
90.00000000,0.00000000,938
105.00000000,0.00000000,1105
120.00000000,0.00000000,927
135.00000000,0.00000000,990
150.00000000,0.00000000,1293
165.00000000,0.00000000,1284
180.00000000,0.00000000,1083
195.00000000,0.00000000,1284
210.00000000,0.00000000,1277
225.00000000,0.00000000,981
240.00000000,0.00000000,923
255.00000000,0.00000000,1072
270.00000000,0.00000000,938
285.00000000,0.00000000,1105
300.00000000,0.00000000,927
315.00000000,0.00000000,990
330.00000000,0.00000000,1293
345.00000000,0.00000000,1284
360.00000000,0.00000000,1084
0.00000000,15.00000000,1439
15.00000000,15.00000000,1573
30.00000000,15.00000000,1523
45.00000000,15.00000000,1601
60.00000000,15.00000000,1604
75.00000000,15.00000000,1641
90.00000000,15.00000000,1273
105.00000000,15.00000000,1374
120.00000000,15.00000000,1245
135.00000000,15.00000000,1047
150.00000000,15.00000000,896
165.00000000,15.00000000,980
180.00000000,15.00000000,880
195.00000000,15.00000000,981
210.00000000,15.00000000,894
225.00000000,15.00000000,1047
240.00000000,15.00000000,1240
255.00000000,15.00000000,1374
270.00000000,15.00000000,1275
285.00000000,15.00000000,1640
300.00000000,15.00000000,1659
315.00000000,15.00000000,1601
330.00000000,15.00000000,1523
345.00000000,15.00000000,1573
360.00000000,15.00000000,1439
0.00000000,30.00000000,2105
15.00000000,30.00000000,2031
30.00000000,30.00000000,2129
45.00000000,30.00000000,2172
60.00000000,30.00000000,2242
75.00000000,30.00000000,2262
90.00000000,30.00000000,2077
105.00000000,30.00000000,2025
120.00000000,30.00000000,1828
135.00000000,30.00000000,1687
150.00000000,30.00000000,1520
165.00000000,30.00000000,1450
180.00000000,30.00000000,1400
195.00000000,30.00000000,1450
210.00000000,30.00000000,1520
225.00000000,30.00000000,1685
240.00000000,30.00000000,1825
255.00000000,30.00000000,2026
270.00000000,30.00000000,2079
285.00000000,30.00000000,2262
300.00000000,30.00000000,2242
315.00000000,30.00000000,2078
330.00000000,30.00000000,2129
345.00000000,30.00000000,2031
360.00000000,30.00000000,2105
0.00000000,45.00000000,2472
15.00000000,45.00000000,2481
30.00000000,45.00000000,2463
45.00000000,45.00000000,2566
60.00000000,45.00000000,2660
75.00000000,45.00000000,2702
90.00000000,45.00000000,2686
105.00000000,45.00000000,2494
120.00000000,45.00000000,2166
135.00000000,45.00000000,2368
150.00000000,45.00000000,2223
165.00000000,45.00000000,2021
180.00000000,45.00000000,1983
195.00000000,45.00000000,2021
210.00000000,45.00000000,2223
225.00000000,45.00000000,2368
240.00000000,45.00000000,2203
255.00000000,45.00000000,2494
270.00000000,45.00000000,2686
285.00000000,45.00000000,2702
300.00000000,45.00000000,2660
315.00000000,45.00000000,2566
330.00000000,45.00000000,2463
345.00000000,45.00000000,2481
360.00000000,45.00000000,2472
0.00000000,60.00000000,2849
15.00000000,60.00000000,2779
30.00000000,60.00000000,2794
45.00000000,60.00000000,2932
60.00000000,60.00000000,3053
75.00000000,60.00000000,3078
90.00000000,60.00000000,2863
105.00000000,60.00000000,2774
120.00000000,60.00000000,2663
135.00000000,60.00000000,2492
150.00000000,60.00000000,2361
165.00000000,60.00000000,2308
180.00000000,60.00000000,2251
195.00000000,60.00000000,2308
210.00000000,60.00000000,2361
225.00000000,60.00000000,2492
240.00000000,60.00000000,2663
255.00000000,60.00000000,2849
270.00000000,60.00000000,2795
285.00000000,60.00000000,3114
300.00000000,60.00000000,3053
315.00000000,60.00000000,2932
330.00000000,60.00000000,2794
345.00000000,60.00000000,2779
360.00000000,60.00000000,2849
0.00000000,75.00000000,3235
15.00000000,75.00000000,3414
30.00000000,75.00000000,3315
45.00000000,75.00000000,3230
60.00000000,75.00000000,3342
75.00000000,75.00000000,3316
90.00000000,75.00000000,3006
105.00000000,75.00000000,3149
120.00000000,75.00000000,3108
135.00000000,75.00000000,2888
150.00000000,75.00000000,2697
165.00000000,75.00000000,2674
180.00000000,75.00000000,2703
195.00000000,75.00000000,2674
210.00000000,75.00000000,2697
225.00000000,75.00000000,2888
240.00000000,75.00000000,3108
255.00000000,75.00000000,3149
270.00000000,75.00000000,3006
285.00000000,75.00000000,3316
300.00000000,75.00000000,3342
315.00000000,75.00000000,3230
330.00000000,75.00000000,3315
345.00000000,75.00000000,3414
360.00000000,75.00000000,3235
0.00000000,90.00000000,3393
15.00000000,90.00000000,3430
30.00000000,90.00000000,3430
45.00000000,90.00000000,3306
60.00000000,90.00000000,3430
75.00000000,90.00000000,3430
90.00000000,90.00000000,3306
105.00000000,90.00000000,3430
120.00000000,90.00000000,3430
135.00000000,90.00000000,3306
150.00000000,90.00000000,3430
165.00000000,90.00000000,3430
180.00000000,90.00000000,3306
195.00000000,90.00000000,3430
210.00000000,90.00000000,3430
225.00000000,90.00000000,3393
240.00000000,90.00000000,3430
255.00000000,90.00000000,3430
270.00000000,90.00000000,3393
285.00000000,90.00000000,3430
300.00000000,90.00000000,3430
315.00000000,90.00000000,3393
330.00000000,90.00000000,3430
345.00000000,90.00000000,3430
360.00000000,90.00000000,3393
