az_deg,el_deg,a_ft
0.00000000,-90.00000000,3098
15.00000000,-90.00000000,3098
30.00000000,-90.00000000,3098
45.00000000,-90.00000000,3098
60.00000000,-90.00000000,3098
75.00000000,-90.00000000,3098
90.00000000,-90.00000000,3098
105.00000000,-90.00000000,3098
120.00000000,-90.00000000,3098
135.00000000,-90.00000000,3098
150.00000000,-90.00000000,3098
165.00000000,-90.00000000,3098
180.00000000,-90.00000000,3098
195.00000000,-90.00000000,3098
210.00000000,-90.00000000,3098
225.00000000,-90.00000000,3098
240.00000000,-90.00000000,3098
255.00000000,-90.00000000,3098
270.00000000,-90.00000000,3098
285.00000000,-90.00000000,3098
300.00000000,-90.00000000,3098
315.00000000,-90.00000000,3098
330.00000000,-90.00000000,3098
345.00000000,-90.00000000,3098
360.00000000,-90.00000000,3098
0.00000000,-75.00000000,2900
15.00000000,-75.00000000,2794
30.00000000,-75.00000000,2869
45.00000000,-75.00000000,2956
60.00000000,-75.00000000,2956
75.00000000,-75.00000000,3052
90.00000000,-75.00000000,3101
105.00000000,-75.00000000,3149
120.00000000,-75.00000000,3145
135.00000000,-75.00000000,3106
150.00000000,-75.00000000,3127
165.00000000,-75.00000000,3129
180.00000000,-75.00000000,3139
195.00000000,-75.00000000,3139
210.00000000,-75.00000000,3127
225.00000000,-75.00000000,3098
240.00000000,-75.00000000,3141
255.00000000,-75.00000000,3149
270.00000000,-75.00000000,3154
285.00000000,-75.00000000,3055
300.00000000,-75.00000000,2947
315.00000000,-75.00000000,2956
330.00000000,-75.00000000,2869
345.00000000,-75.00000000,2842
360.00000000,-75.00000000,2900
0.00000000,-60.00000000,2570
15.00000000,-60.00000000,2566
30.00000000,-60.00000000,2638
45.00000000,-60.00000000,2623
60.00000000,-60.00000000,2929
75.00000000,-60.00000000,3066
90.00000000,-60.00000000,2861
105.00000000,-60.00000000,2796
120.00000000,-60.00000000,2887
135.00000000,-60.00000000,2925
150.00000000,-60.00000000,2987
165.00000000,-60.00000000,2956
180.00000000,-60.00000000,2963
195.00000000,-60.00000000,2956
210.00000000,-60.00000000,2984
225.00000000,-60.00000000,2913
240.00000000,-60.00000000,2892
255.00000000,-60.00000000,2742
270.00000000,-60.00000000,2862
285.00000000,-60.00000000,3119
300.00000000,-60.00000000,2929
315.00000000,-60.00000000,2623
330.00000000,-60.00000000,2748
345.00000000,-60.00000000,2568
360.00000000,-60.00000000,2570
0.00000000,-45.00000000,1965
15.00000000,-45.00000000,1993
30.00000000,-45.00000000,2055
45.00000000,-45.00000000,2156
60.00000000,-45.00000000,2096
75.00000000,-45.00000000,2418
90.00000000,-45.00000000,2404
105.00000000,-45.00000000,2526
120.00000000,-45.00000000,2558
135.00000000,-45.00000000,2678
150.00000000,-45.00000000,2753
165.00000000,-45.00000000,2608
180.00000000,-45.00000000,2679
195.00000000,-45.00000000,2629
210.00000000,-45.00000000,2753
225.00000000,-45.00000000,2664
240.00000000,-45.00000000,2563
255.00000000,-45.00000000,2526
270.00000000,-45.00000000,2312
285.00000000,-45.00000000,2418
300.00000000,-45.00000000,2096
315.00000000,-45.00000000,2162
330.00000000,-45.00000000,2056
345.00000000,-45.00000000,1990
360.00000000,-45.00000000,1965
0.00000000,-30.00000000,1256
15.00000000,-30.00000000,1326
30.00000000,-30.00000000,1286
45.00000000,-30.00000000,1399
60.00000000,-30.00000000,1587
75.00000000,-30.00000000,1770
90.00000000,-30.00000000,1796
105.00000000,-30.00000000,2199
120.00000000,-30.00000000,2132
135.00000000,-30.00000000,1994
150.00000000,-30.00000000,2195
165.00000000,-30.00000000,2312
180.00000000,-30.00000000,2146
195.00000000,-30.00000000,2281
210.00000000,-30.00000000,2182
225.00000000,-30.00000000,1994
240.00000000,-30.00000000,2143
255.00000000,-30.00000000,2173
270.00000000,-30.00000000,1797
285.00000000,-30.00000000,1769
300.00000000,-30.00000000,1518
315.00000000,-30.00000000,1398
330.00000000,-30.00000000,1282
345.00000000,-30.00000000,1303
360.00000000,-30.00000000,1256
0.00000000,-15.00000000,850
15.00000000,-15.00000000,1089
30.00000000,-15.00000000,1169
45.00000000,-15.00000000,1234
60.00000000,-15.00000000,1059
75.00000000,-15.00000000,1102
90.00000000,-15.00000000,1436
105.00000000,-15.00000000,1636
120.00000000,-15.00000000,1786
135.00000000,-15.00000000,1520
150.00000000,-15.00000000,1693
165.00000000,-15.00000000,1669
180.00000000,-15.00000000,1433
195.00000000,-15.00000000,1670
210.00000000,-15.00000000,1690
225.00000000,-15.00000000,1520
240.00000000,-15.00000000,1649
255.00000000,-15.00000000,1637
270.00000000,-15.00000000,1435
285.00000000,-15.00000000,1099
300.00000000,-15.00000000,1060
315.00000000,-15.00000000,1240
330.00000000,-15.00000000,1172
345.00000000,-15.00000000,1089
360.00000000,-15.00000000,850
0.00000000,0.00000000,1143
15.00000000,0.00000000,1054
30.00000000,0.00000000,1162
45.00000000,0.00000000,1463
60.00000000,0.00000000,1346
75.00000000,0.00000000,1133
90.00000000,0.00000000,1092
105.00000000,0.00000000,1144
120.00000000,0.00000000,1343
135.00000000,0.00000000,1409
150.00000000,0.00000000,1162
165.00000000,0.00000000,1053
180.00000000,0.00000000,1143
195.00000000,0.00000000,1054
210.00000000,0.00000000,1162
225.00000000,0.00000000,1463
240.00000000,0.00000000,1346
255.00000000,0.00000000,1133
270.00000000,0.00000000,1092
285.00000000,0.00000000,1144
300.00000000,0.00000000,1343
315.00000000,0.00000000,1409
330.00000000,0.00000000,1162
345.00000000,0.00000000,1053
360.00000000,0.00000000,1143
0.00000000,15.00000000,1433
15.00000000,15.00000000,1670
30.00000000,15.00000000,1690
45.00000000,15.00000000,1520
60.00000000,15.00000000,1649
75.00000000,15.00000000,1637
90.00000000,15.00000000,1435
105.00000000,15.00000000,1099
120.00000000,15.00000000,1060
135.00000000,15.00000000,1240
150.00000000,15.00000000,1172
165.00000000,15.00000000,1089
180.00000000,15.00000000,850
195.00000000,15.00000000,1089
210.00000000,15.00000000,1169
225.00000000,15.00000000,1234
240.00000000,15.00000000,1059
255.00000000,15.00000000,1102
270.00000000,15.00000000,1436
285.00000000,15.00000000,1636
300.00000000,15.00000000,1786
315.00000000,15.00000000,1520
330.00000000,15.00000000,1693
345.00000000,15.00000000,1669
360.00000000,15.00000000,1433
0.00000000,30.00000000,2146
15.00000000,30.00000000,2281
30.00000000,30.00000000,2182
45.00000000,30.00000000,1994
60.00000000,30.00000000,2143
75.00000000,30.00000000,2173
90.00000000,30.00000000,1797
105.00000000,30.00000000,1769
120.00000000,30.00000000,1518
135.00000000,30.00000000,1398
150.00000000,30.00000000,1282
165.00000000,30.00000000,1303
180.00000000,30.00000000,1255
195.00000000,30.00000000,1326
210.00000000,30.00000000,1286
225.00000000,30.00000000,1399
240.00000000,30.00000000,1587
255.00000000,30.00000000,1770
270.00000000,30.00000000,1796
285.00000000,30.00000000,2199
300.00000000,30.00000000,2132
315.00000000,30.00000000,1994
330.00000000,30.00000000,2195
345.00000000,30.00000000,2312
360.00000000,30.00000000,2146
0.00000000,45.00000000,2679
15.00000000,45.00000000,2629
30.00000000,45.00000000,2753
45.00000000,45.00000000,2664
60.00000000,45.00000000,2563
75.00000000,45.00000000,2526
90.00000000,45.00000000,2312
105.00000000,45.00000000,2418
120.00000000,45.00000000,2096
135.00000000,45.00000000,2162
150.00000000,45.00000000,2056
165.00000000,45.00000000,1990
180.00000000,45.00000000,1965
195.00000000,45.00000000,1993
210.00000000,45.00000000,2055
225.00000000,45.00000000,2156
240.00000000,45.00000000,2096
255.00000000,45.00000000,2418
270.00000000,45.00000000,2404
285.00000000,45.00000000,2526
300.00000000,45.00000000,2558
315.00000000,45.00000000,2678
330.00000000,45.00000000,2753
345.00000000,45.00000000,2608
360.00000000,45.00000000,2679
0.00000000,60.00000000,2963
15.00000000,60.00000000,2956
30.00000000,60.00000000,2984
45.00000000,60.00000000,2913
60.00000000,60.00000000,2892
75.00000000,60.00000000,2742
90.00000000,60.00000000,2862
105.00000000,60.00000000,3119
120.00000000,60.00000000,2929
135.00000000,60.00000000,2623
150.00000000,60.00000000,2748
165.00000000,60.00000000,2568
180.00000000,60.00000000,2570
195.00000000,60.00000000,2566
210.00000000,60.00000000,2638
225.00000000,60.00000000,2623
240.00000000,60.00000000,2929
255.00000000,60.00000000,3066
270.00000000,60.00000000,2861
285.00000000,60.00000000,2796
300.00000000,60.00000000,2887
315.00000000,60.00000000,2925
330.00000000,60.00000000,2987
345.00000000,60.00000000,2956
360.00000000,60.00000000,2963
0.00000000,75.00000000,3139
15.00000000,75.00000000,3139
30.00000000,75.00000000,3127
45.00000000,75.00000000,3098
60.00000000,75.00000000,3141
75.00000000,75.00000000,3149
90.00000000,75.00000000,3154
105.00000000,75.00000000,3055
120.00000000,75.00000000,2947
135.00000000,75.00000000,2956
150.00000000,75.00000000,2869
165.00000000,75.00000000,2842
180.00000000,75.00000000,2900
195.00000000,75.00000000,2794
210.00000000,75.00000000,2869
225.00000000,75.00000000,2956
240.00000000,75.00000000,2956
255.00000000,75.00000000,3052
270.00000000,75.00000000,3101
285.00000000,75.00000000,3149
300.00000000,75.00000000,3145
315.00000000,75.00000000,3106
330.00000000,75.00000000,3127
345.00000000,75.00000000,3129
360.00000000,75.00000000,3139
0.00000000,90.00000000,3098
15.00000000,90.00000000,3098
30.00000000,90.00000000,3098
45.00000000,90.00000000,3098
60.00000000,90.00000000,3098
75.00000000,90.00000000,3098
90.00000000,90.00000000,3098
105.00000000,90.00000000,3098
120.00000000,90.00000000,3098
135.00000000,90.00000000,3098
150.00000000,90.00000000,3098
165.00000000,90.00000000,3098
180.00000000,90.00000000,3098
195.00000000,90.00000000,3098
210.00000000,90.00000000,3098
225.00000000,90.00000000,3098
240.00000000,90.00000000,3098
255.00000000,90.00000000,3098
270.00000000,90.00000000,3098
285.00000000,90.00000000,3098
300.00000000,90.00000000,3098
315.00000000,90.00000000,3098
330.00000000,90.00000000,3098
345.00000000,90.00000000,3098
360.00000000,90.00000000,3098
