az_deg,el_deg,a_ft
0.00000000,-90.00000000,1202
15.00000000,-90.00000000,1331
30.00000000,-90.00000000,1332
45.00000000,-90.00000000,1285
60.00000000,-90.00000000,1330
75.00000000,-90.00000000,1332
90.00000000,-90.00000000,1044
105.00000000,-90.00000000,1330
120.00000000,-90.00000000,1332
135.00000000,-90.00000000,1277
150.00000000,-90.00000000,1332
165.00000000,-90.00000000,1330
180.00000000,-90.00000000,1128
195.00000000,-90.00000000,1332
210.00000000,-90.00000000,1340
225.00000000,-90.00000000,1217
240.00000000,-90.00000000,1331
255.00000000,-90.00000000,1340
270.00000000,-90.00000000,1208
285.00000000,-90.00000000,1330
300.00000000,-90.00000000,1332
315.00000000,-90.00000000,1332
330.00000000,-90.00000000,1332
345.00000000,-90.00000000,1331
360.00000000,-90.00000000,1202
0.00000000,-75.00000000,759
15.00000000,-75.00000000,891
30.00000000,-75.00000000,916
45.00000000,-75.00000000,921
60.00000000,-75.00000000,1022
75.00000000,-75.00000000,1056
90.00000000,-75.00000000,1063
105.00000000,-75.00000000,1019
120.00000000,-75.00000000,1051
135.00000000,-75.00000000,1065
150.00000000,-75.00000000,1160
165.00000000,-75.00000000,1067
180.00000000,-75.00000000,1067
195.00000000,-75.00000000,1067
210.00000000,-75.00000000,1160
225.00000000,-75.00000000,1065
240.00000000,-75.00000000,1051
255.00000000,-75.00000000,1019
270.00000000,-75.00000000,1063
285.00000000,-75.00000000,1056
300.00000000,-75.00000000,1022
315.00000000,-75.00000000,921
330.00000000,-75.00000000,916
345.00000000,-75.00000000,891
360.00000000,-75.00000000,759
0.00000000,-60.00000000,724
15.00000000,-60.00000000,761
30.00000000,-60.00000000,841
45.00000000,-60.00000000,848
60.00000000,-60.00000000,894
75.00000000,-60.00000000,880
90.00000000,-60.00000000,925
105.00000000,-60.00000000,802
120.00000000,-60.00000000,833
135.00000000,-60.00000000,955
150.00000000,-60.00000000,887
165.00000000,-60.00000000,964
180.00000000,-60.00000000,883
195.00000000,-60.00000000,964
210.00000000,-60.00000000,887
225.00000000,-60.00000000,955
240.00000000,-60.00000000,833
255.00000000,-60.00000000,802
270.00000000,-60.00000000,925
285.00000000,-60.00000000,880
300.00000000,-60.00000000,894
315.00000000,-60.00000000,848
330.00000000,-60.00000000,841
345.00000000,-60.00000000,761
360.00000000,-60.00000000,724
0.00000000,-45.00000000,532
15.00000000,-45.00000000,628
30.00000000,-45.00000000,644
45.00000000,-45.00000000,643
60.00000000,-45.00000000,684
75.00000000,-45.00000000,715
90.00000000,-45.00000000,769
105.00000000,-45.00000000,676
120.00000000,-45.00000000,732
135.00000000,-45.00000000,775
150.00000000,-45.00000000,770
165.00000000,-45.00000000,755
180.00000000,-45.00000000,774
195.00000000,-45.00000000,755
210.00000000,-45.00000000,770
225.00000000,-45.00000000,775
240.00000000,-45.00000000,732
255.00000000,-45.00000000,676
270.00000000,-45.00000000,769
285.00000000,-45.00000000,715
300.00000000,-45.00000000,684
315.00000000,-45.00000000,643
330.00000000,-45.00000000,644
345.00000000,-45.00000000,628
360.00000000,-45.00000000,532
0.00000000,-30.00000000,373
15.00000000,-30.00000000,397
30.00000000,-30.00000000,412
45.00000000,-30.00000000,436
60.00000000,-30.00000000,455
75.00000000,-30.00000000,522
90.00000000,-30.00000000,484
105.00000000,-30.00000000,517
120.00000000,-30.00000000,572
135.00000000,-30.00000000,613
150.00000000,-30.00000000,623
165.00000000,-30.00000000,612
180.00000000,-30.00000000,638
195.00000000,-30.00000000,612
210.00000000,-30.00000000,623
225.00000000,-30.00000000,613
240.00000000,-30.00000000,572
255.00000000,-30.00000000,517
270.00000000,-30.00000000,484
285.00000000,-30.00000000,522
300.00000000,-30.00000000,455
315.00000000,-30.00000000,436
330.00000000,-30.00000000,412
345.00000000,-30.00000000,397
360.00000000,-30.00000000,373
0.00000000,-15.00000000,232
15.00000000,-15.00000000,303
30.00000000,-15.00000000,316
45.00000000,-15.00000000,340
60.00000000,-15.00000000,330
75.00000000,-15.00000000,355
90.00000000,-15.00000000,398
105.00000000,-15.00000000,418
120.00000000,-15.00000000,449
135.00000000,-15.00000000,535
150.00000000,-15.00000000,507
165.00000000,-15.00000000,492
180.00000000,-15.00000000,525
195.00000000,-15.00000000,492
210.00000000,-15.00000000,507
225.00000000,-15.00000000,535
240.00000000,-15.00000000,449
255.00000000,-15.00000000,418
270.00000000,-15.00000000,398
285.00000000,-15.00000000,355
300.00000000,-15.00000000,330
315.00000000,-15.00000000,340
330.00000000,-15.00000000,316
345.00000000,-15.00000000,303
360.00000000,-15.00000000,232
0.00000000,0.00000000,213
15.00000000,0.00000000,344
30.00000000,0.00000000,364
45.00000000,0.00000000,364
60.00000000,0.00000000,367
75.00000000,0.00000000,319
90.00000000,0.00000000,321
105.00000000,0.00000000,319
120.00000000,0.00000000,367
135.00000000,0.00000000,364
150.00000000,0.00000000,364
165.00000000,0.00000000,344
180.00000000,0.00000000,213
195.00000000,0.00000000,344
