az_deg,el_deg,a_ft
0.00000000,-90.00000000,1463
15.00000000,-90.00000000,1463
30.00000000,-90.00000000,1463
45.00000000,-90.00000000,1463
60.00000000,-90.00000000,1463
75.00000000,-90.00000000,1463
90.00000000,-90.00000000,1463
105.00000000,-90.00000000,1463
120.00000000,-90.00000000,1463
135.00000000,-90.00000000,1463
150.00000000,-90.00000000,1463
165.00000000,-90.00000000,1463
180.00000000,-90.00000000,1463
195.00000000,-90.00000000,1463
210.00000000,-90.00000000,1463
225.00000000,-90.00000000,1463
240.00000000,-90.00000000,1463
255.00000000,-90.00000000,1463
270.00000000,-90.00000000,1463
285.00000000,-90.00000000,1463
300.00000000,-90.00000000,1463
315.00000000,-90.00000000,1463
330.00000000,-90.00000000,1463
345.00000000,-90.00000000,1463
360.00000000,-90.00000000,1463
0.00000000,-75.00000000,1166
15.00000000,-75.00000000,1224
30.00000000,-75.00000000,1237
45.00000000,-75.00000000,1275
60.00000000,-75.00000000,1278
75.00000000,-75.00000000,1327
90.00000000,-75.00000000,1290
105.00000000,-75.00000000,1278
120.00000000,-75.00000000,1191
135.00000000,-75.00000000,1173
150.00000000,-75.00000000,1067
165.00000000,-75.00000000,1139
180.00000000,-75.00000000,1037
195.00000000,-75.00000000,1063
210.00000000,-75.00000000,1024
225.00000000,-75.00000000,1131
240.00000000,-75.00000000,1241
255.00000000,-75.00000000,1289
270.00000000,-75.00000000,1277
285.00000000,-75.00000000,1273
300.00000000,-75.00000000,1312
315.00000000,-75.00000000,1272
330.00000000,-75.00000000,1203
345.00000000,-75.00000000,1163
360.00000000,-75.00000000,1166
0.00000000,-60.00000000,1015
15.00000000,-60.00000000,1090
30.00000000,-60.00000000,1185
45.00000000,-60.00000000,1173
60.00000000,-60.00000000,1263
75.00000000,-60.00000000,1182
90.00000000,-60.00000000,1250
105.00000000,-60.00000000,1200
120.00000000,-60.00000000,1205
135.00000000,-60.00000000,1049
150.00000000,-60.00000000,1047
165.00000000,-60.00000000,1054
180.00000000,-60.00000000,988
195.00000000,-60.00000000,1060
210.00000000,-60.00000000,1011
225.00000000,-60.00000000,1110
240.00000000,-60.00000000,1242
255.00000000,-60.00000000,1246
270.00000000,-60.00000000,1248
285.00000000,-60.00000000,1203
300.00000000,-60.00000000,1260
315.00000000,-60.00000000,1161
330.00000000,-60.00000000,1137
345.00000000,-60.00000000,1118
360.00000000,-60.00000000,1015
0.00000000,-45.00000000,842
15.00000000,-45.00000000,928
30.00000000,-45.00000000,1079
45.00000000,-45.00000000,1205
60.00000000,-45.00000000,1273
75.00000000,-45.00000000,1311
90.00000000,-45.00000000,1213
105.00000000,-45.00000000,1159
120.00000000,-45.00000000,1093
135.00000000,-45.00000000,1117
150.00000000,-45.00000000,1117
165.00000000,-45.00000000,993
180.00000000,-45.00000000,950
195.00000000,-45.00000000,935
210.00000000,-45.00000000,988
225.00000000,-45.00000000,1082
240.00000000,-45.00000000,1137
255.00000000,-45.00000000,1187
