az_deg,el_deg,a_ft
0.00000000,-90.00000000,2151
15.00000000,-90.00000000,2151
30.00000000,-90.00000000,2151
45.00000000,-90.00000000,2151
60.00000000,-90.00000000,2151
75.00000000,-90.00000000,2151
90.00000000,-90.00000000,2151
105.00000000,-90.00000000,2151
120.00000000,-90.00000000,2151
135.00000000,-90.00000000,2151
150.00000000,-90.00000000,2151
165.00000000,-90.00000000,2151
180.00000000,-90.00000000,2151
195.00000000,-90.00000000,2151
210.00000000,-90.00000000,2151
225.00000000,-90.00000000,2151
240.00000000,-90.00000000,2151
255.00000000,-90.00000000,2151
270.00000000,-90.00000000,2151
285.00000000,-90.00000000,2151
300.00000000,-90.00000000,2151
315.00000000,-90.00000000,2151
330.00000000,-90.00000000,2151
345.00000000,-90.00000000,2151
360.00000000,-90.00000000,2151
0.00000000,-75.00000000,2060
15.00000000,-75.00000000,1915
30.00000000,-75.00000000,2101
45.00000000,-75.00000000,1969
60.00000000,-75.00000000,2134
75.00000000,-75.00000000,1965
90.00000000,-75.00000000,2206
105.00000000,-75.00000000,1933
120.00000000,-75.00000000,2039
135.00000000,-75.00000000,1942
150.00000000,-75.00000000,2070
165.00000000,-75.00000000,1909
180.00000000,-75.00000000,1931
195.00000000,-75.00000000,1882
210.00000000,-75.00000000,1988
225.00000000,-75.00000000,1920
240.00000000,-75.00000000,2094
255.00000000,-75.00000000,1943
270.00000000,-75.00000000,2312
285.00000000,-75.00000000,1923
300.00000000,-75.00000000,2070
315.00000000,-75.00000000,1967
330.00000000,-75.00000000,2173
345.00000000,-75.00000000,1894
360.00000000,-75.00000000,2060
0.00000000,-60.00000000,1774
15.00000000,-60.00000000,1628
30.00000000,-60.00000000,1767
45.00000000,-60.00000000,1802
60.00000000,-60.00000000,1920
75.00000000,-60.00000000,1873
90.00000000,-60.00000000,2022
105.00000000,-60.00000000,1859
120.00000000,-60.00000000,1957
135.00000000,-60.00000000,1881
150.00000000,-60.00000000,1933
165.00000000,-60.00000000,1803
180.00000000,-60.00000000,1764
195.00000000,-60.00000000,1729
210.00000000,-60.00000000,1859
225.00000000,-60.00000000,1781
240.00000000,-60.00000000,1818
255.00000000,-60.00000000,1806
270.00000000,-60.00000000,1961
285.00000000,-60.00000000,1792
300.00000000,-60.00000000,1826
315.00000000,-60.00000000,1735
330.00000000,-60.00000000,1923
345.00000000,-60.00000000,1867
360.00000000,-60.00000000,1774
0.00000000,-45.00000000,1622
15.00000000,-45.00000000,1474
30.00000000,-45.00000000,1615
45.00000000,-45.00000000,1595
60.00000000,-45.00000000,1590
75.00000000,-45.00000000,1689
90.00000000,-45.00000000,1869
105.00000000,-45.00000000,1812
120.00000000,-45.00000000,1669
135.00000000,-45.00000000,1729
150.00000000,-45.00000000,1699
165.00000000,-45.00000000,1606
180.00000000,-45.00000000,1587
195.00000000,-45.00000000,1650
210.00000000,-45.00000000,1673
225.00000000,-45.00000000,1634
240.00000000,-45.00000000,1614
255.00000000,-45.00000000,1697
270.00000000,-45.00000000,1732
285.00000000,-45.00000000,1659
300.00000000,-45.00000000,1556
315.00000000,-45.00000000,1576
330.00000000,-45.00000000,1725
345.00000000,-45.00000000,1661
360.00000000,-45.00000000,1622
0.00000000,-30.00000000,1326
15.00000000,-30.00000000,1303
30.00000000,-30.00000000,1378
45.00000000,-30.00000000,1410
60.00000000,-30.00000000,1315
75.00000000,-30.00000000,1383
90.00000000,-30.00000000,1578
105.00000000,-30.00000000,1542
120.00000000,-30.00000000,1401
135.00000000,-30.00000000,1524
150.00000000,-30.00000000,1497
165.00000000,-30.00000000,1372
180.00000000,-30.00000000,1403
195.00000000,-30.00000000,1360
210.00000000,-30.00000000,1406
225.00000000,-30.00000000,1417
240.00000000,-30.00000000,1275
255.00000000,-30.00000000,1429
270.00000000,-30.00000000,1493
285.00000000,-30.00000000,1396
300.00000000,-30.00000000,1287
315.00000000,-30.00000000,1379
330.00000000,-30.00000000,1466
345.00000000,-30.00000000,1411
360.00000000,-30.00000000,1326
0.00000000,-15.00000000,922
15.00000000,-15.00000000,918
30.00000000,-15.00000000,994
45.00000000,-15.00000000,1118
60.00000000,-15.00000000,902
75.00000000,-15.00000000,1153
90.00000000,-15.00000000,1257
105.00000000,-15.00000000,1291
120.00000000,-15.00000000,1237
135.00000000,-15.00000000,1210
150.00000000,-15.00000000,1065
165.00000000,-15.00000000,1083
180.00000000,-15.00000000,931
195.00000000,-15.00000000,925
210.00000000,-15.00000000,984
225.00000000,-15.00000000,1074
240.00000000,-15.00000000,1141
255.00000000,-15.00000000,1186
270.00000000,-15.00000000,1179
285.00000000,-15.00000000,1168
300.00000000,-15.00000000,1189
315.00000000,-15.00000000,1119
330.00000000,-15.00000000,1037
345.00000000,-15.00000000,922
360.00000000,-15.00000000,922
0.00000000,0.00000000,409
15.00000000,0.00000000,548
30.00000000,0.00000000,630
45.00000000,0.00000000,813
60.00000000,0.00000000,894
75.00000000,0.00000000,1003
90.00000000,0.00000000,1037
105.00000000,0.00000000,1047
120.00000000,0.00000000,962
135.00000000,0.00000000,829
150.00000000,0.00000000,692
165.00000000,0.00000000,585
180.00000000,0.00000000,409
195.00000000,0.00000000,548
210.00000000,0.00000000,630
225.00000000,0.00000000,813
240.00000000,0.00000000,894
255.00000000,0.00000000,1003
270.00000000,0.00000000,1037
285.00000000,0.00000000,1047
300.00000000,0.00000000,962
315.00000000,0.00000000,829
330.00000000,0.00000000,692
345.00000000,0.00000000,585
360.00000000,0.00000000,409
0.00000000,15.00000000,931
15.00000000,15.00000000,925
30.00000000,15.00000000,984
45.00000000,15.00000000,1074
60.00000000,15.00000000,1141
75.00000000,15.00000000,1186
90.00000000,15.00000000,1179
105.00000000,15.00000000,1168
120.00000000,15.00000000,1189
135.00000000,15.00000000,1119
150.00000000,15.00000000,1037
165.00000000,15.00000000,922
180.00000000,15.00000000,922
195.00000000,15.00000000,918
210.00000000,15.00000000,994
225.00000000,15.00000000,1118
240.00000000,15.00000000,902
255.00000000,15.00000000,1153
270.00000000,15.00000000,1257
285.00000000,15.00000000,1291
300.00000000,15.00000000,1237
315.00000000,15.00000000,1210
330.00000000,15.00000000,1065
345.00000000,15.00000000,1083
360.00000000,15.00000000,931
0.00000000,30.00000000,1403
15.00000000,30.00000000,1360
30.00000000,30.00000000,1406
45.00000000,30.00000000,1417
60.00000000,30.00000000,1275
75.00000000,30.00000000,1429
90.00000000,30.00000000,1493
105.00000000,30.00000000,1396
120.00000000,30.00000000,1287
135.00000000,30.00000000,1379
150.00000000,30.00000000,1466
165.00000000,30.00000000,1411
180.00000000,30.00000000,1314
195.00000000,30.00000000,1303
210.00000000,30.00000000,1378
225.00000000,30.00000000,1410
240.00000000,30.00000000,1315
255.00000000,30.00000000,1383
270.00000000,30.00000000,1578
285.00000000,30.00000000,1542
300.00000000,30.00000000,1401
315.00000000,30.00000000,1524
330.00000000,30.00000000,1497
345.00000000,30.00000000,1372
360.00000000,30.00000000,1403
0.00000000,45.00000000,1587
15.00000000,45.00000000,1650
30.00000000,45.00000000,1673
45.00000000,45.00000000,1634
60.00000000,45.00000000,1614
75.00000000,45.00000000,1697
90.00000000,45.00000000,1732
105.00000000,45.00000000,1659
120.00000000,45.00000000,1556
135.00000000,45.00000000,1576
150.00000000,45.00000000,1725
165.00000000,45.00000000,1661
180.00000000,45.00000000,1622
195.00000000,45.00000000,1474
210.00000000,45.00000000,1615
225.00000000,45.00000000,1595
240.00000000,45.00000000,1590
255.00000000,45.00000000,1689
270.00000000,45.00000000,1869
285.00000000,45.00000000,1812
300.00000000,45.00000000,1669
315.00000000,45.00000000,1729
330.00000000,45.00000000,1699
345.00000000,45.00000000,1606
360.00000000,45.00000000,1587
0.00000000,60.00000000,1764
15.00000000,60.00000000,1729
30.00000000,60.00000000,1859
45.00000000,60.00000000,1781
60.00000000,60.00000000,1818
75.00000000,60.00000000,1806
90.00000000,60.00000000,1961
105.00000000,60.00000000,1792
120.00000000,60.00000000,1826
135.00000000,60.00000000,1735
150.00000000,60.00000000,1923
165.00000000,60.00000000,1867
180.00000000,60.00000000,1774
195.00000000,60.00000000,1628
210.00000000,60.00000000,1767
225.00000000,60.00000000,1802
240.00000000,60.00000000,1920
255.00000000,60.00000000,1873
270.00000000,60.00000000,2022
285.00000000,60.00000000,1859
300.00000000,60.00000000,1957
315.00000000,60.00000000,1881
330.00000000,60.00000000,1933
345.00000000,60.00000000,1803
360.00000000,60.00000000,1764
0.00000000,75.00000000,1931
15.00000000,75.00000000,1882
30.00000000,75.00000000,1988
45.00000000,75.00000000,1920
60.00000000,75.00000000,2094
75.00000000,75.00000000,1943
90.00000000,75.00000000,2312
105.00000000,75.00000000,1923
120.00000000,75.00000000,2070
135.00000000,75.00000000,1967
150.00000000,75.00000000,2173
165.00000000,75.00000000,1894
180.00000000,75.00000000,2060
195.00000000,75.00000000,1915
210.00000000,75.00000000,2101
225.00000000,75.00000000,1969
240.00000000,75.00000000,2134
255.00000000,75.00000000,1965
270.00000000,75.00000000,2206
285.00000000,75.00000000,1933
300.00000000,75.00000000,2039
315.00000000,75.00000000,1942
330.00000000,75.00000000,2070
345.00000000,75.00000000,1909
360.00000000,75.00000000,1931
0.00000000,90.00000000,2151
15.00000000,90.00000000,2151
30.00000000,90.00000000,2151
45.00000000,90.00000000,2151
60.00000000,90.00000000,2151
75.00000000,90.00000000,2151
90.00000000,90.00000000,2151
105.00000000,90.00000000,2151
120.00000000,90.00000000,2151
135.00000000,90.00000000,2151
150.00000000,90.00000000,2151
165.00000000,90.00000000,2151
180.00000000,90.00000000,2151
195.00000000,90.00000000,2151
210.00000000,90.00000000,2151
225.00000000,90.00000000,2151
240.00000000,90.00000000,2151
255.00000000,90.00000000,2151
270.00000000,90.00000000,2151
285.00000000,90.00000000,2151
300.00000000,90.00000000,2151
315.00000000,90.00000000,2151
330.00000000,90.00000000,2151
345.00000000,90.00000000,2151
360.00000000,90.00000000,2151
