az_deg,el_deg,a_ft
0.00000000,-90.00000000,350
15.00000000,-90.00000000,350
30.00000000,-90.00000000,350
45.00000000,-90.00000000,350
60.00000000,-90.00000000,352
75.00000000,-90.00000000,352
90.00000000,-90.00000000,350
105.00000000,-90.00000000,350
120.00000000,-90.00000000,350
135.00000000,-90.00000000,350
150.00000000,-90.00000000,352
165.00000000,-90.00000000,352
180.00000000,-90.00000000,350
195.00000000,-90.00000000,350
210.00000000,-90.00000000,350
225.00000000,-90.00000000,350
240.00000000,-90.00000000,352
255.00000000,-90.00000000,352
270.00000000,-90.00000000,350
285.00000000,-90.00000000,350
300.00000000,-90.00000000,350
315.00000000,-90.00000000,350
330.00000000,-90.00000000,352
345.00000000,-90.00000000,352
360.00000000,-90.00000000,350
0.00000000,-75.00000000,341
15.00000000,-75.00000000,337
30.00000000,-75.00000000,361
45.00000000,-75.00000000,369
60.00000000,-75.00000000,382
75.00000000,-75.00000000,387
90.00000000,-75.00000000,391
105.00000000,-75.00000000,389
120.00000000,-75.00000000,385
135.00000000,-75.00000000,375
150.00000000,-75.00000000,361
165.00000000,-75.00000000,354
180.00000000,-75.00000000,358
195.00000000,-75.00000000,351
210.00000000,-75.00000000,363
225.00000000,-75.00000000,380
240.00000000,-75.00000000,394
255.00000000,-75.00000000,399
270.00000000,-75.00000000,393
285.00000000,-75.00000000,390
300.00000000,-75.00000000,384
315.00000000,-75.00000000,362
330.00000000,-75.00000000,347
345.00000000,-75.00000000,332
360.00000000,-75.00000000,341
0.00000000,-60.00000000,304
15.00000000,-60.00000000,326
30.00000000,-60.00000000,367
45.00000000,-60.00000000,404
60.00000000,-60.00000000,442
75.00000000,-60.00000000,469
90.00000000,-60.00000000,476
105.00000000,-60.00000000,465
120.00000000,-60.00000000,451
135.00000000,-60.00000000,410
150.00000000,-60.00000000,365
165.00000000,-60.00000000,312
180.00000000,-60.00000000,289
195.00000000,-60.00000000,311
210.00000000,-60.00000000,373
225.00000000,-60.00000000,432
240.00000000,-60.00000000,463
255.00000000,-60.00000000,470
270.00000000,-60.00000000,477
285.00000000,-60.00000000,471
300.00000000,-60.00000000,444
315.00000000,-60.00000000,405
330.00000000,-60.00000000,360
345.00000000,-60.00000000,318
360.00000000,-60.00000000,304
0.00000000,-45.00000000,259
15.00000000,-45.00000000,292
30.00000000,-45.00000000,358
45.00000000,-45.00000000,422
60.00000000,-45.00000000,481
75.00000000,-45.00000000,527
90.00000000,-45.00000000,550
105.00000000,-45.00000000,528
120.00000000,-45.00000000,495
135.00000000,-45.00000000,444
150.00000000,-45.00000000,364
165.00000000,-45.00000000,269
180.00000000,-45.00000000,238
195.00000000,-45.00000000,265
210.00000000,-45.00000000,378
225.00000000,-45.00000000,454
240.00000000,-45.00000000,521
