az_deg,el_deg,a_ft
0.00000000,-90.00000000,1064
15.00000000,-90.00000000,1064
30.00000000,-90.00000000,1064
45.00000000,-90.00000000,1064
60.00000000,-90.00000000,1064
75.00000000,-90.00000000,1064
90.00000000,-90.00000000,1064
105.00000000,-90.00000000,1064
120.00000000,-90.00000000,1064
135.00000000,-90.00000000,1064
150.00000000,-90.00000000,1064
165.00000000,-90.00000000,1064
180.00000000,-90.00000000,1064
195.00000000,-90.00000000,1064
210.00000000,-90.00000000,1064
225.00000000,-90.00000000,1064
240.00000000,-90.00000000,1064
255.00000000,-90.00000000,1064
270.00000000,-90.00000000,1064
285.00000000,-90.00000000,1064
300.00000000,-90.00000000,1064
315.00000000,-90.00000000,1064
330.00000000,-90.00000000,1064
345.00000000,-90.00000000,1064
360.00000000,-90.00000000,1064
0.00000000,-75.00000000,877
15.00000000,-75.00000000,787
30.00000000,-75.00000000,836
45.00000000,-75.00000000,874
60.00000000,-75.00000000,793
75.00000000,-75.00000000,750
90.00000000,-75.00000000,760
105.00000000,-75.00000000,730
120.00000000,-75.00000000,727
135.00000000,-75.00000000,796
150.00000000,-75.00000000,719
165.00000000,-75.00000000,763
180.00000000,-75.00000000,1024
195.00000000,-75.00000000,793
210.00000000,-75.00000000,721
225.00000000,-75.00000000,823
240.00000000,-75.00000000,723
255.00000000,-75.00000000,726
270.00000000,-75.00000000,771
285.00000000,-75.00000000,782
300.00000000,-75.00000000,834
315.00000000,-75.00000000,874
330.00000000,-75.00000000,836
345.00000000,-75.00000000,831
360.00000000,-75.00000000,877
0.00000000,-60.00000000,822
15.00000000,-60.00000000,712
30.00000000,-60.00000000,719
45.00000000,-60.00000000,779
60.00000000,-60.00000000,825
75.00000000,-60.00000000,832
90.00000000,-60.00000000,707
105.00000000,-60.00000000,748
120.00000000,-60.00000000,733
135.00000000,-60.00000000,710
150.00000000,-60.00000000,703
165.00000000,-60.00000000,712
180.00000000,-60.00000000,1028
195.00000000,-60.00000000,689
210.00000000,-60.00000000,680
225.00000000,-60.00000000,736
240.00000000,-60.00000000,721
255.00000000,-60.00000000,732
270.00000000,-60.00000000,710
285.00000000,-60.00000000,832
300.00000000,-60.00000000,825
315.00000000,-60.00000000,779
330.00000000,-60.00000000,719
345.00000000,-60.00000000,712
360.00000000,-60.00000000,822
0.00000000,-45.00000000,645
15.00000000,-45.00000000,638
30.00000000,-45.00000000,662
45.00000000,-45.00000000,664
60.00000000,-45.00000000,634
75.00000000,-45.00000000,577
90.00000000,-45.00000000,630
105.00000000,-45.00000000,642
120.00000000,-45.00000000,674
135.00000000,-45.00000000,706
150.00000000,-45.00000000,740
165.00000000,-45.00000000,686
180.00000000,-45.00000000,804
195.00000000,-45.00000000,633
210.00000000,-45.00000000,740
225.00000000,-45.00000000,703
240.00000000,-45.00000000,667
255.00000000,-45.00000000,633
270.00000000,-45.00000000,623
285.00000000,-45.00000000,573
300.00000000,-45.00000000,642
315.00000000,-45.00000000,664
330.00000000,-45.00000000,662
345.00000000,-45.00000000,638
360.00000000,-45.00000000,645
0.00000000,-30.00000000,383
15.00000000,-30.00000000,440
30.00000000,-30.00000000,462
45.00000000,-30.00000000,476
60.00000000,-30.00000000,526
75.00000000,-30.00000000,438
90.00000000,-30.00000000,451
105.00000000,-30.00000000,490
120.00000000,-30.00000000,585
135.00000000,-30.00000000,628
150.00000000,-30.00000000,691
165.00000000,-30.00000000,597
180.00000000,-30.00000000,610
195.00000000,-30.00000000,597
210.00000000,-30.00000000,690
225.00000000,-30.00000000,629
240.00000000,-30.00000000,585
255.00000000,-30.00000000,498
270.00000000,-30.00000000,451
285.00000000,-30.00000000,433
300.00000000,-30.00000000,506
315.00000000,-30.00000000,475
330.00000000,-30.00000000,462
345.00000000,-30.00000000,440
360.00000000,-30.00000000,383
0.00000000,-15.00000000,265
15.00000000,-15.00000000,273
30.00000000,-15.00000000,312
45.00000000,-15.00000000,333
60.00000000,-15.00000000,322
75.00000000,-15.00000000,336
90.00000000,-15.00000000,344
105.00000000,-15.00000000,324
120.00000000,-15.00000000,431
135.00000000,-15.00000000,492
150.00000000,-15.00000000,530
165.00000000,-15.00000000,484
180.00000000,-15.00000000,545
195.00000000,-15.00000000,484
210.00000000,-15.00000000,535
225.00000000,-15.00000000,492
240.00000000,-15.00000000,431
255.00000000,-15.00000000,315
270.00000000,-15.00000000,340
285.00000000,-15.00000000,337
300.00000000,-15.00000000,329
315.00000000,-15.00000000,347
330.00000000,-15.00000000,312
345.00000000,-15.00000000,273
360.00000000,-15.00000000,265
0.00000000,0.00000000,364
15.00000000,0.00000000,368
30.00000000,0.00000000,341
45.00000000,0.00000000,359
60.00000000,0.00000000,324
75.00000000,0.00000000,294
90.00000000,0.00000000,322
105.00000000,0.00000000,295
120.00000000,0.00000000,324
135.00000000,0.00000000,359
150.00000000,0.00000000,341
165.00000000,0.00000000,368
180.00000000,0.00000000,364
195.00000000,0.00000000,368
210.00000000,0.00000000,341
225.00000000,0.00000000,359
240.00000000,0.00000000,324
255.00000000,0.00000000,294
270.00000000,0.00000000,322
285.00000000,0.00000000,295
300.00000000,0.00000000,324
315.00000000,0.00000000,359
330.00000000,0.00000000,341
345.00000000,0.00000000,368
360.00000000,0.00000000,364
0.00000000,15.00000000,545
15.00000000,15.00000000,484
30.00000000,15.00000000,535
45.00000000,15.00000000,492
60.00000000,15.00000000,431
75.00000000,15.00000000,315
90.00000000,15.00000000,340
105.00000000,15.00000000,337
120.00000000,15.00000000,329
135.00000000,15.00000000,347
150.00000000,15.00000000,312
165.00000000,15.00000000,273
180.00000000,15.00000000,262
195.00000000,15.00000000,273
210.00000000,15.00000000,312
225.00000000,15.00000000,333
240.00000000,15.00000000,322
255.00000000,15.00000000,336
270.00000000,15.00000000,344
285.00000000,15.00000000,324
300.00000000,15.00000000,431
315.00000000,15.00000000,492
330.00000000,15.00000000,530
345.00000000,15.00000000,484
360.00000000,15.00000000,545
0.00000000,30.00000000,610
15.00000000,30.00000000,597
30.00000000,30.00000000,690
45.00000000,30.00000000,629
60.00000000,30.00000000,585
75.00000000,30.00000000,498
90.00000000,30.00000000,451
105.00000000,30.00000000,433
120.00000000,30.00000000,506
135.00000000,30.00000000,475
150.00000000,30.00000000,462
165.00000000,30.00000000,440
180.00000000,30.00000000,388
195.00000000,30.00000000,440
210.00000000,30.00000000,462
225.00000000,30.00000000,476
240.00000000,30.00000000,526
255.00000000,30.00000000,438
270.00000000,30.00000000,451
285.00000000,30.00000000,490
300.00000000,30.00000000,585
315.00000000,30.00000000,628
330.00000000,30.00000000,691
345.00000000,30.00000000,597
360.00000000,30.00000000,610
0.00000000,45.00000000,804
15.00000000,45.00000000,633
30.00000000,45.00000000,740
45.00000000,45.00000000,703
60.00000000,45.00000000,667
75.00000000,45.00000000,633
90.00000000,45.00000000,623
105.00000000,45.00000000,573
120.00000000,45.00000000,642
135.00000000,45.00000000,664
150.00000000,45.00000000,662
165.00000000,45.00000000,638
180.00000000,45.00000000,645
195.00000000,45.00000000,638
210.00000000,45.00000000,662
225.00000000,45.00000000,664
240.00000000,45.00000000,634
255.00000000,45.00000000,577
270.00000000,45.00000000,630
285.00000000,45.00000000,642
300.00000000,45.00000000,674
315.00000000,45.00000000,706
330.00000000,45.00000000,740
345.00000000,45.00000000,686
360.00000000,45.00000000,804
0.00000000,60.00000000,974
15.00000000,60.00000000,689
30.00000000,60.00000000,680
45.00000000,60.00000000,736
60.00000000,60.00000000,721
75.00000000,60.00000000,732
90.00000000,60.00000000,710
105.00000000,60.00000000,832
120.00000000,60.00000000,825
135.00000000,60.00000000,779
150.00000000,60.00000000,719
165.00000000,60.00000000,712
180.00000000,60.00000000,784
195.00000000,60.00000000,712
210.00000000,60.00000000,719
225.00000000,60.00000000,779
240.00000000,60.00000000,825
255.00000000,60.00000000,832
270.00000000,60.00000000,707
285.00000000,60.00000000,748
300.00000000,60.00000000,733
315.00000000,60.00000000,710
330.00000000,60.00000000,703
345.00000000,60.00000000,712
360.00000000,60.00000000,974
0.00000000,75.00000000,1024
15.00000000,75.00000000,793
30.00000000,75.00000000,721
45.00000000,75.00000000,823
