az_deg,el_deg,a_ft
0.00000000,-90.00000000,6324
15.00000000,-90.00000000,6326
30.00000000,-90.00000000,6326
45.00000000,-90.00000000,6324
60.00000000,-90.00000000,6326
75.00000000,-90.00000000,6326
90.00000000,-90.00000000,6324
105.00000000,-90.00000000,6326
120.00000000,-90.00000000,6326
135.00000000,-90.00000000,6324
150.00000000,-90.00000000,6326
165.00000000,-90.00000000,6326
180.00000000,-90.00000000,6324
195.00000000,-90.00000000,6326
210.00000000,-90.00000000,6326
225.00000000,-90.00000000,6324
240.00000000,-90.00000000,6326
255.00000000,-90.00000000,6326
270.00000000,-90.00000000,6324
285.00000000,-90.00000000,6326
300.00000000,-90.00000000,6326
315.00000000,-90.00000000,6324
330.00000000,-90.00000000,6326
345.00000000,-90.00000000,6326
360.00000000,-90.00000000,6324
0.00000000,-75.00000000,6025
15.00000000,-75.00000000,6017
30.00000000,-75.00000000,6041
45.00000000,-75.00000000,6061
60.00000000,-75.00000000,6120
75.00000000,-75.00000000,6152
90.00000000,-75.00000000,6142
105.00000000,-75.00000000,6164
120.00000000,-75.00000000,6209
135.00000000,-75.00000000,6276
150.00000000,-75.00000000,6314
165.00000000,-75.00000000,6343
180.00000000,-75.00000000,6357
195.00000000,-75.00000000,6339
210.00000000,-75.00000000,6319
225.00000000,-75.00000000,6282
240.00000000,-75.00000000,6242
255.00000000,-75.00000000,6165
270.00000000,-75.00000000,6143
285.00000000,-75.00000000,6153
300.00000000,-75.00000000,6123
315.00000000,-75.00000000,6077
330.00000000,-75.00000000,6134
345.00000000,-75.00000000,6036
360.00000000,-75.00000000,6025
0.00000000,-60.00000000,4923
15.00000000,-60.00000000,5387
30.00000000,-60.00000000,5665
45.00000000,-60.00000000,6044
60.00000000,-60.00000000,6166
75.00000000,-60.00000000,6209
90.00000000,-60.00000000,5710
105.00000000,-60.00000000,5673
120.00000000,-60.00000000,5736
135.00000000,-60.00000000,5907
150.00000000,-60.00000000,6000
165.00000000,-60.00000000,6088
180.00000000,-60.00000000,5853
195.00000000,-60.00000000,5900
210.00000000,-60.00000000,5985
225.00000000,-60.00000000,5686
240.00000000,-60.00000000,5794
255.00000000,-60.00000000,5664
270.00000000,-60.00000000,5704
285.00000000,-60.00000000,6211
300.00000000,-60.00000000,6173
315.00000000,-60.00000000,6121
330.00000000,-60.00000000,5997
345.00000000,-60.00000000,5433
360.00000000,-60.00000000,4923
0.00000000,-45.00000000,4290
15.00000000,-45.00000000,4979
30.00000000,-45.00000000,5008
45.00000000,-45.00000000,5446
60.00000000,-45.00000000,5402
75.00000000,-45.00000000,5574
90.00000000,-45.00000000,5225
105.00000000,-45.00000000,4958
120.00000000,-45.00000000,5054
135.00000000,-45.00000000,5334
150.00000000,-45.00000000,5339
165.00000000,-45.00000000,5363
180.00000000,-45.00000000,5102
195.00000000,-45.00000000,5287
210.00000000,-45.00000000,5323
225.00000000,-45.00000000,5253
240.00000000,-45.00000000,5087
255.00000000,-45.00000000,5024
270.00000000,-45.00000000,5224
285.00000000,-45.00000000,5728
300.00000000,-45.00000000,5416
315.00000000,-45.00000000,5249
330.00000000,-45.00000000,5008
345.00000000,-45.00000000,5256
360.00000000,-45.00000000,4290
0.00000000,-30.00000000,3783
15.00000000,-30.00000000,3586
30.00000000,-30.00000000,3965
45.00000000,-30.00000000,4027
60.00000000,-30.00000000,3884
75.00000000,-30.00000000,4298
90.00000000,-30.00000000,4085
105.00000000,-30.00000000,4066
120.00000000,-30.00000000,4203
135.00000000,-30.00000000,4865
150.00000000,-30.00000000,4961
165.00000000,-30.00000000,4606
180.00000000,-30.00000000,4191
195.00000000,-30.00000000,4589
210.00000000,-30.00000000,4950
225.00000000,-30.00000000,4875
240.00000000,-30.00000000,4202
255.00000000,-30.00000000,4067
270.00000000,-30.00000000,4137
285.00000000,-30.00000000,4298
300.00000000,-30.00000000,3896
315.00000000,-30.00000000,4047
330.00000000,-30.00000000,3994
345.00000000,-30.00000000,3507
360.00000000,-30.00000000,3783
0.00000000,-15.00000000,1452
15.00000000,-15.00000000,2198
30.00000000,-15.00000000,2572
45.00000000,-15.00000000,2700
60.00000000,-15.00000000,2768
75.00000000,-15.00000000,3008
90.00000000,-15.00000000,3643
105.00000000,-15.00000000,3681
120.00000000,-15.00000000,3620
135.00000000,-15.00000000,3649
150.00000000,-15.00000000,3526
165.00000000,-15.00000000,3416
180.00000000,-15.00000000,3111
195.00000000,-15.00000000,3417
210.00000000,-15.00000000,3526
225.00000000,-15.00000000,3679
240.00000000,-15.00000000,3621
255.00000000,-15.00000000,3699
270.00000000,-15.00000000,3653
285.00000000,-15.00000000,3010
300.00000000,-15.00000000,2770
315.00000000,-15.00000000,2699
330.00000000,-15.00000000,2563
345.00000000,-15.00000000,2197
360.00000000,-15.00000000,1452
0.00000000,0.00000000,1833
15.00000000,0.00000000,1995
30.00000000,0.00000000,2118
45.00000000,0.00000000,2188
60.00000000,0.00000000,2602
75.00000000,0.00000000,2730
90.00000000,0.00000000,2763
105.00000000,0.00000000,2771
120.00000000,0.00000000,2566
135.00000000,0.00000000,2187
150.00000000,0.00000000,2036
165.00000000,0.00000000,2010
180.00000000,0.00000000,1833
195.00000000,0.00000000,1995
210.00000000,0.00000000,2118
225.00000000,0.00000000,2188
240.00000000,0.00000000,2602
255.00000000,0.00000000,2730
270.00000000,0.00000000,2763
285.00000000,0.00000000,2771
300.00000000,0.00000000,2566
315.00000000,0.00000000,2187
330.00000000,0.00000000,2036
345.00000000,0.00000000,2010
360.00000000,0.00000000,1833
0.00000000,15.00000000,3111
15.00000000,15.00000000,3417
30.00000000,15.00000000,3526
45.00000000,15.00000000,3679
60.00000000,15.00000000,3621
75.00000000,15.00000000,3699
90.00000000,15.00000000,3653
105.00000000,15.00000000,3010
120.00000000,15.00000000,2770
135.00000000,15.00000000,2699
150.00000000,15.00000000,2563
165.00000000,15.00000000,2197
180.00000000,15.00000000,1452
195.00000000,15.00000000,2198
210.00000000,15.00000000,2572
225.00000000,15.00000000,2700
240.00000000,15.00000000,2768
255.00000000,15.00000000,3008
270.00000000,15.00000000,3643
285.00000000,15.00000000,3681
300.00000000,15.00000000,3620
315.00000000,15.00000000,3649
330.00000000,15.00000000,3526
345.00000000,15.00000000,3416
360.00000000,15.00000000,3111
0.00000000,30.00000000,4191
15.00000000,30.00000000,4589
30.00000000,30.00000000,4950
45.00000000,30.00000000,4875
60.00000000,30.00000000,4202
75.00000000,30.00000000,4067
90.00000000,30.00000000,4137
105.00000000,30.00000000,4298
120.00000000,30.00000000,3896
135.00000000,30.00000000,4047
150.00000000,30.00000000,3994
165.00000000,30.00000000,3507
180.00000000,30.00000000,3783
195.00000000,30.00000000,3586
210.00000000,30.00000000,3965
225.00000000,30.00000000,4027
240.00000000,30.00000000,3884
255.00000000,30.00000000,4298
270.00000000,30.00000000,4085
285.00000000,30.00000000,4066
300.00000000,30.00000000,4203
315.00000000,30.00000000,4865
330.00000000,30.00000000,4961
345.00000000,30.00000000,4606
360.00000000,30.00000000,4191
0.00000000,45.00000000,5102
15.00000000,45.00000000,5287
30.00000000,45.00000000,5323
45.00000000,45.00000000,5253
60.00000000,45.00000000,5087
75.00000000,45.00000000,5024
90.00000000,45.00000000,5224
105.00000000,45.00000000,5728
120.00000000,45.00000000,5416
135.00000000,45.00000000,5249
150.00000000,45.00000000,5008
165.00000000,45.00000000,5256
180.00000000,45.00000000,4290
195.00000000,45.00000000,4979
210.00000000,45.00000000,5008
225.00000000,45.00000000,5446
240.00000000,45.00000000,5402
255.00000000,45.00000000,5574
270.00000000,45.00000000,5225
285.00000000,45.00000000,4958
300.00000000,45.00000000,5054
315.00000000,45.00000000,5334
330.00000000,45.00000000,5339
345.00000000,45.00000000,5363
360.00000000,45.00000000,5102
0.00000000,60.00000000,5853
15.00000000,60.00000000,5900
30.00000000,60.00000000,5985
45.00000000,60.00000000,5686
60.00000000,60.00000000,5794
75.00000000,60.00000000,5664
90.00000000,60.00000000,5704
105.00000000,60.00000000,6211
120.00000000,60.00000000,6173
135.00000000,60.00000000,6121
150.00000000,60.00000000,5997
165.00000000,60.00000000,5433
180.00000000,60.00000000,4923
195.00000000,60.00000000,5387
210.00000000,60.00000000,5665
225.00000000,60.00000000,6044
240.00000000,60.00000000,6166
255.00000000,60.00000000,6209
270.00000000,60.00000000,5710
285.00000000,60.00000000,5673
300.00000000,60.00000000,5736
315.00000000,60.00000000,5907
330.00000000,60.00000000,6000
345.00000000,60.00000000,6088
360.00000000,60.00000000,5853
0.00000000,75.00000000,6357
15.00000000,75.00000000,6339
30.00000000,75.00000000,6319
45.00000000,75.00000000,6282
60.00000000,75.00000000,6242
75.00000000,75.00000000,6165
90.00000000,75.00000000,6143
105.00000000,75.00000000,6153
120.00000000,75.00000000,6123
135.00000000,75.00000000,6077
150.00000000,75.00000000,6134
165.00000000,75.00000000,6036
180.00000000,75.00000000,6025
195.00000000,75.00000000,6017
210.00000000,75.00000000,6041
225.00000000,75.00000000,6061
240.00000000,75.00000000,6120
255.00000000,75.00000000,6152
270.00000000,75.00000000,6142
285.00000000,75.00000000,6164
300.00000000,75.00000000,6209
315.00000000,75.00000000,6276
330.00000000,75.00000000,6314
345.00000000,75.00000000,6343
360.00000000,75.00000000,6357
0.00000000,90.00000000,6324
15.00000000,90.00000000,6326
30.00000000,90.00000000,6326
45.00000000,90.00000000,6324
60.00000000,90.00000000,6326
75.00000000,90.00000000,6326
90.00000000,90.00000000,6324
105.00000000,90.00000000,6326
120.00000000,90.00000000,6326
135.00000000,90.00000000,6324
150.00000000,90.00000000,6326
165.00000000,90.00000000,6326
180.00000000,90.00000000,6324
195.00000000,90.00000000,6326
210.00000000,90.00000000,6326
225.00000000,90.00000000,6324
240.00000000,90.00000000,6326
255.00000000,90.00000000,6326
270.00000000,90.00000000,6324
285.00000000,90.00000000,6326
300.00000000,90.00000000,6326
315.00000000,90.00000000,6324
330.00000000,90.00000000,6326
345.00000000,90.00000000,6326
360.00000000,90.00000000,6324
