az_deg,el_deg,a_ft
0.00000000,-90.00000000,1000
15.00000000,-90.00000000,1016
30.00000000,-90.00000000,1008
45.00000000,-90.00000000,1016
60.00000000,-90.00000000,1016
75.00000000,-90.00000000,1017
90.00000000,-90.00000000,1008
105.00000000,-90.00000000,1016
120.00000000,-90.00000000,1016
135.00000000,-90.00000000,1016
150.00000000,-90.00000000,1017
165.00000000,-90.00000000,1017
180.00000000,-90.00000000,859
195.00000000,-90.00000000,1016
210.00000000,-90.00000000,1016
225.00000000,-90.00000000,1016
240.00000000,-90.00000000,1016
255.00000000,-90.00000000,1008
270.00000000,-90.00000000,1017
285.00000000,-90.00000000,1016
300.00000000,-90.00000000,1008
315.00000000,-90.00000000,1008
330.00000000,-90.00000000,1017
345.00000000,-90.00000000,1016
360.00000000,-90.00000000,1000
0.00000000,-75.00000000,983
15.00000000,-75.00000000,755
30.00000000,-75.00000000,691
45.00000000,-75.00000000,699
60.00000000,-75.00000000,640
75.00000000,-75.00000000,737
90.00000000,-75.00000000,773
105.00000000,-75.00000000,751
120.00000000,-75.00000000,686
135.00000000,-75.00000000,684
150.00000000,-75.00000000,640
165.00000000,-75.00000000,710
180.00000000,-75.00000000,860
195.00000000,-75.00000000,710
210.00000000,-75.00000000,640
225.00000000,-75.00000000,684
240.00000000,-75.00000000,686
255.00000000,-75.00000000,751
270.00000000,-75.00000000,772
285.00000000,-75.00000000,737
300.00000000,-75.00000000,640
315.00000000,-75.00000000,699
330.00000000,-75.00000000,691
345.00000000,-75.00000000,755
360.00000000,-75.00000000,983
0.00000000,-60.00000000,810
15.00000000,-60.00000000,606
30.00000000,-60.00000000,629
45.00000000,-60.00000000,575
60.00000000,-60.00000000,616
75.00000000,-60.00000000,588
90.00000000,-60.00000000,568
105.00000000,-60.00000000,574
120.00000000,-60.00000000,573
135.00000000,-60.00000000,568
150.00000000,-60.00000000,606
165.00000000,-60.00000000,660
180.00000000,-60.00000000,765
195.00000000,-60.00000000,660
210.00000000,-60.00000000,606
225.00000000,-60.00000000,568
240.00000000,-60.00000000,573
255.00000000,-60.00000000,574
270.00000000,-60.00000000,571
285.00000000,-60.00000000,588
300.00000000,-60.00000000,616
315.00000000,-60.00000000,575
330.00000000,-60.00000000,629
345.00000000,-60.00000000,606
360.00000000,-60.00000000,810
0.00000000,-45.00000000,625
15.00000000,-45.00000000,435
30.00000000,-45.00000000,475
45.00000000,-45.00000000,478
60.00000000,-45.00000000,488
75.00000000,-45.00000000,511
90.00000000,-45.00000000,490
105.00000000,-45.00000000,489
120.00000000,-45.00000000,553
135.00000000,-45.00000000,593
150.00000000,-45.00000000,542
165.00000000,-45.00000000,556
180.00000000,-45.00000000,627
195.00000000,-45.00000000,556
210.00000000,-45.00000000,542
225.00000000,-45.00000000,593
240.00000000,-45.00000000,553
255.00000000,-45.00000000,489
270.00000000,-45.00000000,490
285.00000000,-45.00000000,512
300.00000000,-45.00000000,488
315.00000000,-45.00000000,478
330.00000000,-45.00000000,475
345.00000000,-45.00000000,435
360.00000000,-45.00000000,625
0.00000000,-30.00000000,353
15.00000000,-30.00000000,279
30.00000000,-30.00000000,316
45.00000000,-30.00000000,328
60.00000000,-30.00000000,397
75.00000000,-30.00000000,481
90.00000000,-30.00000000,471
105.00000000,-30.00000000,463
120.00000000,-30.00000000,447
135.00000000,-30.00000000,454
150.00000000,-30.00000000,482
165.00000000,-30.00000000,475
180.00000000,-30.00000000,441
195.00000000,-30.00000000,475
210.00000000,-30.00000000,482
225.00000000,-30.00000000,462
240.00000000,-30.00000000,447
255.00000000,-30.00000000,463
270.00000000,-30.00000000,471
285.00000000,-30.00000000,478
300.00000000,-30.00000000,398
315.00000000,-30.00000000,328
330.00000000,-30.00000000,316
345.00000000,-30.00000000,280
360.00000000,-30.00000000,353
0.00000000,-15.00000000,172
15.00000000,-15.00000000,189
30.00000000,-15.00000000,250
45.00000000,-15.00000000,276
60.00000000,-15.00000000,302
75.00000000,-15.00000000,346
90.00000000,-15.00000000,343
105.00000000,-15.00000000,343
120.00000000,-15.00000000,343
135.00000000,-15.00000000,371
150.00000000,-15.00000000,377
165.00000000,-15.00000000,317
180.00000000,-15.00000000,298
195.00000000,-15.00000000,317
210.00000000,-15.00000000,377
225.00000000,-15.00000000,371
240.00000000,-15.00000000,343
255.00000000,-15.00000000,343
270.00000000,-15.00000000,343
285.00000000,-15.00000000,346
300.00000000,-15.00000000,302
315.00000000,-15.00000000,276
330.00000000,-15.00000000,250
345.00000000,-15.00000000,189
360.00000000,-15.00000000,172
0.00000000,0.00000000,275
15.00000000,0.00000000,242
30.00000000,0.00000000,311
45.00000000,0.00000000,303
60.00000000,0.00000000,250
75.00000000,0.00000000,264
90.00000000,0.00000000,265
105.00000000,0.00000000,264
120.00000000,0.00000000,250
135.00000000,0.00000000,303
150.00000000,0.00000000,311
165.00000000,0.00000000,242
180.00000000,0.00000000,264
195.00000000,0.00000000,242
210.00000000,0.00000000,311
225.00000000,0.00000000,303
240.00000000,0.00000000,250
255.00000000,0.00000000,264
270.00000000,0.00000000,265
285.00000000,0.00000000,264
300.00000000,0.00000000,250
315.00000000,0.00000000,303
330.00000000,0.00000000,311
