az_deg,el_deg,a_ft
0.00000000,-90.00000000,277
15.00000000,-90.00000000,278
30.00000000,-90.00000000,281
45.00000000,-90.00000000,278
60.00000000,-90.00000000,280
75.00000000,-90.00000000,278
90.00000000,-90.00000000,277
105.00000000,-90.00000000,280
120.00000000,-90.00000000,281
135.00000000,-90.00000000,278
150.00000000,-90.00000000,278
165.00000000,-90.00000000,278
180.00000000,-90.00000000,277
195.00000000,-90.00000000,278
210.00000000,-90.00000000,280
225.00000000,-90.00000000,276
240.00000000,-90.00000000,280
255.00000000,-90.00000000,278
270.00000000,-90.00000000,277
285.00000000,-90.00000000,278
300.00000000,-90.00000000,278
315.00000000,-90.00000000,277
330.00000000,-90.00000000,281
345.00000000,-90.00000000,278
360.00000000,-90.00000000,277
0.00000000,-75.00000000,294
15.00000000,-75.00000000,295
30.00000000,-75.00000000,298
45.00000000,-75.00000000,317
60.00000000,-75.00000000,334
75.00000000,-75.00000000,301
90.00000000,-75.00000000,301
105.00000000,-75.00000000,294
120.00000000,-75.00000000,301
135.00000000,-75.00000000,300
150.00000000,-75.00000000,300
165.00000000,-75.00000000,299
180.00000000,-75.00000000,265
195.00000000,-75.00000000,273
210.00000000,-75.00000000,277
225.00000000,-75.00000000,275
240.00000000,-75.00000000,273
255.00000000,-75.00000000,269
270.00000000,-75.00000000,276
285.00000000,-75.00000000,293
300.00000000,-75.00000000,293
315.00000000,-75.00000000,298
330.00000000,-75.00000000,283
345.00000000,-75.00000000,295
360.00000000,-75.00000000,294
0.00000000,-60.00000000,252
15.00000000,-60.00000000,294
30.00000000,-60.00000000,280
45.00000000,-60.00000000,297
60.00000000,-60.00000000,299
75.00000000,-60.00000000,270
90.00000000,-60.00000000,271
105.00000000,-60.00000000,270
120.00000000,-60.00000000,274
135.00000000,-60.00000000,277
150.00000000,-60.00000000,275
165.00000000,-60.00000000,270
180.00000000,-60.00000000,229
195.00000000,-60.00000000,257
210.00000000,-60.00000000,251
225.00000000,-60.00000000,260
240.00000000,-60.00000000,261
255.00000000,-60.00000000,269
270.00000000,-60.00000000,270
285.00000000,-60.00000000,275
300.00000000,-60.00000000,269
315.00000000,-60.00000000,272
330.00000000,-60.00000000,264
345.00000000,-60.00000000,272
360.00000000,-60.00000000,252
0.00000000,-45.00000000,225
15.00000000,-45.00000000,249
30.00000000,-45.00000000,250
45.00000000,-45.00000000,253
60.00000000,-45.00000000,251
