az_deg,el_deg,a_ft
0.00000000,-90.00000000,3306
15.00000000,-90.00000000,3385
30.00000000,-90.00000000,3385
45.00000000,-90.00000000,3457
60.00000000,-90.00000000,3454
75.00000000,-90.00000000,3316
90.00000000,-90.00000000,3298
105.00000000,-90.00000000,3456
120.00000000,-90.00000000,3454
135.00000000,-90.00000000,3456
150.00000000,-90.00000000,3456
165.00000000,-90.00000000,3454
180.00000000,-90.00000000,3288
195.00000000,-90.00000000,3454
210.00000000,-90.00000000,3454
225.00000000,-90.00000000,3456
240.00000000,-90.00000000,3385
255.00000000,-90.00000000,3385
270.00000000,-90.00000000,3315
285.00000000,-90.00000000,3454
300.00000000,-90.00000000,3454
315.00000000,-90.00000000,3454
330.00000000,-90.00000000,3454
345.00000000,-90.00000000,3385
360.00000000,-90.00000000,3306
0.00000000,-75.00000000,3529
15.00000000,-75.00000000,3461
30.00000000,-75.00000000,3475
45.00000000,-75.00000000,3437
60.00000000,-75.00000000,3393
75.00000000,-75.00000000,3341
90.00000000,-75.00000000,3223
105.00000000,-75.00000000,3229
120.00000000,-75.00000000,3127
135.00000000,-75.00000000,2962
150.00000000,-75.00000000,3148
165.00000000,-75.00000000,3185
180.00000000,-75.00000000,3136
195.00000000,-75.00000000,3204
210.00000000,-75.00000000,3184
225.00000000,-75.00000000,3005
240.00000000,-75.00000000,3135
255.00000000,-75.00000000,3277
270.00000000,-75.00000000,3290
285.00000000,-75.00000000,3342
300.00000000,-75.00000000,3399
315.00000000,-75.00000000,3515
330.00000000,-75.00000000,3481
345.00000000,-75.00000000,3538
360.00000000,-75.00000000,3529
0.00000000,-60.00000000,2908
15.00000000,-60.00000000,2974
30.00000000,-60.00000000,3001
45.00000000,-60.00000000,3036
60.00000000,-60.00000000,3104
75.00000000,-60.00000000,3159
90.00000000,-60.00000000,3130
105.00000000,-60.00000000,2951
120.00000000,-60.00000000,2999
135.00000000,-60.00000000,2979
150.00000000,-60.00000000,2946
165.00000000,-60.00000000,2672
180.00000000,-60.00000000,2584
195.00000000,-60.00000000,2671
210.00000000,-60.00000000,2867
225.00000000,-60.00000000,2927
240.00000000,-60.00000000,2969
255.00000000,-60.00000000,2938
270.00000000,-60.00000000,3136
285.00000000,-60.00000000,3168
300.00000000,-60.00000000,3112
315.00000000,-60.00000000,3047
330.00000000,-60.00000000,3019
345.00000000,-60.00000000,2979
360.00000000,-60.00000000,2908
0.00000000,-45.00000000,2078
15.00000000,-45.00000000,2084
30.00000000,-45.00000000,2223
45.00000000,-45.00000000,2479
60.00000000,-45.00000000,2679
75.00000000,-45.00000000,2831
90.00000000,-45.00000000,2978
105.00000000,-45.00000000,2698
120.00000000,-45.00000000,2580
135.00000000,-45.00000000,2605
150.00000000,-45.00000000,2526
165.00000000,-45.00000000,2321
180.00000000,-45.00000000,2359
195.00000000,-45.00000000,2352
210.00000000,-45.00000000,2496
225.00000000,-45.00000000,2617
240.00000000,-45.00000000,2571
255.00000000,-45.00000000,2717
270.00000000,-45.00000000,3010
285.00000000,-45.00000000,2794
300.00000000,-45.00000000,2686
315.00000000,-45.00000000,2458
330.00000000,-45.00000000,2220
345.00000000,-45.00000000,2094
360.00000000,-45.00000000,2078
0.00000000,-30.00000000,1562
15.00000000,-30.00000000,1583
30.00000000,-30.00000000,1777
45.00000000,-30.00000000,2019
60.00000000,-30.00000000,2419
75.00000000,-30.00000000,2388
90.00000000,-30.00000000,2529
105.00000000,-30.00000000,2461
120.00000000,-30.00000000,2177
135.00000000,-30.00000000,2337
150.00000000,-30.00000000,2183
165.00000000,-30.00000000,2047
180.00000000,-30.00000000,1818
195.00000000,-30.00000000,2067
210.00000000,-30.00000000,2192
225.00000000,-30.00000000,2294
240.00000000,-30.00000000,2214
255.00000000,-30.00000000,2466
270.00000000,-30.00000000,2565
285.00000000,-30.00000000,2388
300.00000000,-30.00000000,2444
315.00000000,-30.00000000,2041
330.00000000,-30.00000000,1784
345.00000000,-30.00000000,1587
360.00000000,-30.00000000,1562
0.00000000,-15.00000000,846
15.00000000,-15.00000000,953
30.00000000,-15.00000000,1300
45.00000000,-15.00000000,1552
60.00000000,-15.00000000,1732
75.00000000,-15.00000000,1876
90.00000000,-15.00000000,2092
105.00000000,-15.00000000,1949
120.00000000,-15.00000000,1778
135.00000000,-15.00000000,1753
