az_deg,el_deg,a_ft
0.00000000,-90.00000000,537
15.00000000,-90.00000000,537
30.00000000,-90.00000000,537
45.00000000,-90.00000000,537
60.00000000,-90.00000000,537
75.00000000,-90.00000000,537
90.00000000,-90.00000000,537
105.00000000,-90.00000000,537
120.00000000,-90.00000000,537
135.00000000,-90.00000000,537
150.00000000,-90.00000000,537
165.00000000,-90.00000000,537
180.00000000,-90.00000000,537
195.00000000,-90.00000000,537
210.00000000,-90.00000000,537
225.00000000,-90.00000000,537
240.00000000,-90.00000000,537
255.00000000,-90.00000000,537
270.00000000,-90.00000000,537
285.00000000,-90.00000000,537
300.00000000,-90.00000000,537
315.00000000,-90.00000000,537
330.00000000,-90.00000000,537
345.00000000,-90.00000000,537
360.00000000,-90.00000000,537
0.00000000,-75.00000000,484
15.00000000,-75.00000000,468
30.00000000,-75.00000000,471
45.00000000,-75.00000000,490
60.00000000,-75.00000000,502
75.00000000,-75.00000000,517
90.00000000,-75.00000000,528
105.00000000,-75.00000000,526
120.00000000,-75.00000000,533
135.00000000,-75.00000000,540
150.00000000,-75.00000000,546
165.00000000,-75.00000000,541
180.00000000,-75.00000000,542
195.00000000,-75.00000000,531
210.00000000,-75.00000000,540
225.00000000,-75.00000000,538
240.00000000,-75.00000000,533
255.00000000,-75.00000000,526
270.00000000,-75.00000000,516
285.00000000,-75.00000000,509
300.00000000,-75.00000000,501
315.00000000,-75.00000000,494
330.00000000,-75.00000000,472
345.00000000,-75.00000000,472
360.00000000,-75.00000000,484
0.00000000,-60.00000000,374
15.00000000,-60.00000000,391
30.00000000,-60.00000000,423
45.00000000,-60.00000000,432
60.00000000,-60.00000000,455
75.00000000,-60.00000000,515
90.00000000,-60.00000000,526
105.00000000,-60.00000000,549
120.00000000,-60.00000000,569
135.00000000,-60.00000000,560
150.00000000,-60.00000000,558
165.00000000,-60.00000000,542
180.00000000,-60.00000000,555
195.00000000,-60.00000000,536
210.00000000,-60.00000000,566
225.00000000,-60.00000000,555
240.00000000,-60.00000000,572
255.00000000,-60.00000000,560
270.00000000,-60.00000000,543
285.00000000,-60.00000000,522
300.00000000,-60.00000000,475
315.00000000,-60.00000000,438
330.00000000,-60.00000000,414
345.00000000,-60.00000000,380
360.00000000,-60.00000000,374
0.00000000,-45.00000000,327
15.00000000,-45.00000000,347
30.00000000,-45.00000000,369
45.00000000,-45.00000000,390
60.00000000,-45.00000000,429
75.00000000,-45.00000000,448
90.00000000,-45.00000000,530
105.00000000,-45.00000000,551
120.00000000,-45.00000000,564
135.00000000,-45.00000000,574
150.00000000,-45.00000000,534
165.00000000,-45.00000000,477
180.00000000,-45.00000000,462
195.00000000,-45.00000000,482
210.00000000,-45.00000000,550
225.00000000,-45.00000000,603
240.00000000,-45.00000000,555
255.00000000,-45.00000000,542
270.00000000,-45.00000000,505
285.00000000,-45.00000000,455
300.00000000,-45.00000000,437
315.00000000,-45.00000000,408
330.00000000,-45.00000000,355
345.00000000,-45.00000000,344
360.00000000,-45.00000000,327
0.00000000,-30.00000000,264
15.00000000,-30.00000000,288
30.00000000,-30.00000000,313
45.00000000,-30.00000000,387
60.00000000,-30.00000000,403
75.00000000,-30.00000000,414
90.00000000,-30.00000000,481
105.00000000,-30.00000000,578
120.00000000,-30.00000000,581
135.00000000,-30.00000000,536
150.00000000,-30.00000000,460
165.00000000,-30.00000000,397
180.00000000,-30.00000000,351
195.00000000,-30.00000000,408
210.00000000,-30.00000000,489
225.00000000,-30.00000000,555
240.00000000,-30.00000000,574
255.00000000,-30.00000000,569
270.00000000,-30.00000000,484
285.00000000,-30.00000000,442
300.00000000,-30.00000000,450
315.00000000,-30.00000000,412
330.00000000,-30.00000000,312
345.00000000,-30.00000000,283
360.00000000,-30.00000000,264
0.00000000,-15.00000000,178
15.00000000,-15.00000000,247
30.00000000,-15.00000000,341
45.00000000,-15.00000000,448
60.00000000,-15.00000000,525
75.00000000,-15.00000000,591
90.00000000,-15.00000000,597
105.00000000,-15.00000000,569
120.00000000,-15.00000000,515
135.00000000,-15.00000000,439
150.00000000,-15.00000000,342
165.00000000,-15.00000000,256
180.00000000,-15.00000000,222
195.00000000,-15.00000000,288
210.00000000,-15.00000000,385
225.00000000,-15.00000000,450
240.00000000,-15.00000000,507
255.00000000,-15.00000000,558
270.00000000,-15.00000000,594
285.00000000,-15.00000000,586
300.00000000,-15.00000000,548
315.00000000,-15.00000000,428
330.00000000,-15.00000000,306
345.00000000,-15.00000000,212
360.00000000,-15.00000000,178
0.00000000,0.00000000,142
15.00000000,0.00000000,184
30.00000000,0.00000000,286
45.00000000,0.00000000,385
60.00000000,0.00000000,459
75.00000000,0.00000000,512
90.00000000,0.00000000,483
105.00000000,0.00000000,517
120.00000000,0.00000000,471
135.00000000,0.00000000,382
150.00000000,0.00000000,276
165.00000000,0.00000000,174
180.00000000,0.00000000,142
195.00000000,0.00000000,184
210.00000000,0.00000000,286
225.00000000,0.00000000,385
240.00000000,0.00000000,459
255.00000000,0.00000000,512
270.00000000,0.00000000,483
285.00000000,0.00000000,517
300.00000000,0.00000000,471
315.00000000,0.00000000,382
330.00000000,0.00000000,276
345.00000000,0.00000000,174
360.00000000,0.00000000,142
0.00000000,15.00000000,222
15.00000000,15.00000000,288
30.00000000,15.00000000,385
45.00000000,15.00000000,450
60.00000000,15.00000000,507
75.00000000,15.00000000,558
90.00000000,15.00000000,594
105.00000000,15.00000000,586
120.00000000,15.00000000,548
135.00000000,15.00000000,428
150.00000000,15.00000000,306
165.00000000,15.00000000,212
180.00000000,15.00000000,178
195.00000000,15.00000000,247
210.00000000,15.00000000,341
225.00000000,15.00000000,448
240.00000000,15.00000000,525
255.00000000,15.00000000,591
270.00000000,15.00000000,597
285.00000000,15.00000000,569
300.00000000,15.00000000,515
315.00000000,15.00000000,439
330.00000000,15.00000000,342
345.00000000,15.00000000,256
360.00000000,15.00000000,222
0.00000000,30.00000000,351
15.00000000,30.00000000,408
30.00000000,30.00000000,489
45.00000000,30.00000000,555
60.00000000,30.00000000,574
75.00000000,30.00000000,569
90.00000000,30.00000000,484
105.00000000,30.00000000,442
120.00000000,30.00000000,450
135.00000000,30.00000000,412
150.00000000,30.00000000,312
165.00000000,30.00000000,283
180.00000000,30.00000000,264
195.00000000,30.00000000,288
210.00000000,30.00000000,313
225.00000000,30.00000000,387
240.00000000,30.00000000,403
255.00000000,30.00000000,414
270.00000000,30.00000000,481
285.00000000,30.00000000,578
300.00000000,30.00000000,581
315.00000000,30.00000000,536
330.00000000,30.00000000,460
345.00000000,30.00000000,397
360.00000000,30.00000000,351
0.00000000,45.00000000,462
15.00000000,45.00000000,482
30.00000000,45.00000000,550
45.00000000,45.00000000,603
60.00000000,45.00000000,555
75.00000000,45.00000000,542
90.00000000,45.00000000,505
105.00000000,45.00000000,455
120.00000000,45.00000000,437
135.00000000,45.00000000,408
150.00000000,45.00000000,355
165.00000000,45.00000000,344
180.00000000,45.00000000,327
195.00000000,45.00000000,345
210.00000000,45.00000000,369
225.00000000,45.00000000,390
240.00000000,45.00000000,429
255.00000000,45.00000000,448
270.00000000,45.00000000,530
285.00000000,45.00000000,551
300.00000000,45.00000000,564
315.00000000,45.00000000,574
330.00000000,45.00000000,534
345.00000000,45.00000000,477
360.00000000,45.00000000,462
0.00000000,60.00000000,555
15.00000000,60.00000000,536
30.00000000,60.00000000,566
45.00000000,60.00000000,555
60.00000000,60.00000000,572
75.00000000,60.00000000,560
90.00000000,60.00000000,543
105.00000000,60.00000000,522
120.00000000,60.00000000,475
135.00000000,60.00000000,438
150.00000000,60.00000000,414
165.00000000,60.00000000,380
180.00000000,60.00000000,374
195.00000000,60.00000000,391
210.00000000,60.00000000,423
225.00000000,60.00000000,432
240.00000000,60.00000000,455
255.00000000,60.00000000,515
270.00000000,60.00000000,526
285.00000000,60.00000000,549
300.00000000,60.00000000,569
315.00000000,60.00000000,560
330.00000000,60.00000000,558
345.00000000,60.00000000,542
360.00000000,60.00000000,555
0.00000000,75.00000000,543
15.00000000,75.00000000,531
30.00000000,75.00000000,540
45.00000000,75.00000000,538
60.00000000,75.00000000,533
75.00000000,75.00000000,526
90.00000000,75.00000000,516
105.00000000,75.00000000,509
120.00000000,75.00000000,501
135.00000000,75.00000000,494
150.00000000,75.00000000,472
165.00000000,75.00000000,472
180.00000000,75.00000000,484
195.00000000,75.00000000,468
210.00000000,75.00000000,471
225.00000000,75.00000000,490
240.00000000,75.00000000,502
255.00000000,75.00000000,517
270.00000000,75.00000000,527
285.00000000,75.00000000,526
300.00000000,75.00000000,533
315.00000000,75.00000000,540
330.00000000,75.00000000,546
345.00000000,75.00000000,541
360.00000000,75.00000000,543
0.00000000,90.00000000,535
15.00000000,90.00000000,537
30.00000000,90.00000000,537
45.00000000,90.00000000,537
60.00000000,90.00000000,537
75.00000000,90.00000000,537
90.00000000,90.00000000,537
105.00000000,90.00000000,537
120.00000000,90.00000000,537
135.00000000,90.00000000,537
150.00000000,90.00000000,537
165.00000000,90.00000000,537
180.00000000,90.00000000,537
195.00000000,90.00000000,537
210.00000000,90.00000000,537
225.00000000,90.00000000,537
240.00000000,90.00000000,537
255.00000000,90.00000000,537
270.00000000,90.00000000,537
285.00000000,90.00000000,537
300.00000000,90.00000000,537
315.00000000,90.00000000,537
330.00000000,90.00000000,537
345.00000000,90.00000000,537
360.00000000,90.00000000,535
