az_deg,el_deg,a_ft
0.00000000,-90.00000000,494
15.00000000,-90.00000000,482
30.00000000,-90.00000000,482
45.00000000,-90.00000000,482
60.00000000,-90.00000000,494
75.00000000,-90.00000000,482
90.00000000,-90.00000000,482
105.00000000,-90.00000000,482
120.00000000,-90.00000000,482
135.00000000,-90.00000000,494
150.00000000,-90.00000000,482
165.00000000,-90.00000000,482
180.00000000,-90.00000000,494
195.00000000,-90.00000000,482
210.00000000,-90.00000000,482
225.00000000,-90.00000000,482
240.00000000,-90.00000000,494
255.00000000,-90.00000000,482
270.00000000,-90.00000000,494
285.00000000,-90.00000000,482
300.00000000,-90.00000000,482
315.00000000,-90.00000000,482
330.00000000,-90.00000000,482
345.00000000,-90.00000000,482
360.00000000,-90.00000000,494
0.00000000,-75.00000000,449
15.00000000,-75.00000000,473
30.00000000,-75.00000000,473
45.00000000,-75.00000000,487
60.00000000,-75.00000000,477
75.00000000,-75.00000000,478
90.00000000,-75.00000000,483
105.00000000,-75.00000000,486
120.00000000,-75.00000000,475
135.00000000,-75.00000000,470
150.00000000,-75.00000000,474
165.00000000,-75.00000000,457
180.00000000,-75.00000000,462
195.00000000,-75.00000000,458
210.00000000,-75.00000000,474
225.00000000,-75.00000000,464
240.00000000,-75.00000000,473
255.00000000,-75.00000000,487
270.00000000,-75.00000000,483
285.00000000,-75.00000000,478
300.00000000,-75.00000000,476
315.00000000,-75.00000000,474
330.00000000,-75.00000000,472
345.00000000,-75.00000000,474
360.00000000,-75.00000000,449
0.00000000,-60.00000000,436
15.00000000,-60.00000000,429
30.00000000,-60.00000000,456
45.00000000,-60.00000000,446
60.00000000,-60.00000000,445
75.00000000,-60.00000000,460
90.00000000,-60.00000000,445
105.00000000,-60.00000000,471
120.00000000,-60.00000000,435
135.00000000,-60.00000000,491
150.00000000,-60.00000000,436
165.00000000,-60.00000000,420
180.00000000,-60.00000000,423
195.00000000,-60.00000000,421
210.00000000,-60.00000000,454
225.00000000,-60.00000000,489
240.00000000,-60.00000000,431
255.00000000,-60.00000000,470
270.00000000,-60.00000000,445
285.00000000,-60.00000000,462
300.00000000,-60.00000000,445
315.00000000,-60.00000000,463
330.00000000,-60.00000000,448
345.00000000,-60.00000000,427
360.00000000,-60.00000000,436
0.00000000,-45.00000000,364
15.00000000,-45.00000000,377
30.00000000,-45.00000000,392
45.00000000,-45.00000000,402
60.00000000,-45.00000000,411
75.00000000,-45.00000000,441
90.00000000,-45.00000000,408
105.00000000,-45.00000000,430
120.00000000,-45.00000000,435
135.00000000,-45.00000000,438
150.00000000,-45.00000000,443
165.00000000,-45.00000000,405
180.00000000,-45.00000000,541
195.00000000,-45.00000000,423
210.00000000,-45.00000000,443
225.00000000,-45.00000000,438
240.00000000,-45.00000000,432
255.00000000,-45.00000000,419
270.00000000,-45.00000000,408
285.00000000,-45.00000000,440
300.00000000,-45.00000000,412
315.00000000,-45.00000000,408
330.00000000,-45.00000000,389
345.00000000,-45.00000000,379
360.00000000,-45.00000000,364
0.00000000,-30.00000000,280
15.00000000,-30.00000000,270
30.00000000,-30.00000000,321
45.00000000,-30.00000000,362
60.00000000,-30.00000000,335
75.00000000,-30.00000000,367
90.00000000,-30.00000000,376
105.00000000,-30.00000000,361
120.00000000,-30.00000000,367
135.00000000,-30.00000000,371
150.00000000,-30.00000000,331
165.00000000,-30.00000000,378
180.00000000,-30.00000000,418
195.00000000,-30.00000000,364
210.00000000,-30.00000000,331
225.00000000,-30.00000000,370
240.00000000,-30.00000000,363
