az_deg,el_deg,a_ft
0.00000000,-90.00000000,412
15.00000000,-90.00000000,488
30.00000000,-90.00000000,488
45.00000000,-90.00000000,488
60.00000000,-90.00000000,488
75.00000000,-90.00000000,488
90.00000000,-90.00000000,412
105.00000000,-90.00000000,488
120.00000000,-90.00000000,488
135.00000000,-90.00000000,488
150.00000000,-90.00000000,488
165.00000000,-90.00000000,488
180.00000000,-90.00000000,412
195.00000000,-90.00000000,488
210.00000000,-90.00000000,488
225.00000000,-90.00000000,488
240.00000000,-90.00000000,488
255.00000000,-90.00000000,488
270.00000000,-90.00000000,412
285.00000000,-90.00000000,488
300.00000000,-90.00000000,488
315.00000000,-90.00000000,488
330.00000000,-90.00000000,488
345.00000000,-90.00000000,488
360.00000000,-90.00000000,412
0.00000000,-75.00000000,423
15.00000000,-75.00000000,423
30.00000000,-75.00000000,388
45.00000000,-75.00000000,427
60.00000000,-75.00000000,393
75.00000000,-75.00000000,433
90.00000000,-75.00000000,436
105.00000000,-75.00000000,475
120.00000000,-75.00000000,402
135.00000000,-75.00000000,481
150.00000000,-75.00000000,405
165.00000000,-75.00000000,407
180.00000000,-75.00000000,485
195.00000000,-75.00000000,406
210.00000000,-75.00000000,406
225.00000000,-75.00000000,405
240.00000000,-75.00000000,403
255.00000000,-75.00000000,399
270.00000000,-75.00000000,396
285.00000000,-75.00000000,395
300.00000000,-75.00000000,390
315.00000000,-75.00000000,390
330.00000000,-75.00000000,389
345.00000000,-75.00000000,386
360.00000000,-75.00000000,423
0.00000000,-60.00000000,406
15.00000000,-60.00000000,346
30.00000000,-60.00000000,379
45.00000000,-60.00000000,380
60.00000000,-60.00000000,382
75.00000000,-60.00000000,387
90.00000000,-60.00000000,393
105.00000000,-60.00000000,394
120.00000000,-60.00000000,398
135.00000000,-60.00000000,404
150.00000000,-60.00000000,408
165.00000000,-60.00000000,375
180.00000000,-60.00000000,413
195.00000000,-60.00000000,375
210.00000000,-60.00000000,408
225.00000000,-60.00000000,369
240.00000000,-60.00000000,364
255.00000000,-60.00000000,360
270.00000000,-60.00000000,339
285.00000000,-60.00000000,350
300.00000000,-60.00000000,345
315.00000000,-60.00000000,344
330.00000000,-60.00000000,347
345.00000000,-60.00000000,377
360.00000000,-60.00000000,406
0.00000000,-45.00000000,279
15.00000000,-45.00000000,280
