az_deg,el_deg,a_ft
0.00000000,-90.00000000,3674
15.00000000,-90.00000000,4259
30.00000000,-90.00000000,4258
45.00000000,-90.00000000,4001
60.00000000,-90.00000000,4259
75.00000000,-90.00000000,4222
90.00000000,-90.00000000,3674
105.00000000,-90.00000000,4259
120.00000000,-90.00000000,4258
135.00000000,-90.00000000,4001
150.00000000,-90.00000000,4259
165.00000000,-90.00000000,4222
180.00000000,-90.00000000,3674
195.00000000,-90.00000000,4259
210.00000000,-90.00000000,4258
225.00000000,-90.00000000,4001
240.00000000,-90.00000000,4259
255.00000000,-90.00000000,4222
270.00000000,-90.00000000,3674
285.00000000,-90.00000000,4259
300.00000000,-90.00000000,4258
315.00000000,-90.00000000,4001
330.00000000,-90.00000000,4259
345.00000000,-90.00000000,4222
360.00000000,-90.00000000,3674
0.00000000,-75.00000000,3437
15.00000000,-75.00000000,3705
30.00000000,-75.00000000,3709
45.00000000,-75.00000000,3716
60.00000000,-75.00000000,3791
75.00000000,-75.00000000,3775
90.00000000,-75.00000000,3465
105.00000000,-75.00000000,3851
120.00000000,-75.00000000,3835
135.00000000,-75.00000000,3671
150.00000000,-75.00000000,3666
165.00000000,-75.00000000,3658
180.00000000,-75.00000000,3550
195.00000000,-75.00000000,3552
210.00000000,-75.00000000,3662
225.00000000,-75.00000000,3772
240.00000000,-75.00000000,3799
255.00000000,-75.00000000,3800
270.00000000,-75.00000000,3470
285.00000000,-75.00000000,3778
300.00000000,-75.00000000,3776
315.00000000,-75.00000000,3722
330.00000000,-75.00000000,3719
345.00000000,-75.00000000,3664
360.00000000,-75.00000000,3437
0.00000000,-60.00000000,3283
15.00000000,-60.00000000,3370
30.00000000,-60.00000000,3457
45.00000000,-60.00000000,3473
60.00000000,-60.00000000,3420
75.00000000,-60.00000000,3130
90.00000000,-60.00000000,3069
105.00000000,-60.00000000,3107
120.00000000,-60.00000000,3102
135.00000000,-60.00000000,3316
150.00000000,-60.00000000,3322
165.00000000,-60.00000000,3343
180.00000000,-60.00000000,3466
195.00000000,-60.00000000,3444
210.00000000,-60.00000000,3329
225.00000000,-60.00000000,3320
240.00000000,-60.00000000,3134
255.00000000,-60.00000000,3177
270.00000000,-60.00000000,3093
285.00000000,-60.00000000,3229
300.00000000,-60.00000000,3372
315.00000000,-60.00000000,3412
330.00000000,-60.00000000,3424
345.00000000,-60.00000000,3358
360.00000000,-60.00000000,3283
0.00000000,-45.00000000,3254
15.00000000,-45.00000000,3255
30.00000000,-45.00000000,3167
45.00000000,-45.00000000,3077
60.00000000,-45.00000000,2918
75.00000000,-45.00000000,2577
90.00000000,-45.00000000,2514
105.00000000,-45.00000000,2618
120.00000000,-45.00000000,2798
135.00000000,-45.00000000,2863
150.00000000,-45.00000000,2976
165.00000000,-45.00000000,2886
180.00000000,-45.00000000,2963
195.00000000,-45.00000000,2885
210.00000000,-45.00000000,2965
225.00000000,-45.00000000,2926
240.00000000,-45.00000000,2823
255.00000000,-45.00000000,2634
270.00000000,-45.00000000,2531
285.00000000,-45.00000000,2605
300.00000000,-45.00000000,2891
315.00000000,-45.00000000,3112
330.00000000,-45.00000000,3167
345.00000000,-45.00000000,3288
360.00000000,-45.00000000,3254
0.00000000,-30.00000000,2353
15.00000000,-30.00000000,2472
30.00000000,-30.00000000,2614
45.00000000,-30.00000000,2571
60.00000000,-30.00000000,2524
75.00000000,-30.00000000,2000
90.00000000,-30.00000000,1978
105.00000000,-30.00000000,1945
120.00000000,-30.00000000,2146
135.00000000,-30.00000000,2320
150.00000000,-30.00000000,2442
165.00000000,-30.00000000,2315
180.00000000,-30.00000000,2278
195.00000000,-30.00000000,2314
210.00000000,-30.00000000,2458
225.00000000,-30.00000000,2293
240.00000000,-30.00000000,2143
255.00000000,-30.00000000,1961
270.00000000,-30.00000000,2003
285.00000000,-30.00000000,2015
300.00000000,-30.00000000,2535
315.00000000,-30.00000000,2570
330.00000000,-30.00000000,2596
345.00000000,-30.00000000,2468
360.00000000,-30.00000000,2353
0.00000000,-15.00000000,1278
15.00000000,-15.00000000,1276
30.00000000,-15.00000000,1472
45.00000000,-15.00000000,1558
60.00000000,-15.00000000,1670
75.00000000,-15.00000000,1632
90.00000000,-15.00000000,1564
105.00000000,-15.00000000,1477
120.00000000,-15.00000000,1539
135.00000000,-15.00000000,1549
150.00000000,-15.00000000,1639
165.00000000,-15.00000000,1966
180.00000000,-15.00000000,2088
195.00000000,-15.00000000,1961
210.00000000,-15.00000000,1631
225.00000000,-15.00000000,1365
240.00000000,-15.00000000,1517
255.00000000,-15.00000000,1482
270.00000000,-15.00000000,1566
285.00000000,-15.00000000,1638
300.00000000,-15.00000000,1685
315.00000000,-15.00000000,1560
330.00000000,-15.00000000,1463
345.00000000,-15.00000000,1244
360.00000000,-15.00000000,1278
0.00000000,0.00000000,986
15.00000000,0.00000000,981
30.00000000,0.00000000,968
45.00000000,0.00000000,1000
60.00000000,0.00000000,1120
75.00000000,0.00000000,1244
90.00000000,0.00000000,1262
105.00000000,0.00000000,1251
120.00000000,0.00000000,1107
135.00000000,0.00000000,997
150.00000000,0.00000000,1009
165.00000000,0.00000000,974
180.00000000,0.00000000,986
195.00000000,0.00000000,981
210.00000000,0.00000000,968
225.00000000,0.00000000,1000
240.00000000,0.00000000,1120
255.00000000,0.00000000,1244
270.00000000,0.00000000,1262
285.00000000,0.00000000,1251
300.00000000,0.00000000,1107
315.00000000,0.00000000,997
330.00000000,0.00000000,1009
345.00000000,0.00000000,974
360.00000000,0.00000000,986
0.00000000,15.00000000,2088
15.00000000,15.00000000,1961
30.00000000,15.00000000,1631
45.00000000,15.00000000,1365
60.00000000,15.00000000,1517
75.00000000,15.00000000,1482
90.00000000,15.00000000,1566
105.00000000,15.00000000,1638
120.00000000,15.00000000,1685
135.00000000,15.00000000,1560
150.00000000,15.00000000,1463
165.00000000,15.00000000,1244
180.00000000,15.00000000,1278
195.00000000,15.00000000,1276
210.00000000,15.00000000,1472
225.00000000,15.00000000,1558
240.00000000,15.00000000,1670
255.00000000,15.00000000,1632
270.00000000,15.00000000,1564
285.00000000,15.00000000,1477
300.00000000,15.00000000,1539
315.00000000,15.00000000,1549
330.00000000,15.00000000,1639
345.00000000,15.00000000,1966
360.00000000,15.00000000,2088
0.00000000,30.00000000,2278
15.00000000,30.00000000,2314
30.00000000,30.00000000,2458
45.00000000,30.00000000,2293
60.00000000,30.00000000,2143
75.00000000,30.00000000,1961
90.00000000,30.00000000,2003
105.00000000,30.00000000,2015
120.00000000,30.00000000,2535
135.00000000,30.00000000,2570
150.00000000,30.00000000,2596
165.00000000,30.00000000,2468
180.00000000,30.00000000,2353
195.00000000,30.00000000,2472
210.00000000,30.00000000,2614
225.00000000,30.00000000,2571
240.00000000,30.00000000,2524
255.00000000,30.00000000,2000
270.00000000,30.00000000,1978
285.00000000,30.00000000,1945
300.00000000,30.00000000,2146
315.00000000,30.00000000,2320
330.00000000,30.00000000,2442
345.00000000,30.00000000,2315
360.00000000,30.00000000,2278
0.00000000,45.00000000,2963
15.00000000,45.00000000,2885
30.00000000,45.00000000,2965
45.00000000,45.00000000,2926
60.00000000,45.00000000,2823
75.00000000,45.00000000,2634
90.00000000,45.00000000,2531
105.00000000,45.00000000,2605
120.00000000,45.00000000,2891
135.00000000,45.00000000,3112
150.00000000,45.00000000,3167
165.00000000,45.00000000,3288
180.00000000,45.00000000,3254
195.00000000,45.00000000,3255
210.00000000,45.00000000,3167
225.00000000,45.00000000,3077
240.00000000,45.00000000,2918
255.00000000,45.00000000,2577
270.00000000,45.00000000,2514
285.00000000,45.00000000,2618
300.00000000,45.00000000,2798
315.00000000,45.00000000,2863
330.00000000,45.00000000,2976
345.00000000,45.00000000,2886
360.00000000,45.00000000,2963
0.00000000,60.00000000,3465
15.00000000,60.00000000,3444
30.00000000,60.00000000,3329
45.00000000,60.00000000,3320
60.00000000,60.00000000,3134
75.00000000,60.00000000,3177
90.00000000,60.00000000,3093
105.00000000,60.00000000,3229
120.00000000,60.00000000,3372
135.00000000,60.00000000,3412
150.00000000,60.00000000,3424
165.00000000,60.00000000,3358
180.00000000,60.00000000,3283
195.00000000,60.00000000,3370
210.00000000,60.00000000,3457
225.00000000,60.00000000,3473
240.00000000,60.00000000,3420
255.00000000,60.00000000,3130
270.00000000,60.00000000,3069
285.00000000,60.00000000,3107
300.00000000,60.00000000,3102
315.00000000,60.00000000,3316
330.00000000,60.00000000,3322
345.00000000,60.00000000,3343
360.00000000,60.00000000,3465
0.00000000,75.00000000,3550
15.00000000,75.00000000,3552
30.00000000,75.00000000,3662
45.00000000,75.00000000,3772
60.00000000,75.00000000,3799
75.00000000,75.00000000,3800
90.00000000,75.00000000,3470
105.00000000,75.00000000,3778
120.00000000,75.00000000,3776
135.00000000,75.00000000,3722
150.00000000,75.00000000,3719
165.00000000,75.00000000,3664
180.00000000,75.00000000,3434
195.00000000,75.00000000,3705
210.00000000,75.00000000,3709
225.00000000,75.00000000,3716
240.00000000,75.00000000,3791
255.00000000,75.00000000,3775
270.00000000,75.00000000,3465
285.00000000,75.00000000,3851
300.00000000,75.00000000,3835
315.00000000,75.00000000,3671
330.00000000,75.00000000,3666
345.00000000,75.00000000,3658
360.00000000,75.00000000,3550
0.00000000,90.00000000,3674
15.00000000,90.00000000,4259
30.00000000,90.00000000,4258
45.00000000,90.00000000,4001
60.00000000,90.00000000,4259
75.00000000,90.00000000,4222
90.00000000,90.00000000,3674
105.00000000,90.00000000,4259
120.00000000,90.00000000,4258
135.00000000,90.00000000,4001
150.00000000,90.00000000,4259
165.00000000,90.00000000,4222
180.00000000,90.00000000,3674
195.00000000,90.00000000,4259
210.00000000,90.00000000,4258
225.00000000,90.00000000,4001
240.00000000,90.00000000,4259
255.00000000,90.00000000,4222
270.00000000,90.00000000,3674
285.00000000,90.00000000,4259
300.00000000,90.00000000,4258
315.00000000,90.00000000,4001
330.00000000,90.00000000,4259
345.00000000,90.00000000,4222
360.00000000,90.00000000,3674
