az_deg,el_deg,a_ft
0.00000000,-90.00000000,479
15.00000000,-90.00000000,479
30.00000000,-90.00000000,479
45.00000000,-90.00000000,479
60.00000000,-90.00000000,479
75.00000000,-90.00000000,479
90.00000000,-90.00000000,479
105.00000000,-90.00000000,479
120.00000000,-90.00000000,479
135.00000000,-90.00000000,479
150.00000000,-90.00000000,479
165.00000000,-90.00000000,479
180.00000000,-90.00000000,479
195.00000000,-90.00000000,479
210.00000000,-90.00000000,479
225.00000000,-90.00000000,479
240.00000000,-90.00000000,479
255.00000000,-90.00000000,479
270.00000000,-90.00000000,479
285.00000000,-90.00000000,479
300.00000000,-90.00000000,479
315.00000000,-90.00000000,479
330.00000000,-90.00000000,479
345.00000000,-90.00000000,479
360.00000000,-90.00000000,479
0.00000000,-75.00000000,442
15.00000000,-75.00000000,465
30.00000000,-75.00000000,474
45.00000000,-75.00000000,513
60.00000000,-75.00000000,527
75.00000000,-75.00000000,488
90.00000000,-75.00000000,479
105.00000000,-75.00000000,484
120.00000000,-75.00000000,533
135.00000000,-75.00000000,535
150.00000000,-75.00000000,457
165.00000000,-75.00000000,455
180.00000000,-75.00000000,440
195.00000000,-75.00000000,469
210.00000000,-75.00000000,473
225.00000000,-75.00000000,487
240.00000000,-75.00000000,495
255.00000000,-75.00000000,480
270.00000000,-75.00000000,480
285.00000000,-75.00000000,484
300.00000000,-75.00000000,480
315.00000000,-75.00000000,482
330.00000000,-75.00000000,474
345.00000000,-75.00000000,467
360.00000000,-75.00000000,442
0.00000000,-60.00000000,383
15.00000000,-60.00000000,430
30.00000000,-60.00000000,502
45.00000000,-60.00000000,445
60.00000000,-60.00000000,443
75.00000000,-60.00000000,419
90.00000000,-60.00000000,426
105.00000000,-60.00000000,425
120.00000000,-60.00000000,423
135.00000000,-60.00000000,433
150.00000000,-60.00000000,441
165.00000000,-60.00000000,427
180.00000000,-60.00000000,406
195.00000000,-60.00000000,431
210.00000000,-60.00000000,452
225.00000000,-60.00000000,446
240.00000000,-60.00000000,443
255.00000000,-60.00000000,438
270.00000000,-60.00000000,434
285.00000000,-60.00000000,436
300.00000000,-60.00000000,450
315.00000000,-60.00000000,475
330.00000000,-60.00000000,466
345.00000000,-60.00000000,430
360.00000000,-60.00000000,383
0.00000000,-45.00000000,409
15.00000000,-45.00000000,427
30.00000000,-45.00000000,428
45.00000000,-45.00000000,410
60.00000000,-45.00000000,387
75.00000000,-45.00000000,403
90.00000000,-45.00000000,370
105.00000000,-45.00000000,374
120.00000000,-45.00000000,361
135.00000000,-45.00000000,369
150.00000000,-45.00000000,375
165.00000000,-45.00000000,370
180.00000000,-45.00000000,352
195.00000000,-45.00000000,378
210.00000000,-45.00000000,387
225.00000000,-45.00000000,384
240.00000000,-45.00000000,383
255.00000000,-45.00000000,373
