az_deg,el_deg,a_ft
0.00000000,-90.00000000,672
15.00000000,-90.00000000,680
30.00000000,-90.00000000,680
45.00000000,-90.00000000,677
60.00000000,-90.00000000,680
75.00000000,-90.00000000,677
90.00000000,-90.00000000,672
105.00000000,-90.00000000,680
120.00000000,-90.00000000,680
135.00000000,-90.00000000,677
150.00000000,-90.00000000,680
165.00000000,-90.00000000,677
180.00000000,-90.00000000,670
195.00000000,-90.00000000,680
210.00000000,-90.00000000,680
225.00000000,-90.00000000,677
240.00000000,-90.00000000,680
255.00000000,-90.00000000,677
270.00000000,-90.00000000,670
285.00000000,-90.00000000,680
300.00000000,-90.00000000,680
315.00000000,-90.00000000,677
330.00000000,-90.00000000,680
345.00000000,-90.00000000,677
360.00000000,-90.00000000,672
0.00000000,-75.00000000,635
15.00000000,-75.00000000,639
30.00000000,-75.00000000,690
45.00000000,-75.00000000,677
60.00000000,-75.00000000,683
75.00000000,-75.00000000,692
90.00000000,-75.00000000,707
105.00000000,-75.00000000,709
120.00000000,-75.00000000,679
135.00000000,-75.00000000,661
150.00000000,-75.00000000,659
165.00000000,-75.00000000,625
180.00000000,-75.00000000,622
195.00000000,-75.00000000,628
210.00000000,-75.00000000,658
225.00000000,-75.00000000,678
240.00000000,-75.00000000,683
255.00000000,-75.00000000,704
270.00000000,-75.00000000,837
285.00000000,-75.00000000,711
300.00000000,-75.00000000,702
315.00000000,-75.00000000,687
330.00000000,-75.00000000,690
345.00000000,-75.00000000,634
360.00000000,-75.00000000,635
0.00000000,-60.00000000,561
15.00000000,-60.00000000,669
30.00000000,-60.00000000,670
45.00000000,-60.00000000,676
60.00000000,-60.00000000,578
75.00000000,-60.00000000,617
90.00000000,-60.00000000,639
105.00000000,-60.00000000,599
120.00000000,-60.00000000,603
135.00000000,-60.00000000,605
150.00000000,-60.00000000,595
165.00000000,-60.00000000,597
180.00000000,-60.00000000,567
195.00000000,-60.00000000,586
210.00000000,-60.00000000,594
225.00000000,-60.00000000,605
240.00000000,-60.00000000,607
255.00000000,-60.00000000,624
270.00000000,-60.00000000,637
