az_deg,el_deg,a_ft
0.00000000,-90.00000000,131
15.00000000,-90.00000000,131
30.00000000,-90.00000000,131
45.00000000,-90.00000000,131
60.00000000,-90.00000000,131
75.00000000,-90.00000000,131
90.00000000,-90.00000000,131
105.00000000,-90.00000000,131
120.00000000,-90.00000000,131
135.00000000,-90.00000000,131
150.00000000,-90.00000000,131
165.00000000,-90.00000000,131
180.00000000,-90.00000000,131
195.00000000,-90.00000000,131
210.00000000,-90.00000000,131
225.00000000,-90.00000000,131
240.00000000,-90.00000000,131
255.00000000,-90.00000000,131
270.00000000,-90.00000000,131
285.00000000,-90.00000000,131
300.00000000,-90.00000000,131
315.00000000,-90.00000000,131
330.00000000,-90.00000000,131
345.00000000,-90.00000000,131
360.00000000,-90.00000000,131
0.00000000,-75.00000000,130
15.00000000,-75.00000000,120
30.00000000,-75.00000000,108
45.00000000,-75.00000000,109
60.00000000,-75.00000000,115
75.00000000,-75.00000000,115
90.00000000,-75.00000000,118
105.00000000,-75.00000000,101
120.00000000,-75.00000000,106
135.00000000,-75.00000000,101
150.00000000,-75.00000000,100
165.00000000,-75.00000000,97
180.00000000,-75.00000000,101
195.00000000,-75.00000000,97
210.00000000,-75.00000000,96
225.00000000,-75.00000000,104
240.00000000,-75.00000000,103
255.00000000,-75.00000000,113
270.00000000,-75.00000000,114
285.00000000,-75.00000000,132
300.00000000,-75.00000000,112
315.00000000,-75.00000000,126
330.00000000,-75.00000000,127
345.00000000,-75.00000000,131
360.00000000,-75.00000000,130
0.00000000,-60.00000000,107
15.00000000,-60.00000000,107
30.00000000,-60.00000000,93
45.00000000,-60.00000000,96
60.00000000,-60.00000000,122
75.00000000,-60.00000000,121
90.00000000,-60.00000000,134
105.00000000,-60.00000000,107
120.00000000,-60.00000000,90
135.00000000,-60.00000000,78
150.00000000,-60.00000000,78
165.00000000,-60.00000000,76
180.00000000,-60.00000000,80
195.00000000,-60.00000000,78
210.00000000,-60.00000000,79
225.00000000,-60.00000000,78
240.00000000,-60.00000000,92
255.00000000,-60.00000000,119
270.00000000,-60.00000000,112
285.00000000,-60.00000000,122
300.00000000,-60.00000000,107
315.00000000,-60.00000000,100
330.00000000,-60.00000000,108
345.00000000,-60.00000000,105
360.00000000,-60.00000000,107
0.00000000,-45.00000000,87
15.00000000,-45.00000000,84
30.00000000,-45.00000000,87
45.00000000,-45.00000000,117
60.00000000,-45.00000000,129
75.00000000,-45.00000000,139
90.00000000,-45.00000000,145
105.00000000,-45.00000000,128
120.00000000,-45.00000000,120
135.00000000,-45.00000000,91
150.00000000,-45.00000000,83
165.00000000,-45.00000000,66
180.00000000,-45.00000000,67
195.00000000,-45.00000000,66
210.00000000,-45.00000000,79
225.00000000,-45.00000000,95
240.00000000,-45.00000000,124
255.00000000,-45.00000000,131
270.00000000,-45.00000000,147
285.00000000,-45.00000000,130
300.00000000,-45.00000000,134
315.00000000,-45.00000000,122
330.00000000,-45.00000000,101
345.00000000,-45.00000000,84
360.00000000,-45.00000000,87
0.00000000,-30.00000000,60
15.00000000,-30.00000000,68
30.00000000,-30.00000000,89
45.00000000,-30.00000000,111
60.00000000,-30.00000000,121
75.00000000,-30.00000000,128
90.00000000,-30.00000000,130
105.00000000,-30.00000000,147
120.00000000,-30.00000000,137
135.00000000,-30.00000000,116
150.00000000,-30.00000000,90
165.00000000,-30.00000000,61
180.00000000,-30.00000000,51
195.00000000,-30.00000000,63
210.00000000,-30.00000000,90
225.00000000,-30.00000000,120
240.00000000,-30.00000000,140
255.00000000,-30.00000000,150
270.00000000,-30.00000000,149
285.00000000,-30.00000000,147
300.00000000,-30.00000000,131
315.00000000,-30.00000000,114
330.00000000,-30.00000000,90
345.00000000,-30.00000000,69
360.00000000,-30.00000000,60
0.00000000,-15.00000000,38
15.00000000,-15.00000000,51
30.00000000,-15.00000000,90
45.00000000,-15.00000000,117
60.00000000,-15.00000000,147
75.00000000,-15.00000000,151
90.00000000,-15.00000000,151
105.00000000,-15.00000000,157
120.00000000,-15.00000000,157
135.00000000,-15.00000000,135
150.00000000,-15.00000000,95
165.00000000,-15.00000000,55
180.00000000,-15.00000000,39
195.00000000,-15.00000000,55
210.00000000,-15.00000000,92
225.00000000,-15.00000000,129
240.00000000,-15.00000000,148
255.00000000,-15.00000000,155
270.00000000,-15.00000000,154
285.00000000,-15.00000000,138
300.00000000,-15.00000000,141
315.00000000,-15.00000000,122
330.00000000,-15.00000000,89
345.00000000,-15.00000000,52
360.00000000,-15.00000000,38
0.00000000,0.00000000,25
15.00000000,0.00000000,49
30.00000000,0.00000000,85
45.00000000,0.00000000,131
60.00000000,0.00000000,166
75.00000000,0.00000000,154
90.00000000,0.00000000,149
105.00000000,0.00000000,156
120.00000000,0.00000000,172
135.00000000,0.00000000,135
150.00000000,0.00000000,78
165.00000000,0.00000000,48
180.00000000,0.00000000,25
195.00000000,0.00000000,49
210.00000000,0.00000000,85
225.00000000,0.00000000,131
240.00000000,0.00000000,166
255.00000000,0.00000000,154
270.00000000,0.00000000,149
285.00000000,0.00000000,156
300.00000000,0.00000000,172
315.00000000,0.00000000,135
330.00000000,0.00000000,78
345.00000000,0.00000000,48
360.00000000,0.00000000,25
0.00000000,15.00000000,39
15.00000000,15.00000000,55
30.00000000,15.00000000,92
45.00000000,15.00000000,129
60.00000000,15.00000000,148
75.00000000,15.00000000,155
90.00000000,15.00000000,154
105.00000000,15.00000000,138
120.00000000,15.00000000,141
135.00000000,15.00000000,122
150.00000000,15.00000000,89
165.00000000,15.00000000,52
180.00000000,15.00000000,38
195.00000000,15.00000000,51
210.00000000,15.00000000,90
225.00000000,15.00000000,117
240.00000000,15.00000000,147
255.00000000,15.00000000,151
270.00000000,15.00000000,151
285.00000000,15.00000000,157
300.00000000,15.00000000,157
315.00000000,15.00000000,135
330.00000000,15.00000000,95
345.00000000,15.00000000,55
360.00000000,15.00000000,39
0.00000000,30.00000000,51
15.00000000,30.00000000,63
30.00000000,30.00000000,90
45.00000000,30.00000000,120
60.00000000,30.00000000,140
75.00000000,30.00000000,150
90.00000000,30.00000000,149
105.00000000,30.00000000,147
120.00000000,30.00000000,131
135.00000000,30.00000000,114
150.00000000,30.00000000,90
165.00000000,30.00000000,69
180.00000000,30.00000000,60
195.00000000,30.00000000,68
210.00000000,30.00000000,89
225.00000000,30.00000000,111
240.00000000,30.00000000,121
255.00000000,30.00000000,128
270.00000000,30.00000000,130
285.00000000,30.00000000,147
300.00000000,30.00000000,137
315.00000000,30.00000000,116
330.00000000,30.00000000,90
345.00000000,30.00000000,61
360.00000000,30.00000000,51
0.00000000,45.00000000,67
15.00000000,45.00000000,66
30.00000000,45.00000000,79
45.00000000,45.00000000,95
60.00000000,45.00000000,124
75.00000000,45.00000000,131
90.00000000,45.00000000,147
105.00000000,45.00000000,130
120.00000000,45.00000000,134
135.00000000,45.00000000,122
150.00000000,45.00000000,101
