az_deg,el_deg,a_ft
0.00000000,-90.00000000,400
15.00000000,-90.00000000,400
30.00000000,-90.00000000,406
45.00000000,-90.00000000,400
60.00000000,-90.00000000,400
75.00000000,-90.00000000,400
90.00000000,-90.00000000,400
105.00000000,-90.00000000,400
120.00000000,-90.00000000,400
135.00000000,-90.00000000,400
150.00000000,-90.00000000,400
165.00000000,-90.00000000,400
180.00000000,-90.00000000,400
195.00000000,-90.00000000,400
210.00000000,-90.00000000,400
225.00000000,-90.00000000,400
240.00000000,-90.00000000,400
255.00000000,-90.00000000,400
270.00000000,-90.00000000,400
285.00000000,-90.00000000,400
300.00000000,-90.00000000,400
315.00000000,-90.00000000,400
330.00000000,-90.00000000,400
345.00000000,-90.00000000,400
360.00000000,-90.00000000,400
0.00000000,-75.00000000,375
15.00000000,-75.00000000,411
30.00000000,-75.00000000,410
45.00000000,-75.00000000,426
60.00000000,-75.00000000,430
75.00000000,-75.00000000,426
90.00000000,-75.00000000,425
105.00000000,-75.00000000,415
120.00000000,-75.00000000,393
135.00000000,-75.00000000,390
150.00000000,-75.00000000,394
165.00000000,-75.00000000,393
180.00000000,-75.00000000,389
195.00000000,-75.00000000,394
210.00000000,-75.00000000,408
225.00000000,-75.00000000,396
240.00000000,-75.00000000,405
255.00000000,-75.00000000,422
270.00000000,-75.00000000,434
285.00000000,-75.00000000,435
300.00000000,-75.00000000,438
315.00000000,-75.00000000,442
330.00000000,-75.00000000,427
345.00000000,-75.00000000,412
360.00000000,-75.00000000,375
0.00000000,-60.00000000,383
15.00000000,-60.00000000,398
30.00000000,-60.00000000,393
45.00000000,-60.00000000,384
60.00000000,-60.00000000,372
75.00000000,-60.00000000,353
90.00000000,-60.00000000,380
105.00000000,-60.00000000,375
120.00000000,-60.00000000,369
135.00000000,-60.00000000,336
150.00000000,-60.00000000,365
165.00000000,-60.00000000,350
180.00000000,-60.00000000,315
195.00000000,-60.00000000,350
210.00000000,-60.00000000,357
225.00000000,-60.00000000,349
240.00000000,-60.00000000,364
255.00000000,-60.00000000,381
270.00000000,-60.00000000,381
285.00000000,-60.00000000,359
300.00000000,-60.00000000,397
315.00000000,-60.00000000,403
330.00000000,-60.00000000,412
345.00000000,-60.00000000,411
360.00000000,-60.00000000,383
0.00000000,-45.00000000,350
15.00000000,-45.00000000,345
30.00000000,-45.00000000,341
45.00000000,-45.00000000,325
60.00000000,-45.00000000,326
75.00000000,-45.00000000,289
90.00000000,-45.00000000,279
105.00000000,-45.00000000,288
120.00000000,-45.00000000,299
135.00000000,-45.00000000,275
150.00000000,-45.00000000,271
165.00000000,-45.00000000,289
180.00000000,-45.00000000,252
195.00000000,-45.00000000,277
210.00000000,-45.00000000,276
225.00000000,-45.00000000,300
240.00000000,-45.00000000,315
255.00000000,-45.00000000,273
270.00000000,-45.00000000,285
285.00000000,-45.00000000,306
300.00000000,-45.00000000,328
315.00000000,-45.00000000,325
330.00000000,-45.00000000,335
345.00000000,-45.00000000,359
360.00000000,-45.00000000,350
0.00000000,-30.00000000,262
15.00000000,-30.00000000,274
30.00000000,-30.00000000,270
45.00000000,-30.00000000,257
60.00000000,-30.00000000,257
75.00000000,-30.00000000,200
90.00000000,-30.00000000,197
105.00000000,-30.00000000,220
120.00000000,-30.00000000,214
