az_deg,el_deg,a_ft
0.00000000,-90.00000000,1004
15.00000000,-90.00000000,1112
30.00000000,-90.00000000,1112
45.00000000,-90.00000000,1112
60.00000000,-90.00000000,1112
75.00000000,-90.00000000,1112
90.00000000,-90.00000000,1056
105.00000000,-90.00000000,1112
120.00000000,-90.00000000,1112
135.00000000,-90.00000000,1112
150.00000000,-90.00000000,1112
165.00000000,-90.00000000,1112
180.00000000,-90.00000000,1000
195.00000000,-90.00000000,1112
210.00000000,-90.00000000,1112
225.00000000,-90.00000000,1110
240.00000000,-90.00000000,1112
255.00000000,-90.00000000,1112
270.00000000,-90.00000000,1056
285.00000000,-90.00000000,1112
300.00000000,-90.00000000,1112
315.00000000,-90.00000000,1112
330.00000000,-90.00000000,1112
345.00000000,-90.00000000,1112
360.00000000,-90.00000000,1004
0.00000000,-75.00000000,1065
15.00000000,-75.00000000,1236
30.00000000,-75.00000000,1124
45.00000000,-75.00000000,1124
60.00000000,-75.00000000,1130
75.00000000,-75.00000000,1267
90.00000000,-75.00000000,1198
105.00000000,-75.00000000,1207
120.00000000,-75.00000000,1127
135.00000000,-75.00000000,1124
150.00000000,-75.00000000,1124
165.00000000,-75.00000000,1158
180.00000000,-75.00000000,976
195.00000000,-75.00000000,1157
210.00000000,-75.00000000,1123
225.00000000,-75.00000000,1122
240.00000000,-75.00000000,1185
255.00000000,-75.00000000,1207
270.00000000,-75.00000000,1205
285.00000000,-75.00000000,1222
300.00000000,-75.00000000,1127
315.00000000,-75.00000000,1124
330.00000000,-75.00000000,1130
345.00000000,-75.00000000,1236
360.00000000,-75.00000000,1065
0.00000000,-60.00000000,1040
15.00000000,-60.00000000,1048
30.00000000,-60.00000000,1031
45.00000000,-60.00000000,971
60.00000000,-60.00000000,1057
75.00000000,-60.00000000,1070
90.00000000,-60.00000000,1067
105.00000000,-60.00000000,1064
120.00000000,-60.00000000,997
135.00000000,-60.00000000,959
150.00000000,-60.00000000,1004
165.00000000,-60.00000000,975
180.00000000,-60.00000000,760
195.00000000,-60.00000000,975
210.00000000,-60.00000000,1004
225.00000000,-60.00000000,967
240.00000000,-60.00000000,1057
255.00000000,-60.00000000,1071
270.00000000,-60.00000000,1094
285.00000000,-60.00000000,1070
300.00000000,-60.00000000,1057
315.00000000,-60.00000000,970
330.00000000,-60.00000000,1032
345.00000000,-60.00000000,1041
360.00000000,-60.00000000,1040
0.00000000,-45.00000000,805
15.00000000,-45.00000000,855
30.00000000,-45.00000000,825
45.00000000,-45.00000000,815
60.00000000,-45.00000000,923
75.00000000,-45.00000000,980
90.00000000,-45.00000000,949
105.00000000,-45.00000000,985
120.00000000,-45.00000000,848
135.00000000,-45.00000000,760
150.00000000,-45.00000000,745
165.00000000,-45.00000000,737
180.00000000,-45.00000000,633
195.00000000,-45.00000000,736
