az_deg,el_deg,a_ft
0.00000000,-90.00000000,1133
15.00000000,-90.00000000,1133
30.00000000,-90.00000000,1133
45.00000000,-90.00000000,1133
60.00000000,-90.00000000,1133
75.00000000,-90.00000000,1133
90.00000000,-90.00000000,1133
105.00000000,-90.00000000,1133
120.00000000,-90.00000000,1133
135.00000000,-90.00000000,1133
150.00000000,-90.00000000,1133
165.00000000,-90.00000000,1133
180.00000000,-90.00000000,1133
195.00000000,-90.00000000,1133
210.00000000,-90.00000000,1133
225.00000000,-90.00000000,1133
240.00000000,-90.00000000,1133
255.00000000,-90.00000000,1133
270.00000000,-90.00000000,1133
285.00000000,-90.00000000,1133
300.00000000,-90.00000000,1133
315.00000000,-90.00000000,1133
330.00000000,-90.00000000,1133
345.00000000,-90.00000000,1133
360.00000000,-90.00000000,1133
0.00000000,-75.00000000,1166
15.00000000,-75.00000000,1165
30.00000000,-75.00000000,1161
45.00000000,-75.00000000,1122
60.00000000,-75.00000000,1160
75.00000000,-75.00000000,1164
90.00000000,-75.00000000,1163
105.00000000,-75.00000000,1162
120.00000000,-75.00000000,1161
135.00000000,-75.00000000,1121
150.00000000,-75.00000000,1114
165.00000000,-75.00000000,1151
180.00000000,-75.00000000,1078
195.00000000,-75.00000000,1151
210.00000000,-75.00000000,1114
225.00000000,-75.00000000,1117
240.00000000,-75.00000000,1123
255.00000000,-75.00000000,1162
270.00000000,-75.00000000,1163
285.00000000,-75.00000000,1170
300.00000000,-75.00000000,1162
315.00000000,-75.00000000,1124
330.00000000,-75.00000000,1162
345.00000000,-75.00000000,1130
360.00000000,-75.00000000,1166
0.00000000,-60.00000000,1072
15.00000000,-60.00000000,1068
30.00000000,-60.00000000,1065
45.00000000,-60.00000000,1076
60.00000000,-60.00000000,1042
75.00000000,-60.00000000,989
90.00000000,-60.00000000,908
105.00000000,-60.00000000,1046
120.00000000,-60.00000000,1046
135.00000000,-60.00000000,1043
150.00000000,-60.00000000,1039
165.00000000,-60.00000000,994
180.00000000,-60.00000000,968
195.00000000,-60.00000000,999
210.00000000,-60.00000000,1039
225.00000000,-60.00000000,1043
240.00000000,-60.00000000,1046
255.00000000,-60.00000000,1046
270.00000000,-60.00000000,912
285.00000000,-60.00000000,989
300.00000000,-60.00000000,1074
315.00000000,-60.00000000,1075
330.00000000,-60.00000000,1062
345.00000000,-60.00000000,1066
360.00000000,-60.00000000,1072
0.00000000,-45.00000000,904
15.00000000,-45.00000000,926
30.00000000,-45.00000000,920
45.00000000,-45.00000000,920
60.00000000,-45.00000000,926
75.00000000,-45.00000000,918
90.00000000,-45.00000000,805
105.00000000,-45.00000000,795
120.00000000,-45.00000000,847
135.00000000,-45.00000000,844
150.00000000,-45.00000000,862
165.00000000,-45.00000000,865
180.00000000,-45.00000000,860
195.00000000,-45.00000000,865
210.00000000,-45.00000000,862
225.00000000,-45.00000000,843
240.00000000,-45.00000000,845
255.00000000,-45.00000000,867
270.00000000,-45.00000000,747
285.00000000,-45.00000000,849
300.00000000,-45.00000000,925
315.00000000,-45.00000000,925
330.00000000,-45.00000000,920
345.00000000,-45.00000000,925
360.00000000,-45.00000000,904
0.00000000,-30.00000000,679
15.00000000,-30.00000000,678
30.00000000,-30.00000000,679
45.00000000,-30.00000000,695
60.00000000,-30.00000000,705
75.00000000,-30.00000000,705
90.00000000,-30.00000000,631
105.00000000,-30.00000000,679
120.00000000,-30.00000000,653
135.00000000,-30.00000000,639
150.00000000,-30.00000000,645
165.00000000,-30.00000000,641
180.00000000,-30.00000000,639
195.00000000,-30.00000000,643
210.00000000,-30.00000000,653
225.00000000,-30.00000000,645
240.00000000,-30.00000000,658
255.00000000,-30.00000000,682
