az_deg,el_deg,a_ft
0.00000000,-90.00000000,1561
15.00000000,-90.00000000,1518
30.00000000,-90.00000000,1561
45.00000000,-90.00000000,1522
60.00000000,-90.00000000,1522
75.00000000,-90.00000000,1542
90.00000000,-90.00000000,1561
105.00000000,-90.00000000,1518
120.00000000,-90.00000000,1522
135.00000000,-90.00000000,1518
150.00000000,-90.00000000,1522
165.00000000,-90.00000000,1542
180.00000000,-90.00000000,1482
195.00000000,-90.00000000,1522
210.00000000,-90.00000000,1522
225.00000000,-90.00000000,1513
240.00000000,-90.00000000,1522
255.00000000,-90.00000000,1542
270.00000000,-90.00000000,1518
285.00000000,-90.00000000,1522
300.00000000,-90.00000000,1542
315.00000000,-90.00000000,1497
330.00000000,-90.00000000,1522
345.00000000,-90.00000000,1522
360.00000000,-90.00000000,1561
0.00000000,-75.00000000,1782
15.00000000,-75.00000000,1734
30.00000000,-75.00000000,1786
45.00000000,-75.00000000,1681
60.00000000,-75.00000000,1513
75.00000000,-75.00000000,1494
90.00000000,-75.00000000,1505
105.00000000,-75.00000000,1473
120.00000000,-75.00000000,1498
135.00000000,-75.00000000,1523
150.00000000,-75.00000000,1545
165.00000000,-75.00000000,1495
180.00000000,-75.00000000,1552
195.00000000,-75.00000000,1506
210.00000000,-75.00000000,1549
225.00000000,-75.00000000,1503
240.00000000,-75.00000000,1499
255.00000000,-75.00000000,1463
270.00000000,-75.00000000,1506
285.00000000,-75.00000000,1479
300.00000000,-75.00000000,1515
315.00000000,-75.00000000,1680
330.00000000,-75.00000000,1791
345.00000000,-75.00000000,1792
360.00000000,-75.00000000,1782
0.00000000,-60.00000000,1584
15.00000000,-60.00000000,1585
30.00000000,-60.00000000,1424
45.00000000,-60.00000000,1312
60.00000000,-60.00000000,1324
75.00000000,-60.00000000,1322
90.00000000,-60.00000000,1333
105.00000000,-60.00000000,1336
120.00000000,-60.00000000,1342
135.00000000,-60.00000000,1400
150.00000000,-60.00000000,1409
165.00000000,-60.00000000,1417
180.00000000,-60.00000000,1363
195.00000000,-60.00000000,1431
210.00000000,-60.00000000,1411
225.00000000,-60.00000000,1400
240.00000000,-60.00000000,1345
255.00000000,-60.00000000,1338
270.00000000,-60.00000000,1335
285.00000000,-60.00000000,1324
300.00000000,-60.00000000,1323
315.00000000,-60.00000000,1307
330.00000000,-60.00000000,1425
345.00000000,-60.00000000,1595
360.00000000,-60.00000000,1584
0.00000000,-45.00000000,1274
15.00000000,-45.00000000,1342
30.00000000,-45.00000000,1199
45.00000000,-45.00000000,1156
60.00000000,-45.00000000,1107
75.00000000,-45.00000000,1106
90.00000000,-45.00000000,1105
105.00000000,-45.00000000,1139
120.00000000,-45.00000000,1199
135.00000000,-45.00000000,1219
150.00000000,-45.00000000,1282
165.00000000,-45.00000000,1247
180.00000000,-45.00000000,1429
195.00000000,-45.00000000,1345
210.00000000,-45.00000000,1285
225.00000000,-45.00000000,1221
240.00000000,-45.00000000,1198
255.00000000,-45.00000000,1141
270.00000000,-45.00000000,1103
285.00000000,-45.00000000,1109
300.00000000,-45.00000000,1099
315.00000000,-45.00000000,1156
330.00000000,-45.00000000,1164
345.00000000,-45.00000000,1345
360.00000000,-45.00000000,1274
0.00000000,-30.00000000,878
15.00000000,-30.00000000,912
30.00000000,-30.00000000,928
45.00000000,-30.00000000,910
60.00000000,-30.00000000,909
75.00000000,-30.00000000,927
90.00000000,-30.00000000,893
105.00000000,-30.00000000,914
120.00000000,-30.00000000,959
135.00000000,-30.00000000,1002
150.00000000,-30.00000000,1018
165.00000000,-30.00000000,1160
180.00000000,-30.00000000,1134
195.00000000,-30.00000000,1213
210.00000000,-30.00000000,1021
225.00000000,-30.00000000,1011
240.00000000,-30.00000000,959
255.00000000,-30.00000000,905
270.00000000,-30.00000000,931
285.00000000,-30.00000000,928
300.00000000,-30.00000000,911
315.00000000,-30.00000000,941
330.00000000,-30.00000000,965
345.00000000,-30.00000000,913
360.00000000,-30.00000000,878
0.00000000,-15.00000000,529
15.00000000,-15.00000000,522
30.00000000,-15.00000000,593
45.00000000,-15.00000000,569
60.00000000,-15.00000000,667
75.00000000,-15.00000000,681
90.00000000,-15.00000000,666
105.00000000,-15.00000000,678
120.00000000,-15.00000000,737
135.00000000,-15.00000000,786
150.00000000,-15.00000000,775
165.00000000,-15.00000000,876
180.00000000,-15.00000000,898
195.00000000,-15.00000000,877
210.00000000,-15.00000000,808
225.00000000,-15.00000000,758
240.00000000,-15.00000000,739
255.00000000,-15.00000000,678
270.00000000,-15.00000000,675
285.00000000,-15.00000000,684
300.00000000,-15.00000000,670
315.00000000,-15.00000000,572
330.00000000,-15.00000000,619
345.00000000,-15.00000000,528
360.00000000,-15.00000000,529
0.00000000,0.00000000,482
15.00000000,0.00000000,513
30.00000000,0.00000000,484
45.00000000,0.00000000,503
60.00000000,0.00000000,509
75.00000000,0.00000000,559
90.00000000,0.00000000,576
105.00000000,0.00000000,559
120.00000000,0.00000000,509
135.00000000,0.00000000,508
150.00000000,0.00000000,485
165.00000000,0.00000000,512
180.00000000,0.00000000,481
195.00000000,0.00000000,513
210.00000000,0.00000000,484
225.00000000,0.00000000,506
240.00000000,0.00000000,509
255.00000000,0.00000000,559
270.00000000,0.00000000,576
285.00000000,0.00000000,559
300.00000000,0.00000000,509
315.00000000,0.00000000,508
330.00000000,0.00000000,485
345.00000000,0.00000000,512
360.00000000,0.00000000,482
0.00000000,15.00000000,907
15.00000000,15.00000000,877
30.00000000,15.00000000,808
45.00000000,15.00000000,758
60.00000000,15.00000000,739
75.00000000,15.00000000,678
90.00000000,15.00000000,675
105.00000000,15.00000000,684
120.00000000,15.00000000,670
135.00000000,15.00000000,572
150.00000000,15.00000000,619
165.00000000,15.00000000,528
180.00000000,15.00000000,528
195.00000000,15.00000000,522
210.00000000,15.00000000,593
225.00000000,15.00000000,569
240.00000000,15.00000000,667
255.00000000,15.00000000,681
270.00000000,15.00000000,664
285.00000000,15.00000000,678
300.00000000,15.00000000,737
315.00000000,15.00000000,786
330.00000000,15.00000000,775
345.00000000,15.00000000,876
360.00000000,15.00000000,907
0.00000000,30.00000000,1130
15.00000000,30.00000000,1213
30.00000000,30.00000000,1021
45.00000000,30.00000000,1011
60.00000000,30.00000000,959
75.00000000,30.00000000,905
90.00000000,30.00000000,917
105.00000000,30.00000000,928
120.00000000,30.00000000,911
135.00000000,30.00000000,941
150.00000000,30.00000000,965
165.00000000,30.00000000,913
180.00000000,30.00000000,878
195.00000000,30.00000000,912
210.00000000,30.00000000,928
225.00000000,30.00000000,910
240.00000000,30.00000000,909
255.00000000,30.00000000,927
270.00000000,30.00000000,893
285.00000000,30.00000000,914
300.00000000,30.00000000,959
315.00000000,30.00000000,1002
330.00000000,30.00000000,1018
345.00000000,30.00000000,1160
360.00000000,30.00000000,1130
0.00000000,45.00000000,1338
15.00000000,45.00000000,1345
30.00000000,45.00000000,1285
45.00000000,45.00000000,1221
60.00000000,45.00000000,1198
75.00000000,45.00000000,1141
90.00000000,45.00000000,1103
105.00000000,45.00000000,1109
120.00000000,45.00000000,1099
135.00000000,45.00000000,1156
150.00000000,45.00000000,1164
165.00000000,45.00000000,1345
180.00000000,45.00000000,1262
195.00000000,45.00000000,1342
210.00000000,45.00000000,1199
225.00000000,45.00000000,1156
240.00000000,45.00000000,1107
255.00000000,45.00000000,1106
270.00000000,45.00000000,1105
285.00000000,45.00000000,1139
300.00000000,45.00000000,1199
315.00000000,45.00000000,1219
330.00000000,45.00000000,1282
345.00000000,45.00000000,1247
360.00000000,45.00000000,1338
0.00000000,60.00000000,1426
15.00000000,60.00000000,1431
30.00000000,60.00000000,1411
45.00000000,60.00000000,1400
60.00000000,60.00000000,1345
75.00000000,60.00000000,1338
90.00000000,60.00000000,1335
105.00000000,60.00000000,1324
120.00000000,60.00000000,1323
135.00000000,60.00000000,1307
150.00000000,60.00000000,1425
165.00000000,60.00000000,1595
180.00000000,60.00000000,1501
195.00000000,60.00000000,1585
210.00000000,60.00000000,1424
225.00000000,60.00000000,1312
240.00000000,60.00000000,1324
255.00000000,60.00000000,1322
270.00000000,60.00000000,1333
285.00000000,60.00000000,1336
300.00000000,60.00000000,1342
315.00000000,60.00000000,1400
330.00000000,60.00000000,1409
345.00000000,60.00000000,1417
360.00000000,60.00000000,1426
0.00000000,75.00000000,1510
15.00000000,75.00000000,1506
30.00000000,75.00000000,1549
45.00000000,75.00000000,1503
60.00000000,75.00000000,1499
75.00000000,75.00000000,1463
90.00000000,75.00000000,1506
105.00000000,75.00000000,1479
120.00000000,75.00000000,1515
135.00000000,75.00000000,1680
150.00000000,75.00000000,1791
165.00000000,75.00000000,1792
180.00000000,75.00000000,1782
195.00000000,75.00000000,1734
210.00000000,75.00000000,1786
225.00000000,75.00000000,1681
240.00000000,75.00000000,1513
255.00000000,75.00000000,1494
270.00000000,75.00000000,1505
285.00000000,75.00000000,1473
300.00000000,75.00000000,1498
315.00000000,75.00000000,1523
330.00000000,75.00000000,1545
345.00000000,75.00000000,1495
360.00000000,75.00000000,1510
0.00000000,90.00000000,1513
15.00000000,90.00000000,1542
