az_deg,el_deg,a_ft
0.00000000,-90.00000000,1078
15.00000000,-90.00000000,1082
30.00000000,-90.00000000,1081
45.00000000,-90.00000000,1081
60.00000000,-90.00000000,1081
75.00000000,-90.00000000,1082
90.00000000,-90.00000000,1081
105.00000000,-90.00000000,1081
120.00000000,-90.00000000,1081
135.00000000,-90.00000000,1081
150.00000000,-90.00000000,1081
165.00000000,-90.00000000,1081
180.00000000,-90.00000000,1081
195.00000000,-90.00000000,1082
210.00000000,-90.00000000,1081
225.00000000,-90.00000000,1078
240.00000000,-90.00000000,1082
255.00000000,-90.00000000,1081
270.00000000,-90.00000000,1081
285.00000000,-90.00000000,1082
300.00000000,-90.00000000,1082
315.00000000,-90.00000000,1081
330.00000000,-90.00000000,1081
345.00000000,-90.00000000,1081
360.00000000,-90.00000000,1078
0.00000000,-75.00000000,1005
15.00000000,-75.00000000,1038
30.00000000,-75.00000000,1062
45.00000000,-75.00000000,1130
60.00000000,-75.00000000,1110
75.00000000,-75.00000000,1104
90.00000000,-75.00000000,1128
105.00000000,-75.00000000,1151
120.00000000,-75.00000000,1147
135.00000000,-75.00000000,1145
150.00000000,-75.00000000,1134
165.00000000,-75.00000000,1152
180.00000000,-75.00000000,1078
195.00000000,-75.00000000,1151
210.00000000,-75.00000000,1145
225.00000000,-75.00000000,1145
240.00000000,-75.00000000,1147
255.00000000,-75.00000000,1150
270.00000000,-75.00000000,1127
285.00000000,-75.00000000,1112
300.00000000,-75.00000000,1109
315.00000000,-75.00000000,1126
330.00000000,-75.00000000,1072
345.00000000,-75.00000000,1038
360.00000000,-75.00000000,1005
0.00000000,-60.00000000,965
15.00000000,-60.00000000,996
30.00000000,-60.00000000,985
45.00000000,-60.00000000,1058
60.00000000,-60.00000000,1102
75.00000000,-60.00000000,1112
90.00000000,-60.00000000,1110
105.00000000,-60.00000000,1127
120.00000000,-60.00000000,1131
135.00000000,-60.00000000,1094
150.00000000,-60.00000000,1112
165.00000000,-60.00000000,1027
180.00000000,-60.00000000,1030
195.00000000,-60.00000000,1031
210.00000000,-60.00000000,1111
225.00000000,-60.00000000,1092
240.00000000,-60.00000000,1117
255.00000000,-60.00000000,1121
270.00000000,-60.00000000,1123
285.00000000,-60.00000000,1112
300.00000000,-60.00000000,1101
315.00000000,-60.00000000,1061
330.00000000,-60.00000000,987
345.00000000,-60.00000000,996
360.00000000,-60.00000000,965
0.00000000,-45.00000000,1034
15.00000000,-45.00000000,1040
30.00000000,-45.00000000,1003
45.00000000,-45.00000000,975
60.00000000,-45.00000000,999
75.00000000,-45.00000000,1083
90.00000000,-45.00000000,1061
105.00000000,-45.00000000,1182
120.00000000,-45.00000000,1062
135.00000000,-45.00000000,1014
150.00000000,-45.00000000,877
165.00000000,-45.00000000,870
180.00000000,-45.00000000,867
195.00000000,-45.00000000,870
210.00000000,-45.00000000,876
225.00000000,-45.00000000,1031
240.00000000,-45.00000000,1042
255.00000000,-45.00000000,1170
270.00000000,-45.00000000,1063
285.00000000,-45.00000000,1083
300.00000000,-45.00000000,987
315.00000000,-45.00000000,975
330.00000000,-45.00000000,1002
345.00000000,-45.00000000,1042
360.00000000,-45.00000000,1034
0.00000000,-30.00000000,869
15.00000000,-30.00000000,924
30.00000000,-30.00000000,990
45.00000000,-30.00000000,914
60.00000000,-30.00000000,1003
75.00000000,-30.00000000,1000
90.00000000,-30.00000000,1024
105.00000000,-30.00000000,1046
120.00000000,-30.00000000,1005
135.00000000,-30.00000000,934
150.00000000,-30.00000000,833
165.00000000,-30.00000000,840
180.00000000,-30.00000000,971
195.00000000,-30.00000000,842
210.00000000,-30.00000000,832
225.00000000,-30.00000000,939
240.00000000,-30.00000000,1005
255.00000000,-30.00000000,1045
270.00000000,-30.00000000,1016
285.00000000,-30.00000000,1000
300.00000000,-30.00000000,1003
315.00000000,-30.00000000,973
330.00000000,-30.00000000,991
345.00000000,-30.00000000,926
360.00000000,-30.00000000,869
0.00000000,-15.00000000,666
15.00000000,-15.00000000,674
30.00000000,-15.00000000,767
45.00000000,-15.00000000,859
60.00000000,-15.00000000,934
75.00000000,-15.00000000,815
90.00000000,-15.00000000,838
105.00000000,-15.00000000,800
120.00000000,-15.00000000,913
135.00000000,-15.00000000,827
150.00000000,-15.00000000,801
165.00000000,-15.00000000,794
180.00000000,-15.00000000,796
195.00000000,-15.00000000,807
210.00000000,-15.00000000,797
225.00000000,-15.00000000,826
240.00000000,-15.00000000,913
255.00000000,-15.00000000,800
270.00000000,-15.00000000,838
285.00000000,-15.00000000,815
300.00000000,-15.00000000,938
315.00000000,-15.00000000,859
330.00000000,-15.00000000,783
345.00000000,-15.00000000,677
360.00000000,-15.00000000,666
0.00000000,0.00000000,382
15.00000000,0.00000000,515
30.00000000,0.00000000,583
45.00000000,0.00000000,709
60.00000000,0.00000000,775
75.00000000,0.00000000,791
90.00000000,0.00000000,716
105.00000000,0.00000000,796
120.00000000,0.00000000,775
135.00000000,0.00000000,722
150.00000000,0.00000000,577
165.00000000,0.00000000,514
180.00000000,0.00000000,382
195.00000000,0.00000000,515
210.00000000,0.00000000,583
225.00000000,0.00000000,709
240.00000000,0.00000000,775
255.00000000,0.00000000,791
270.00000000,0.00000000,716
285.00000000,0.00000000,796
300.00000000,0.00000000,775
315.00000000,0.00000000,723
330.00000000,0.00000000,577
345.00000000,0.00000000,519
360.00000000,0.00000000,382
0.00000000,15.00000000,782
15.00000000,15.00000000,807
30.00000000,15.00000000,797
45.00000000,15.00000000,826
60.00000000,15.00000000,913
75.00000000,15.00000000,800
90.00000000,15.00000000,838
105.00000000,15.00000000,815
120.00000000,15.00000000,938
135.00000000,15.00000000,859
150.00000000,15.00000000,783
165.00000000,15.00000000,677
180.00000000,15.00000000,665
195.00000000,15.00000000,674
210.00000000,15.00000000,767
225.00000000,15.00000000,859
240.00000000,15.00000000,934
255.00000000,15.00000000,815
270.00000000,15.00000000,838
285.00000000,15.00000000,800
300.00000000,15.00000000,913
315.00000000,15.00000000,827
330.00000000,15.00000000,801
345.00000000,15.00000000,794
360.00000000,15.00000000,782
0.00000000,30.00000000,971
15.00000000,30.00000000,842
