az_deg,el_deg,a_ft
0.00000000,-90.00000000,230
15.00000000,-90.00000000,230
30.00000000,-90.00000000,230
45.00000000,-90.00000000,231
60.00000000,-90.00000000,230
75.00000000,-90.00000000,230
90.00000000,-90.00000000,230
105.00000000,-90.00000000,230
120.00000000,-90.00000000,230
135.00000000,-90.00000000,230
150.00000000,-90.00000000,230
165.00000000,-90.00000000,230
180.00000000,-90.00000000,230
195.00000000,-90.00000000,230
210.00000000,-90.00000000,230
225.00000000,-90.00000000,230
240.00000000,-90.00000000,230
255.00000000,-90.00000000,230
270.00000000,-90.00000000,230
285.00000000,-90.00000000,230
300.00000000,-90.00000000,230
315.00000000,-90.00000000,230
330.00000000,-90.00000000,230
345.00000000,-90.00000000,230
360.00000000,-90.00000000,230
0.00000000,-75.00000000,208
15.00000000,-75.00000000,245
30.00000000,-75.00000000,248
45.00000000,-75.00000000,251
60.00000000,-75.00000000,254
75.00000000,-75.00000000,256
90.00000000,-75.00000000,257
105.00000000,-75.00000000,287
120.00000000,-75.00000000,264
135.00000000,-75.00000000,263
150.00000000,-75.00000000,262
165.00000000,-75.00000000,261
180.00000000,-75.00000000,228
195.00000000,-75.00000000,265
210.00000000,-75.00000000,263
225.00000000,-75.00000000,263
240.00000000,-75.00000000,264
255.00000000,-75.00000000,279
270.00000000,-75.00000000,257
285.00000000,-75.00000000,263
300.00000000,-75.00000000,254
315.00000000,-75.00000000,252
330.00000000,-75.00000000,248
345.00000000,-75.00000000,245
360.00000000,-75.00000000,208
0.00000000,-60.00000000,191
15.00000000,-60.00000000,248
30.00000000,-60.00000000,251
45.00000000,-60.00000000,225
60.00000000,-60.00000000,231
75.00000000,-60.00000000,238
90.00000000,-60.00000000,226
105.00000000,-60.00000000,233
120.00000000,-60.00000000,233
135.00000000,-60.00000000,239
150.00000000,-60.00000000,239
165.00000000,-60.00000000,247
180.00000000,-60.00000000,225
195.00000000,-60.00000000,248
210.00000000,-60.00000000,241
225.00000000,-60.00000000,237
240.00000000,-60.00000000,233
255.00000000,-60.00000000,232
270.00000000,-60.00000000,227
285.00000000,-60.00000000,237
300.00000000,-60.00000000,233
315.00000000,-60.00000000,225
330.00000000,-60.00000000,232
345.00000000,-60.00000000,249
360.00000000,-60.00000000,191
0.00000000,-45.00000000,188
15.00000000,-45.00000000,204
30.00000000,-45.00000000,194
45.00000000,-45.00000000,197
60.00000000,-45.00000000,198
75.00000000,-45.00000000,202
90.00000000,-45.00000000,203
105.00000000,-45.00000000,207
120.00000000,-45.00000000,209
135.00000000,-45.00000000,194
150.00000000,-45.00000000,213
165.00000000,-45.00000000,233
180.00000000,-45.00000000,210
195.00000000,-45.00000000,221
210.00000000,-45.00000000,212
225.00000000,-45.00000000,211
240.00000000,-45.00000000,219
255.00000000,-45.00000000,201
270.00000000,-45.00000000,204
285.00000000,-45.00000000,197
300.00000000,-45.00000000,193
315.00000000,-45.00000000,179
330.00000000,-45.00000000,191
345.00000000,-45.00000000,204
360.00000000,-45.00000000,188
0.00000000,-30.00000000,131
15.00000000,-30.00000000,167
30.00000000,-30.00000000,185
45.00000000,-30.00000000,183
60.00000000,-30.00000000,175
75.00000000,-30.00000000,170
90.00000000,-30.00000000,173
105.00000000,-30.00000000,167
120.00000000,-30.00000000,182
135.00000000,-30.00000000,187
150.00000000,-30.00000000,178
165.00000000,-30.00000000,188
180.00000000,-30.00000000,167
195.00000000,-30.00000000,185
210.00000000,-30.00000000,171
225.00000000,-30.00000000,175
240.00000000,-30.00000000,180
255.00000000,-30.00000000,164
270.00000000,-30.00000000,174
285.00000000,-30.00000000,164
300.00000000,-30.00000000,161
315.00000000,-30.00000000,183
330.00000000,-30.00000000,177
345.00000000,-30.00000000,164
360.00000000,-30.00000000,131
0.00000000,-15.00000000,73
15.00000000,-15.00000000,104
30.00000000,-15.00000000,133
45.00000000,-15.00000000,127
60.00000000,-15.00000000,144
75.00000000,-15.00000000,134
90.00000000,-15.00000000,136
105.00000000,-15.00000000,145
120.00000000,-15.00000000,153
135.00000000,-15.00000000,162
150.00000000,-15.00000000,158
165.00000000,-15.00000000,153
180.00000000,-15.00000000,125
195.00000000,-15.00000000,159
210.00000000,-15.00000000,178
225.00000000,-15.00000000,167
240.00000000,-15.00000000,152
255.00000000,-15.00000000,148
270.00000000,-15.00000000,137
285.00000000,-15.00000000,136
300.00000000,-15.00000000,145
315.00000000,-15.00000000,134
330.00000000,-15.00000000,136
345.00000000,-15.00000000,115
360.00000000,-15.00000000,73
0.00000000,0.00000000,96
15.00000000,0.00000000,115
30.00000000,0.00000000,130
45.00000000,0.00000000,123
60.00000000,0.00000000,122
75.00000000,0.00000000,123
90.00000000,0.00000000,120
105.00000000,0.00000000,123
120.00000000,0.00000000,123
135.00000000,0.00000000,120
150.00000000,0.00000000,110
165.00000000,0.00000000,109
180.00000000,0.00000000,96
195.00000000,0.00000000,115
210.00000000,0.00000000,130
225.00000000,0.00000000,123
240.00000000,0.00000000,122
255.00000000,0.00000000,123
270.00000000,0.00000000,120
285.00000000,0.00000000,123
300.00000000,0.00000000,123
315.00000000,0.00000000,120
330.00000000,0.00000000,110
345.00000000,0.00000000,109
360.00000000,0.00000000,96
0.00000000,15.00000000,125
15.00000000,15.00000000,159
30.00000000,15.00000000,178
45.00000000,15.00000000,167
60.00000000,15.00000000,152
75.00000000,15.00000000,148
90.00000000,15.00000000,137
105.00000000,15.00000000,136
120.00000000,15.00000000,145
135.00000000,15.00000000,134
150.00000000,15.00000000,136
165.00000000,15.00000000,115
180.00000000,15.00000000,78
195.00000000,15.00000000,104
210.00000000,15.00000000,133
225.00000000,15.00000000,127
240.00000000,15.00000000,144
255.00000000,15.00000000,134
270.00000000,15.00000000,136
