az_deg,el_deg,a_ft
0.00000000,-90.00000000,836
15.00000000,-90.00000000,902
30.00000000,-90.00000000,875
45.00000000,-90.00000000,844
60.00000000,-90.00000000,875
75.00000000,-90.00000000,902
90.00000000,-90.00000000,836
105.00000000,-90.00000000,902
120.00000000,-90.00000000,875
135.00000000,-90.00000000,844
150.00000000,-90.00000000,875
165.00000000,-90.00000000,902
180.00000000,-90.00000000,836
195.00000000,-90.00000000,902
210.00000000,-90.00000000,875
225.00000000,-90.00000000,844
240.00000000,-90.00000000,875
255.00000000,-90.00000000,902
270.00000000,-90.00000000,836
285.00000000,-90.00000000,902
300.00000000,-90.00000000,875
315.00000000,-90.00000000,844
330.00000000,-90.00000000,875
345.00000000,-90.00000000,902
360.00000000,-90.00000000,836
0.00000000,-75.00000000,792
15.00000000,-75.00000000,827
30.00000000,-75.00000000,867
45.00000000,-75.00000000,889
60.00000000,-75.00000000,891
75.00000000,-75.00000000,863
90.00000000,-75.00000000,797
105.00000000,-75.00000000,899
120.00000000,-75.00000000,917
135.00000000,-75.00000000,860
150.00000000,-75.00000000,899
165.00000000,-75.00000000,840
180.00000000,-75.00000000,904
195.00000000,-75.00000000,844
210.00000000,-75.00000000,900
225.00000000,-75.00000000,848
240.00000000,-75.00000000,844
255.00000000,-75.00000000,870
270.00000000,-75.00000000,794
285.00000000,-75.00000000,860
300.00000000,-75.00000000,892
315.00000000,-75.00000000,852
330.00000000,-75.00000000,826
345.00000000,-75.00000000,790
360.00000000,-75.00000000,792
0.00000000,-60.00000000,757
15.00000000,-60.00000000,789
30.00000000,-60.00000000,802
45.00000000,-60.00000000,841
60.00000000,-60.00000000,838
75.00000000,-60.00000000,853
90.00000000,-60.00000000,870
105.00000000,-60.00000000,853
120.00000000,-60.00000000,832
135.00000000,-60.00000000,855
150.00000000,-60.00000000,836
165.00000000,-60.00000000,950
180.00000000,-60.00000000,973
195.00000000,-60.00000000,951
210.00000000,-60.00000000,873
225.00000000,-60.00000000,855
240.00000000,-60.00000000,839
255.00000000,-60.00000000,853
270.00000000,-60.00000000,870
285.00000000,-60.00000000,853
300.00000000,-60.00000000,837
315.00000000,-60.00000000,840
330.00000000,-60.00000000,802
345.00000000,-60.00000000,788
360.00000000,-60.00000000,757
0.00000000,-45.00000000,719
15.00000000,-45.00000000,797
30.00000000,-45.00000000,776
45.00000000,-45.00000000,753
60.00000000,-45.00000000,730
75.00000000,-45.00000000,735
90.00000000,-45.00000000,776
105.00000000,-45.00000000,746
120.00000000,-45.00000000,730
135.00000000,-45.00000000,738
150.00000000,-45.00000000,769
165.00000000,-45.00000000,851
180.00000000,-45.00000000,907
195.00000000,-45.00000000,856
210.00000000,-45.00000000,771
225.00000000,-45.00000000,753
240.00000000,-45.00000000,731
255.00000000,-45.00000000,746
270.00000000,-45.00000000,781
285.00000000,-45.00000000,738
300.00000000,-45.00000000,758
315.00000000,-45.00000000,751
330.00000000,-45.00000000,773
345.00000000,-45.00000000,790
360.00000000,-45.00000000,719
0.00000000,-30.00000000,570
15.00000000,-30.00000000,604
30.00000000,-30.00000000,601
45.00000000,-30.00000000,623
60.00000000,-30.00000000,591
75.00000000,-30.00000000,560
90.00000000,-30.00000000,592
105.00000000,-30.00000000,578
120.00000000,-30.00000000,595
135.00000000,-30.00000000,642
150.00000000,-30.00000000,640
165.00000000,-30.00000000,767
180.00000000,-30.00000000,860
195.00000000,-30.00000000,766
210.00000000,-30.00000000,642
225.00000000,-30.00000000,642
240.00000000,-30.00000000,586
255.00000000,-30.00000000,579
270.00000000,-30.00000000,611
285.00000000,-30.00000000,560
300.00000000,-30.00000000,588
315.00000000,-30.00000000,616
330.00000000,-30.00000000,605
345.00000000,-30.00000000,608
360.00000000,-30.00000000,570
0.00000000,-15.00000000,341
15.00000000,-15.00000000,367
30.00000000,-15.00000000,367
45.00000000,-15.00000000,412
60.00000000,-15.00000000,453
75.00000000,-15.00000000,450
90.00000000,-15.00000000,481
105.00000000,-15.00000000,490
120.00000000,-15.00000000,510
135.00000000,-15.00000000,494
150.00000000,-15.00000000,541
165.00000000,-15.00000000,502
180.00000000,-15.00000000,689
195.00000000,-15.00000000,502
210.00000000,-15.00000000,545
225.00000000,-15.00000000,513
240.00000000,-15.00000000,516
255.00000000,-15.00000000,491
270.00000000,-15.00000000,479
285.00000000,-15.00000000,451
300.00000000,-15.00000000,453
315.00000000,-15.00000000,413
330.00000000,-15.00000000,372
345.00000000,-15.00000000,368
360.00000000,-15.00000000,341
0.00000000,0.00000000,477
15.00000000,0.00000000,405
30.00000000,0.00000000,371
45.00000000,0.00000000,389
60.00000000,0.00000000,432
75.00000000,0.00000000,466
90.00000000,0.00000000,461
105.00000000,0.00000000,466
120.00000000,0.00000000,431
135.00000000,0.00000000,392
150.00000000,0.00000000,371
165.00000000,0.00000000,438
180.00000000,0.00000000,477
195.00000000,0.00000000,405
210.00000000,0.00000000,371
225.00000000,0.00000000,389
240.00000000,0.00000000,432
