az_deg,el_deg,a_ft
0.00000000,-90.00000000,795
15.00000000,-90.00000000,798
30.00000000,-90.00000000,791
45.00000000,-90.00000000,791
60.00000000,-90.00000000,791
75.00000000,-90.00000000,791
90.00000000,-90.00000000,791
105.00000000,-90.00000000,798
120.00000000,-90.00000000,791
135.00000000,-90.00000000,795
150.00000000,-90.00000000,791
165.00000000,-90.00000000,795
180.00000000,-90.00000000,798
195.00000000,-90.00000000,795
210.00000000,-90.00000000,791
225.00000000,-90.00000000,798
240.00000000,-90.00000000,788
255.00000000,-90.00000000,791
270.00000000,-90.00000000,800
285.00000000,-90.00000000,798
300.00000000,-90.00000000,791
315.00000000,-90.00000000,791
330.00000000,-90.00000000,788
345.00000000,-90.00000000,795
360.00000000,-90.00000000,795
0.00000000,-75.00000000,785
15.00000000,-75.00000000,725
30.00000000,-75.00000000,722
45.00000000,-75.00000000,724
60.00000000,-75.00000000,717
75.00000000,-75.00000000,725
90.00000000,-75.00000000,719
105.00000000,-75.00000000,718
120.00000000,-75.00000000,712
135.00000000,-75.00000000,722
150.00000000,-75.00000000,727
165.00000000,-75.00000000,727
180.00000000,-75.00000000,727
195.00000000,-75.00000000,727
210.00000000,-75.00000000,725
225.00000000,-75.00000000,721
240.00000000,-75.00000000,716
255.00000000,-75.00000000,723
270.00000000,-75.00000000,719
285.00000000,-75.00000000,721
300.00000000,-75.00000000,712
315.00000000,-75.00000000,724
330.00000000,-75.00000000,722
345.00000000,-75.00000000,726
360.00000000,-75.00000000,785
0.00000000,-60.00000000,678
15.00000000,-60.00000000,678
30.00000000,-60.00000000,672
45.00000000,-60.00000000,657
60.00000000,-60.00000000,656
75.00000000,-60.00000000,652
90.00000000,-60.00000000,663
105.00000000,-60.00000000,657
120.00000000,-60.00000000,656
135.00000000,-60.00000000,680
150.00000000,-60.00000000,674
165.00000000,-60.00000000,660
180.00000000,-60.00000000,675
195.00000000,-60.00000000,659
210.00000000,-60.00000000,674
225.00000000,-60.00000000,678
240.00000000,-60.00000000,655
255.00000000,-60.00000000,657
270.00000000,-60.00000000,663
285.00000000,-60.00000000,654
300.00000000,-60.00000000,657
315.00000000,-60.00000000,654
330.00000000,-60.00000000,690
345.00000000,-60.00000000,679
360.00000000,-60.00000000,678
0.00000000,-45.00000000,621
15.00000000,-45.00000000,607
30.00000000,-45.00000000,611
45.00000000,-45.00000000,596
60.00000000,-45.00000000,557
75.00000000,-45.00000000,561
90.00000000,-45.00000000,590
105.00000000,-45.00000000,584
120.00000000,-45.00000000,589
135.00000000,-45.00000000,596
150.00000000,-45.00000000,579
165.00000000,-45.00000000,588
180.00000000,-45.00000000,585
195.00000000,-45.00000000,600
210.00000000,-45.00000000,580
225.00000000,-45.00000000,596
240.00000000,-45.00000000,588
255.00000000,-45.00000000,588
270.00000000,-45.00000000,592
285.00000000,-45.00000000,562
300.00000000,-45.00000000,555
315.00000000,-45.00000000,594
330.00000000,-45.00000000,617
345.00000000,-45.00000000,601
360.00000000,-45.00000000,621
0.00000000,-30.00000000,482
15.00000000,-30.00000000,479
30.00000000,-30.00000000,447
45.00000000,-30.00000000,452
60.00000000,-30.00000000,442
75.00000000,-30.00000000,474
90.00000000,-30.00000000,476
