az_deg,el_deg,a_ft
0.00000000,-90.00000000,1828
15.00000000,-90.00000000,1828
30.00000000,-90.00000000,1828
45.00000000,-90.00000000,1828
60.00000000,-90.00000000,1828
75.00000000,-90.00000000,1828
90.00000000,-90.00000000,1828
105.00000000,-90.00000000,1828
120.00000000,-90.00000000,1828
135.00000000,-90.00000000,1828
150.00000000,-90.00000000,1828
165.00000000,-90.00000000,1828
180.00000000,-90.00000000,1828
195.00000000,-90.00000000,1828
210.00000000,-90.00000000,1828
225.00000000,-90.00000000,1828
240.00000000,-90.00000000,1828
255.00000000,-90.00000000,1828
270.00000000,-90.00000000,1828
285.00000000,-90.00000000,1828
300.00000000,-90.00000000,1828
315.00000000,-90.00000000,1828
330.00000000,-90.00000000,1828
345.00000000,-90.00000000,1828
360.00000000,-90.00000000,1828
0.00000000,-75.00000000,1780
15.00000000,-75.00000000,1783
30.00000000,-75.00000000,1781
45.00000000,-75.00000000,1783
60.00000000,-75.00000000,1782
75.00000000,-75.00000000,1780
90.00000000,-75.00000000,1781
105.00000000,-75.00000000,1781
120.00000000,-75.00000000,1776
135.00000000,-75.00000000,1773
150.00000000,-75.00000000,1774
165.00000000,-75.00000000,1775
180.00000000,-75.00000000,1755
195.00000000,-75.00000000,1775
210.00000000,-75.00000000,1775
225.00000000,-75.00000000,1766
240.00000000,-75.00000000,1771
255.00000000,-75.00000000,1776
270.00000000,-75.00000000,1790
285.00000000,-75.00000000,1800
300.00000000,-75.00000000,1794
315.00000000,-75.00000000,1795
330.00000000,-75.00000000,1783
345.00000000,-75.00000000,1782
360.00000000,-75.00000000,1780
0.00000000,-60.00000000,1609
15.00000000,-60.00000000,1607
30.00000000,-60.00000000,1607
45.00000000,-60.00000000,1618
60.00000000,-60.00000000,1615
75.00000000,-60.00000000,1617
90.00000000,-60.00000000,1614
105.00000000,-60.00000000,1595
120.00000000,-60.00000000,1606
135.00000000,-60.00000000,1602
150.00000000,-60.00000000,1593
165.00000000,-60.00000000,1593
180.00000000,-60.00000000,1535
195.00000000,-60.00000000,1592
210.00000000,-60.00000000,1595
225.00000000,-60.00000000,1604
240.00000000,-60.00000000,1600
255.00000000,-60.00000000,1598
270.00000000,-60.00000000,1605
285.00000000,-60.00000000,1609
300.00000000,-60.00000000,1623
315.00000000,-60.00000000,1612
330.00000000,-60.00000000,1623
345.00000000,-60.00000000,1612
360.00000000,-60.00000000,1609
0.00000000,-45.00000000,1342
15.00000000,-45.00000000,1342
30.00000000,-45.00000000,1344
45.00000000,-45.00000000,1345
60.00000000,-45.00000000,1342
75.00000000,-45.00000000,1338
90.00000000,-45.00000000,1337
105.00000000,-45.00000000,1325
120.00000000,-45.00000000,1319
135.00000000,-45.00000000,1314
150.00000000,-45.00000000,1310
165.00000000,-45.00000000,1304
180.00000000,-45.00000000,1304
195.00000000,-45.00000000,1304
210.00000000,-45.00000000,1311
225.00000000,-45.00000000,1312
240.00000000,-45.00000000,1315
255.00000000,-45.00000000,1326
270.00000000,-45.00000000,1344
285.00000000,-45.00000000,1346
300.00000000,-45.00000000,1348
315.00000000,-45.00000000,1352
330.00000000,-45.00000000,1353
345.00000000,-45.00000000,1348
360.00000000,-45.00000000,1342
0.00000000,-30.00000000,979
15.00000000,-30.00000000,989
30.00000000,-30.00000000,993
45.00000000,-30.00000000,1005
60.00000000,-30.00000000,1009
75.00000000,-30.00000000,1005
90.00000000,-30.00000000,1000
105.00000000,-30.00000000,982
120.00000000,-30.00000000,975
135.00000000,-30.00000000,967
150.00000000,-30.00000000,973
165.00000000,-30.00000000,980
180.00000000,-30.00000000,975
195.00000000,-30.00000000,980
210.00000000,-30.00000000,971
225.00000000,-30.00000000,965
240.00000000,-30.00000000,976
255.00000000,-30.00000000,988
270.00000000,-30.00000000,1003
285.00000000,-30.00000000,1011
300.00000000,-30.00000000,1016
315.00000000,-30.00000000,1014
330.00000000,-30.00000000,1002
345.00000000,-30.00000000,990
360.00000000,-30.00000000,979
0.00000000,-15.00000000,578
15.00000000,-15.00000000,586
30.00000000,-15.00000000,639
45.00000000,-15.00000000,683
60.00000000,-15.00000000,710
75.00000000,-15.00000000,735
90.00000000,-15.00000000,749
105.00000000,-15.00000000,726
120.00000000,-15.00000000,688
135.00000000,-15.00000000,645
150.00000000,-15.00000000,639
