az_deg,el_deg,a_ft
0.00000000,-90.00000000,2288
15.00000000,-90.00000000,2291
30.00000000,-90.00000000,2291
45.00000000,-90.00000000,2289
60.00000000,-90.00000000,2291
75.00000000,-90.00000000,2291
90.00000000,-90.00000000,2288
105.00000000,-90.00000000,2291
120.00000000,-90.00000000,2291
135.00000000,-90.00000000,2289
150.00000000,-90.00000000,2291
165.00000000,-90.00000000,2291
180.00000000,-90.00000000,2288
195.00000000,-90.00000000,2291
210.00000000,-90.00000000,2291
225.00000000,-90.00000000,2289
240.00000000,-90.00000000,2291
255.00000000,-90.00000000,2291
270.00000000,-90.00000000,2288
285.00000000,-90.00000000,2291
300.00000000,-90.00000000,2291
315.00000000,-90.00000000,2289
330.00000000,-90.00000000,2291
345.00000000,-90.00000000,2291
360.00000000,-90.00000000,2288
0.00000000,-75.00000000,1800
15.00000000,-75.00000000,1734
30.00000000,-75.00000000,1754
45.00000000,-75.00000000,1763
60.00000000,-75.00000000,1770
75.00000000,-75.00000000,1829
90.00000000,-75.00000000,2193
105.00000000,-75.00000000,1946
120.00000000,-75.00000000,1798
135.00000000,-75.00000000,1800
150.00000000,-75.00000000,1802
165.00000000,-75.00000000,1778
180.00000000,-75.00000000,1961
195.00000000,-75.00000000,2074
210.00000000,-75.00000000,1963
225.00000000,-75.00000000,1807
240.00000000,-75.00000000,1866
255.00000000,-75.00000000,1951
270.00000000,-75.00000000,2193
285.00000000,-75.00000000,1863
300.00000000,-75.00000000,1768
315.00000000,-75.00000000,1795
330.00000000,-75.00000000,1785
345.00000000,-75.00000000,1779
360.00000000,-75.00000000,1800
0.00000000,-60.00000000,1693
15.00000000,-60.00000000,1618
30.00000000,-60.00000000,1635
45.00000000,-60.00000000,1676
60.00000000,-60.00000000,1703
75.00000000,-60.00000000,1702
90.00000000,-60.00000000,1860
105.00000000,-60.00000000,1716
120.00000000,-60.00000000,1729
135.00000000,-60.00000000,1750
150.00000000,-60.00000000,1956
165.00000000,-60.00000000,1742
180.00000000,-60.00000000,1812
195.00000000,-60.00000000,1837
210.00000000,-60.00000000,1872
225.00000000,-60.00000000,1741
240.00000000,-60.00000000,1742
255.00000000,-60.00000000,1740
270.00000000,-60.00000000,1753
285.00000000,-60.00000000,1729
300.00000000,-60.00000000,1727
315.00000000,-60.00000000,1701
330.00000000,-60.00000000,1642
345.00000000,-60.00000000,1632
360.00000000,-60.00000000,1693
0.00000000,-45.00000000,1657
15.00000000,-45.00000000,1533
30.00000000,-45.00000000,1599
45.00000000,-45.00000000,1387
60.00000000,-45.00000000,1417
75.00000000,-45.00000000,1437
90.00000000,-45.00000000,1501
105.00000000,-45.00000000,1434
120.00000000,-45.00000000,1457
135.00000000,-45.00000000,1609
150.00000000,-45.00000000,1637
165.00000000,-45.00000000,1686
180.00000000,-45.00000000,1571
195.00000000,-45.00000000,1692
210.00000000,-45.00000000,1608
225.00000000,-45.00000000,1582
240.00000000,-45.00000000,1473
255.00000000,-45.00000000,1439
270.00000000,-45.00000000,1470
285.00000000,-45.00000000,1436
300.00000000,-45.00000000,1371
315.00000000,-45.00000000,1393
330.00000000,-45.00000000,1530
345.00000000,-45.00000000,1507
360.00000000,-45.00000000,1657
0.00000000,-30.00000000,1284
15.00000000,-30.00000000,1179
30.00000000,-30.00000000,1091
45.00000000,-30.00000000,1231
60.00000000,-30.00000000,1080
75.00000000,-30.00000000,1091
90.00000000,-30.00000000,1131
105.00000000,-30.00000000,1103
120.00000000,-30.00000000,1147
135.00000000,-30.00000000,1245
150.00000000,-30.00000000,1336
165.00000000,-30.00000000,1413
180.00000000,-30.00000000,1445
195.00000000,-30.00000000,1412
210.00000000,-30.00000000,1328
225.00000000,-30.00000000,1225
240.00000000,-30.00000000,1133
255.00000000,-30.00000000,1095
270.00000000,-30.00000000,1126
285.00000000,-30.00000000,1098
300.00000000,-30.00000000,1082
315.00000000,-30.00000000,1231
330.00000000,-30.00000000,1086
345.00000000,-30.00000000,1102
360.00000000,-30.00000000,1284
0.00000000,-15.00000000,570
15.00000000,-15.00000000,857
30.00000000,-15.00000000,718
45.00000000,-15.00000000,834
60.00000000,-15.00000000,921
75.00000000,-15.00000000,887
90.00000000,-15.00000000,849
105.00000000,-15.00000000,882
120.00000000,-15.00000000,976
135.00000000,-15.00000000,958
150.00000000,-15.00000000,980
165.00000000,-15.00000000,1163
180.00000000,-15.00000000,1025
195.00000000,-15.00000000,1163
210.00000000,-15.00000000,979
225.00000000,-15.00000000,957
240.00000000,-15.00000000,987
255.00000000,-15.00000000,887
270.00000000,-15.00000000,873
285.00000000,-15.00000000,875
300.00000000,-15.00000000,930
315.00000000,-15.00000000,844
330.00000000,-15.00000000,727
345.00000000,-15.00000000,756
360.00000000,-15.00000000,570
0.00000000,0.00000000,733
15.00000000,0.00000000,840
30.00000000,0.00000000,747
45.00000000,0.00000000,732
60.00000000,0.00000000,829
75.00000000,0.00000000,819
90.00000000,0.00000000,663
105.00000000,0.00000000,822
120.00000000,0.00000000,835
135.00000000,0.00000000,744
150.00000000,0.00000000,759
165.00000000,0.00000000,818
180.00000000,0.00000000,797
195.00000000,0.00000000,840
210.00000000,0.00000000,747
225.00000000,0.00000000,732
240.00000000,0.00000000,829
255.00000000,0.00000000,819
270.00000000,0.00000000,663
285.00000000,0.00000000,822
300.00000000,0.00000000,835
315.00000000,0.00000000,744
330.00000000,0.00000000,759
345.00000000,0.00000000,818
360.00000000,0.00000000,733
0.00000000,15.00000000,1025
15.00000000,15.00000000,1163
30.00000000,15.00000000,979
45.00000000,15.00000000,957
60.00000000,15.00000000,987
75.00000000,15.00000000,887
90.00000000,15.00000000,873
105.00000000,15.00000000,875
120.00000000,15.00000000,930
135.00000000,15.00000000,844
150.00000000,15.00000000,728
165.00000000,15.00000000,741
180.00000000,15.00000000,570
195.00000000,15.00000000,857
210.00000000,15.00000000,718
225.00000000,15.00000000,834
240.00000000,15.00000000,921
255.00000000,15.00000000,887
270.00000000,15.00000000,849
285.00000000,15.00000000,882
300.00000000,15.00000000,976
315.00000000,15.00000000,958
330.00000000,15.00000000,980
345.00000000,15.00000000,1163
360.00000000,15.00000000,1025
0.00000000,30.00000000,1445
15.00000000,30.00000000,1412
30.00000000,30.00000000,1328
45.00000000,30.00000000,1225
60.00000000,30.00000000,1133
75.00000000,30.00000000,1095
90.00000000,30.00000000,1126
105.00000000,30.00000000,1098
120.00000000,30.00000000,1082
135.00000000,30.00000000,1231
150.00000000,30.00000000,1086
165.00000000,30.00000000,1102
180.00000000,30.00000000,1284
195.00000000,30.00000000,1179
210.00000000,30.00000000,1091
225.00000000,30.00000000,1231
240.00000000,30.00000000,1080
255.00000000,30.00000000,1091
270.00000000,30.00000000,1131
285.00000000,30.00000000,1103
300.00000000,30.00000000,1147
315.00000000,30.00000000,1245
330.00000000,30.00000000,1336
345.00000000,30.00000000,1413
360.00000000,30.00000000,1445
0.00000000,45.00000000,1571
15.00000000,45.00000000,1692
30.00000000,45.00000000,1608
45.00000000,45.00000000,1582
60.00000000,45.00000000,1473
75.00000000,45.00000000,1439
90.00000000,45.00000000,1470
105.00000000,45.00000000,1436
120.00000000,45.00000000,1371
135.00000000,45.00000000,1393
150.00000000,45.00000000,1530
165.00000000,45.00000000,1507
180.00000000,45.00000000,1657
195.00000000,45.00000000,1531
210.00000000,45.00000000,1599
225.00000000,45.00000000,1387
240.00000000,45.00000000,1417
255.00000000,45.00000000,1437
270.00000000,45.00000000,1501
285.00000000,45.00000000,1434
300.00000000,45.00000000,1457
315.00000000,45.00000000,1609
330.00000000,45.00000000,1637
345.00000000,45.00000000,1686
360.00000000,45.00000000,1571
0.00000000,60.00000000,1812
15.00000000,60.00000000,1837
30.00000000,60.00000000,1872
45.00000000,60.00000000,1741
60.00000000,60.00000000,1742
75.00000000,60.00000000,1740
90.00000000,60.00000000,1753
105.00000000,60.00000000,1729
120.00000000,60.00000000,1727
135.00000000,60.00000000,1701
150.00000000,60.00000000,1636
165.00000000,60.00000000,1632
180.00000000,60.00000000,1691
195.00000000,60.00000000,1618
210.00000000,60.00000000,1635
225.00000000,60.00000000,1676
240.00000000,60.00000000,1703
255.00000000,60.00000000,1702
270.00000000,60.00000000,1860
285.00000000,60.00000000,1716
300.00000000,60.00000000,1729
315.00000000,60.00000000,1750
330.00000000,60.00000000,1956
345.00000000,60.00000000,1742
360.00000000,60.00000000,1812
0.00000000,75.00000000,1961
15.00000000,75.00000000,2074
30.00000000,75.00000000,1963
45.00000000,75.00000000,1807
60.00000000,75.00000000,1866
75.00000000,75.00000000,1951
90.00000000,75.00000000,2193
105.00000000,75.00000000,1863
120.00000000,75.00000000,1768
135.00000000,75.00000000,1795
150.00000000,75.00000000,1785
165.00000000,75.00000000,1779
180.00000000,75.00000000,1800
195.00000000,75.00000000,1734
210.00000000,75.00000000,1754
225.00000000,75.00000000,1763
240.00000000,75.00000000,1770
255.00000000,75.00000000,1829
270.00000000,75.00000000,2193
285.00000000,75.00000000,1946
300.00000000,75.00000000,1798
315.00000000,75.00000000,1800
330.00000000,75.00000000,1802
345.00000000,75.00000000,1778
360.00000000,75.00000000,1961
0.00000000,90.00000000,2288
15.00000000,90.00000000,2291
30.00000000,90.00000000,2291
45.00000000,90.00000000,2289
60.00000000,90.00000000,2291
75.00000000,90.00000000,2291
90.00000000,90.00000000,2288
105.00000000,90.00000000,2291
120.00000000,90.00000000,2291
135.00000000,90.00000000,2289
150.00000000,90.00000000,2291
165.00000000,90.00000000,2291
180.00000000,90.00000000,2288
195.00000000,90.00000000,2291
210.00000000,90.00000000,2291
225.00000000,90.00000000,2289
240.00000000,90.00000000,2291
255.00000000,90.00000000,2291
270.00000000,90.00000000,2288
285.00000000,90.00000000,2291
300.00000000,90.00000000,2291
315.00000000,90.00000000,2289
330.00000000,90.00000000,2291
345.00000000,90.00000000,2291
360.00000000,90.00000000,2288
