az_deg,el_deg,a_ft
0.00000000,-90.00000000,7046
15.00000000,-90.00000000,7052
30.00000000,-90.00000000,7724
45.00000000,-90.00000000,7724
60.00000000,-90.00000000,7724
75.00000000,-90.00000000,7052
90.00000000,-90.00000000,7037
105.00000000,-90.00000000,7052
120.00000000,-90.00000000,7724
135.00000000,-90.00000000,7052
150.00000000,-90.00000000,7388
165.00000000,-90.00000000,7052
180.00000000,-90.00000000,7046
195.00000000,-90.00000000,7052
210.00000000,-90.00000000,7724
225.00000000,-90.00000000,7388
240.00000000,-90.00000000,7724
255.00000000,-90.00000000,7052
270.00000000,-90.00000000,7046
285.00000000,-90.00000000,7052
300.00000000,-90.00000000,7388
315.00000000,-90.00000000,7052
330.00000000,-90.00000000,7724
345.00000000,-90.00000000,7052
360.00000000,-90.00000000,7046
0.00000000,-75.00000000,6538
15.00000000,-75.00000000,7171
30.00000000,-75.00000000,6941
45.00000000,-75.00000000,6907
60.00000000,-75.00000000,7019
75.00000000,-75.00000000,7576
90.00000000,-75.00000000,7686
105.00000000,-75.00000000,7869
120.00000000,-75.00000000,7343
135.00000000,-75.00000000,6985
150.00000000,-75.00000000,7020
165.00000000,-75.00000000,7044
180.00000000,-75.00000000,7025
195.00000000,-75.00000000,7476
210.00000000,-75.00000000,7402
225.00000000,-75.00000000,7418
240.00000000,-75.00000000,7333
255.00000000,-75.00000000,7869
270.00000000,-75.00000000,7681
285.00000000,-75.00000000,7647
300.00000000,-75.00000000,7457
315.00000000,-75.00000000,6934
330.00000000,-75.00000000,6942
345.00000000,-75.00000000,7225
360.00000000,-75.00000000,6538
0.00000000,-60.00000000,5942
15.00000000,-60.00000000,5867
30.00000000,-60.00000000,6276
45.00000000,-60.00000000,6521
60.00000000,-60.00000000,6796
75.00000000,-60.00000000,6933
90.00000000,-60.00000000,6538
105.00000000,-60.00000000,6716
120.00000000,-60.00000000,6409
135.00000000,-60.00000000,6470
150.00000000,-60.00000000,6524
165.00000000,-60.00000000,6535
180.00000000,-60.00000000,6532
195.00000000,-60.00000000,6534
210.00000000,-60.00000000,6519
225.00000000,-60.00000000,6423
240.00000000,-60.00000000,6382
255.00000000,-60.00000000,6262
270.00000000,-60.00000000,6913
285.00000000,-60.00000000,6874
300.00000000,-60.00000000,6769
315.00000000,-60.00000000,6496
330.00000000,-60.00000000,6280
345.00000000,-60.00000000,5884
360.00000000,-60.00000000,5942
0.00000000,-45.00000000,4208
15.00000000,-45.00000000,4820
30.00000000,-45.00000000,4970
45.00000000,-45.00000000,5191
60.00000000,-45.00000000,5398
75.00000000,-45.00000000,5597
90.00000000,-45.00000000,5364
105.00000000,-45.00000000,5157
