az_deg,el_deg,a_ft
0.00000000,-90.00000000,1418
15.00000000,-90.00000000,1420
30.00000000,-90.00000000,1418
45.00000000,-90.00000000,1418
60.00000000,-90.00000000,1419
75.00000000,-90.00000000,1419
90.00000000,-90.00000000,1417
105.00000000,-90.00000000,1420
120.00000000,-90.00000000,1419
135.00000000,-90.00000000,1418
150.00000000,-90.00000000,1419
165.00000000,-90.00000000,1419
180.00000000,-90.00000000,1418
195.00000000,-90.00000000,1418
210.00000000,-90.00000000,1419
225.00000000,-90.00000000,1419
240.00000000,-90.00000000,1419
255.00000000,-90.00000000,1419
270.00000000,-90.00000000,1417
285.00000000,-90.00000000,1419
300.00000000,-90.00000000,1420
315.00000000,-90.00000000,1418
330.00000000,-90.00000000,1419
345.00000000,-90.00000000,1419
360.00000000,-90.00000000,1418
0.00000000,-75.00000000,1336
15.00000000,-75.00000000,1336
30.00000000,-75.00000000,1335
45.00000000,-75.00000000,1341
60.00000000,-75.00000000,1341
75.00000000,-75.00000000,1357
90.00000000,-75.00000000,1377
105.00000000,-75.00000000,1389
120.00000000,-75.00000000,1397
135.00000000,-75.00000000,1409
150.00000000,-75.00000000,1194
165.00000000,-75.00000000,1203
180.00000000,-75.00000000,1431
195.00000000,-75.00000000,1203
210.00000000,-75.00000000,1194
225.00000000,-75.00000000,1409
240.00000000,-75.00000000,1402
255.00000000,-75.00000000,1389
270.00000000,-75.00000000,1378
285.00000000,-75.00000000,1356
300.00000000,-75.00000000,1342
315.00000000,-75.00000000,1336
330.00000000,-75.00000000,1335
345.00000000,-75.00000000,1336
360.00000000,-75.00000000,1336
0.00000000,-60.00000000,1137
15.00000000,-60.00000000,1167
30.00000000,-60.00000000,1166
45.00000000,-60.00000000,1193
60.00000000,-60.00000000,1214
75.00000000,-60.00000000,1230
90.00000000,-60.00000000,1255
105.00000000,-60.00000000,1282
120.00000000,-60.00000000,1107
135.00000000,-60.00000000,810
150.00000000,-60.00000000,788
165.00000000,-60.00000000,817
180.00000000,-60.00000000,797
195.00000000,-60.00000000,816
210.00000000,-60.00000000,794
225.00000000,-60.00000000,809
240.00000000,-60.00000000,1110
255.00000000,-60.00000000,1281
270.00000000,-60.00000000,1255
285.00000000,-60.00000000,1229
300.00000000,-60.00000000,1211
315.00000000,-60.00000000,1193
330.00000000,-60.00000000,1166
345.00000000,-60.00000000,1065
360.00000000,-60.00000000,1137
0.00000000,-45.00000000,719
15.00000000,-45.00000000,652
30.00000000,-45.00000000,647
45.00000000,-45.00000000,782
60.00000000,-45.00000000,955
75.00000000,-45.00000000,1000
90.00000000,-45.00000000,1048
105.00000000,-45.00000000,852
120.00000000,-45.00000000,935
135.00000000,-45.00000000,830
150.00000000,-45.00000000,719
165.00000000,-45.00000000,721
180.00000000,-45.00000000,700
195.00000000,-45.00000000,724
210.00000000,-45.00000000,719
225.00000000,-45.00000000,832
240.00000000,-45.00000000,947
255.00000000,-45.00000000,836
270.00000000,-45.00000000,1049
285.00000000,-45.00000000,942
300.00000000,-45.00000000,927
315.00000000,-45.00000000,811
330.00000000,-45.00000000,639
345.00000000,-45.00000000,652
360.00000000,-45.00000000,719
0.00000000,-30.00000000,453
15.00000000,-30.00000000,443
30.00000000,-30.00000000,538
45.00000000,-30.00000000,573
60.00000000,-30.00000000,626
75.00000000,-30.00000000,727
90.00000000,-30.00000000,707
105.00000000,-30.00000000,743
120.00000000,-30.00000000,691
135.00000000,-30.00000000,681
150.00000000,-30.00000000,745
165.00000000,-30.00000000,737
180.00000000,-30.00000000,569
195.00000000,-30.00000000,704
210.00000000,-30.00000000,744
225.00000000,-30.00000000,727
240.00000000,-30.00000000,691
255.00000000,-30.00000000,739
270.00000000,-30.00000000,750
285.00000000,-30.00000000,725
300.00000000,-30.00000000,622
315.00000000,-30.00000000,574
330.00000000,-30.00000000,538
345.00000000,-30.00000000,443
360.00000000,-30.00000000,453
0.00000000,-15.00000000,214
